Area,ID,Title,Basic Criteria,Additional Criteria,"Supplementary Information -
About the Criteria","Supplementary Information -
Complementary Customer Criteria","Supplementary Information -
Notes on Continuous Auditing - Feasibility","Supplementary Information -
Notes on Continuous Auditing"
Physical Security (PS),PS-07,Surveillance of operational and environmental parameters,"The operating parameters of the technical utilities (cf. PS-06) and the environmental parameters of the premises and buildings related to the cloud service provided are monitored and controlled in accordance with the security requirements of the Cloud Service Provider (cf. PS-01 Security Concept). When the permitted control range is exceeded, the responsible departments of the Cloud-Provider are automatically informed in order to promptly initiate the necessary measures for return to the control range.",,"Operating parameters and environmental parameters of the premises and buildings are, e.g. air temperature and humidity, leakage.",,yes,"The monitoring and control of the operating parameters of the technical supply facilities is carried out automatically and documented in a standardised manner, for example in logs. 

These logs are then automated by the inspector and can be continuously evaluated."
Operations (OPS),OPS-01,Capacity Management - Planning,"The planning of capacities and resources (personnel and IT resources) follows an established procedure in order to avoid possible capacity bottlenecks. The procedures include forecasting future capacity requirements in order to identify usage trends and manage system overload. 

Cloud Service Providers take appropriate measures to ensure that they continue to meet the requirements agreed with cloud customers for the provision of the cloud service in the event of capacity bottlenecks or outages regarding personnel and IT resources, in particular those relating to the dedicated use of system components, in accordance with the respective agreements.",The forecasts are considered in accordance with the service level agreement for planning and preparing the provisioning.,"For economic reasons, Cloud Service Providers typically strive for a high utilisation of IT resources (CPU, RAM, storage space, network). In multi-tenant environments, existing resources must still be shared between cloud users (clients) in such a way that service level agreements are adhered to. In this respect, proper planning and monitoring of IT resources is critical to the availability and competitiveness of the cloud service. If the procedures are not documented or are subject to a higher degree of confidentiality as a trade secret of the Cloud Service Provider, the Cloud Service Provider must be able to explain the procedures at least orally within the scope of this audit.

Cloud customers must use appropriate controls to ensure that the capacity and resource requirements to be covered by the Cloud Service Provider are planned and reflected in the SLA with the Cloud Service Provider. The requirements can also be reviewed regularly through appropriate controls and the SLA can be adjusted accordingly.",,no,"An audit of the planning of capacities and resources requires an assessment of the plausibility or meaningfulness of the content. At present, this can hardly be audited automatically and continuously."
Operations (OPS),OPS-02,Capacity Management - Monitoring,"Technical and organisational safeguards for the monitoring and provisioning and de-provisioning of cloud services are defined. Thus, the Cloud Service Provider ensures that resources are provided and/or services are rendered according to the contractual agreements and that compliance with the service level agreements is ensured.","To monitor capacity and availability, the relevant information is available to the cloud customer in a self-service portal.","Technical and organisational measures typically include:

- Use of monitoring tools with alarm function when defined threshold values are exceeded;

- Process for correlating events and interface to incident management;

- Continuous monitoring of the systems by qualified personnel; and

- Redundancies in the IT systems.","Cloud customers ensure through suitable controls, that the contractual agreements made with the Cloud Service Provider for the provision of resources or services can be monitored. In case of deviations, appropriate controls ensure that the Cloud Service Provider is informed so that the Cloud Service Provider can take appropriate action.",yes,"The part of resource monitoring can be continuously audited by checking capacity forecasts and monitoring the resource management tool. Furthermore, the logs of provisioning and de-provisioning and their impact on resource management can be continuously audited by the changes in resource management."
Operations (OPS),OPS-03,Capacity Management - Controlling of Resources,"Depending on the capabilities of the respective service model, the cloud customer can control and monitor the allocation of the system resources assigned to the customer for administration/use in order to avoid overcrowding of resources and to achieve sufficient performance.",,"Resources according to the possibilities of the service model are for example

- Computing capacity;

- Storage capacity;

- Configuration of network properties;

- Application Programming Interfaces (APIs); and

- Databases.","Cloud customers ensure through suitable controls, that they manage and monitor the system resources in their area of responsibility.",partially,"The existence of tools for controlling resources by the cloud customers themselves is, in itself, a continuous process, which can be continuously checked provided that the Cloud Service Provider can prove the functionality of these tools by means of logs. However, continuously checking this only generates a limited value. The functionality of the tools provided can be continuously audited, if they are documented and can be evaluated by the Cloud Service Provider."
Operations (OPS),OPS-04,Protection Against Malware - Concept,"Policies and instructions with specifications for protection against malware are documented, communicated, and provided in accordance with SP-01 with respect to the following aspects:

- Use of system-specific protection mechanisms;

- Operating protection programs on system components under the responsibility of the Cloud Service Provider that are used to provide the cloud service in the production environment; and

- Operation of protection programs for employees' terminal equipment.","The Cloud Service Provider creates regular reports on the checks performed, which are reviewed and analysed by authorised bodies or committees. Policies and instructions describe the technical measures taken to securely configure and monitor the management console (both the customer's self-service and the service provider's cloud administration) to protect it from malware. Updates are applied at the highest frequency that the vendor(s) contractually offer(s).","Protection programs for employee devices can be, for example, server-based protection programs that scan files in attachments on the server or filter network traffic.",,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Operations (OPS),OPS-05,Protection Against Malware - Implementation,"System components under the Cloud Service Provider's responsibility that are used to deploy the cloud service in the production environment are configured with malware protection according to the policies and instructions. If protection programs are set up with signature and behaviour-based malware detection and removal, these protection programs are updated at least daily.",The configuration of the protection mechanisms is monitored automatically. Deviations from the specifications are automatically reported to the responsible authorities so that they can be immediately assessed and the necessary measures taken.,Protection against malicious programs can be implemented by operating system-specific protection mechanisms or explicit protection programs (e.g. for signature- and behaviour-based detection and removal of malicious programs).,"Cloud customers ensure through suitable controls, that the layers of the cloud service which they are responsible for, have security products in place to detect and remove malware.",yes,"The first step should be to check whether all systems are covered. This should be monitored by continuously checking a tool including the additions and deletions of entries. 

In the second step, the log files for the updates of the individual servers and the regular scans should be audited continuously. Identified malware or irregularities should be marked and tracked as part of the continuous scan."
Operations (OPS),OPS-06,Data Protection and Recovery - Concept,"Policies and instructions for data backup and recovery are documented, communicated and provided in accordance with SP-01 regarding the following aspects.

- The extent and frequency of data backups and the duration of data retention are consistent with the contractual agreements with the cloud customers and the Cloud Service Provider's operational continuity requirements for Recovery Time Objective (RTO) and Recovery Point Objective (RPO);

- Data is backed up in encrypted, state-of-the-art form; 

- Access to the backed-up data and the execution of restores is performed only by authorised persons; and

- Tests of recovery procedures (cf. OPS-08).",,"The data backup concept specifies which type of data backup is to be carried out (e.g. type, manner, duration) and specifies which data must also be backed up in special cases (e.g. pure use of compute nodes without data storage). When backing up data, a distinction must be made between backups and snapshots of virtual machines. Snapshots do not replace backups, but can be part of the backup strategy to achieve Recovery Point Objectives (RPO) if they are additionally stored outside the original data location. The business requirements of the Cloud Service Provider for the scope, frequency and duration of the data backup result from the business impact analysis (cf. BCM-03) for development and operational processes of the cloud service. If different data backup and recovery procedures exist for data under the responsibility of the cloud customer and the Cloud Service Provider, both variants must be included in a test according to this criteria catalogue. For procedures to secure the data of the Cloud Service Provider, only the adequacy and implementation of the controls must be proven, but not their effectiveness. For procedures to secure the data of cloud customers, proof of effectiveness must also be provided.","Cloud customers ensure through suitable controls, that the contractual agreements made with the Cloud Service Provider regarding the scope, frequency and duration of data retention meet business requirements. The business requirements are assessed as part of the Business Impact Analysis (cf. BCM-02).",partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Operations (OPS),OPS-07,Data Backup and Recovery - Monitoring,The execution of data backups is monitored by technical and organisational measures. Malfunctions are investigated by qualified staff and rectified promptly to ensure compliance with contractual obligations to cloud customers or the Cloud Service Provider's business requirements regarding the scope and frequency of data backup and the duration of storage.,The relevant logs or summarised results are available to the cloud customer in a self-service portal for monitoring the data backup.,"If the data backup is not part of the contract concluded between the Cloud Service Provider and the cloud customer, this criterion is not applicable. The Cloud Service Provider must present this situation transparently in the system description.","Cloud customers ensure through suitable controls, that the backup of data within their area of responsibility is monitored by technical and organisational measures.",yes,The execution of different data backups can be performed by continuously auditing the log files and the associated results of the data backup. Any errors in the data backup would be continuously detected and could be explained by appropriate measures and documentation in the audit.
Operations (OPS),OPS-08,Data Backup and Recovery - Regular Testing,"Restore procedures are tested regularly, at least annually. The tests allow an assessment to be made as to whether the contractual agreements as well as the specifications for the maximum tolerable downtime (Recovery Time Objective, RTO) and the maximum permissible data loss (Recovery Point Objective, RPO) are adhered to (cf. BCM-02).

Deviations from the specifications are reported to the responsible personnel or system components so that these can promptly assess the deviations and initiate the necessary actions.","At the customer's request, the Cloud Service Provider inform the cloud customer of the results of the recovery tests. Recovery tests are embedded in the Cloud Service Provider's emergency management.","If the data backup is not part of the contract concluded between the Cloud Service Provider and the cloud customer, this criterion is not applicable. The Cloud Service Provider must present this situation transparently in the system description.",,partially,"If the tests on the restoration procedures are performed at regular intervals, the time of execution and results can be audited automatically. However, the effort of a continuous audit of this criterion is high and the added value limited if the tests are carried out in an annual cycle"
Operations (OPS),OPS-09,Data Backup and Recovery - Storage,"The Cloud Service Provider transfers data to be backed up to a remote location or transports these on backup media to a remote location. If the data backup is transmitted to the remote location via a network, the data backup or the transmission of the data takes place in an encrypted form that corresponds to the state-of-the-art. The distance to the main site is chosen after sufficient consideration of the factors recovery times and impact of disasters on both sites. The physical and environmental security measures at the remote site are at the same level as at the main site.",,"If the data backup is not part of the contract concluded between the Cloud Service Provider and the cloud customer, this criterion is not applicable. The Cloud Service Provider must present this situation transparently in the system description.

A remote location can be e.g. another data centre of the Cloud Service Provider.",,yes,"If the data is transported physically, a continuous audit of this criterion means that the successful storage has been confirmed. In the case of electronic transmission, the log files of the transmission can be continuously evaluated, and the result of this audit can be transmitted."
Operations (OPS),OPS-10,Logging and Monitoring - Concept,"The Cloud Service Provider has established policies and instructions that govern the logging and monitoring of events on system components within its area of responsibility. These policies and instructions are documented, communicated and provided according to SP-01 with respect to the following aspects:

- Definition of events that could lead to a violation of the protection goals;

- Specifications for activating, stopping and pausing the various logs;

- Information regarding the purpose and retention period of the logs.

- Define roles and responsibilities for setting up and monitoring logging;

- Time synchronisation of system components; and

- Compliance with legal and regulatory frameworks.",,Legal and regulatory frameworks can define e.g. legal requirements for retention and deletion of data.,"Cloud customers ensure through suitable controls, that appropriate logging and monitoring of events that may affect the security and availability of the cloud service (e.g. administrator activities, system failures, authentication checks, data deletions, etc.) takes place for those layers of the cloud service under their responsibility.",partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Operations (OPS),OPS-11,Logging and Monitoring - Metadata Management Concept,"Policies and instructions for the secure handling of metadata (usage data) are documented, communicated and provided according to SP-01 with regard to the following aspects:

- Metadata is collected and used solely for billing, incident management and security incident management purposes;

- Exclusively anonymous metadata to deploy and enhance the cloud service so that no conclusions can be drawn about the cloud customer or user;

- No commercial use; 

- Storage for a fixed period reasonably related to the purposes of the collection;

- Immediate deletion if the purposes of the collection are fulfilled and further storage is no longer necessary.

- Provision to cloud customers according to contractual agreements.",Personal data is automatically removed from the log data before the Cloud Service Provider processes it as far as technically possible. The removal is done in a way that allows the Cloud Service Provider to continue to use the log data for the purpose for which it was collected.,"Metadata is all data that is generated by the Cloud Service Provider through the use of its service by the cloud customer and is not content-related data. This includes login/logout times, IP addresses, customer's GPS location, which resources (network, storage, computer) were used, which data was accessed when, with whom data was shared, with whom it was communicated, etc. This data is partly used for billing purposes and for (security) incident management. However, it can also be used to analyse customer behaviour (depending on the cloud service) and to make the decision making and work processes visible to the Cloud Service Provider. The criteria aim to provide a transparent and clear definition of the collection and use of metadata. In addition, metadata refers to data that is generated when the Cloud Service Provider accesses customer data (e.g. for indexing).",,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Operations (OPS),OPS-12,"Logging and Monitoring - Access, Storage and Deletion","The requirements for the logging and monitoring of events and for the secure handling of metadata are implemented by technically supported procedures with regard to the following restrictions:

- Access only for authorised users and systems;

- Retention for the specified period; and

- Deletion when further retention is no longer necessary for the purpose of collection.",,,,no,"A continuous check is only of limited use here, since the primary purpose of checking the handling of metadata is to check the guidelines and the associated configurations of the tools for securing, processing and deleting metadata. In addition, the contractual basis for the use of metadata may also need to be considered. 

Alternative suggestion:

A continuous audit could include the configuration for deleting or anonymising the metadata and automatically recording whether the configuration still exists and is implemented correctly. In this case, there would be a partial possibility for continuous auditing."
Operations (OPS),OPS-13,Logging and Monitoring - Identification of Events,"The logging data is automatically monitored for events that may violate the protection goals in accordance with the logging and monitoring requirements. This also includes the detection of relationships between events (event correlation). 

Identified events are automatically reported to the appropriate departments for prompt evaluation and action.",,,,yes,"The Cloud Service Provider can automatically test the list of assets critical for monitoring and record this test in logs.

The auditor can audit the log files for irregularities automatically and continuously."
Operations (OPS),OPS-14,Logging and Monitoring - Storage of the Logging Data,"The Cloud Service Provider retains the generated log data and keeps these in an appropriate, unchangeable and aggregated form, regardless of the source of such data, so that a central, authorised evaluation of the data is possible. Log data is deleted if it is no longer required for the purpose for which they were collected. 

Between logging servers and the assets to be logged, authentication takes place to protect the integrity and authenticity of the information transmitted and stored. The transfer takes place using state-of-the-art encryption or a dedicated administration network (out-of-band management).","The Cloud Service Provider provides a customer-specific logging (in terms of scope and duration of retention period) upon request of the Cloud Customer. Depending on the protection requirements of the Cloud Service Provider and the technical feasibility, a logical or physical separation of log and customer data is carried out.",,,yes,"The storage of logging data at a central location can be documented by logs when the data is saved. The deletion of this data can also be automated and documented by logs.

The auditor can then perform an automated and continuous evaluation of these logs."
Operations (OPS),OPS-15,Logging and Monitoring - Accountability,"The log data generated allows an unambiguous identification of user accesses at tenant level to support (forensic) analysis in the event of a security incident. 

Interfaces are available to conduct forensic analyses and perform backups of infrastructure components and their network communication.","On request of the Cloud customer, the Cloud Service Provider provides the logs relating to the cloud customer in an appropriate form and in a timely manner so that the cloud customer can investigate any incidents relating to them.","Infrastructure components in the sense of this criterion are e.g. fabric controllers, network components and virtualisation servers.","Cloud customers ensure through suitable controls, that unique user IDs are assigned which allow a corresponding analysis in the event of a security incident.",no,"For the generated logging data to allow unambiguous identification of user accesses at the tenant level, the creation of this data must be configured accordingly. This configuration does not have to be audited continuously, but only if it is changed.

The interfaces can also be audited initially and then tested again if changes are made."
Operations (OPS),OPS-16,Logging and Monitoring - Configuration,Access to system components for logging and monitoring in the Cloud Service Provider’s area of responsibility is restricted to authorised users. Changes to the configuration are made in accordance with the applicable policies (cf. DEV-03).,Access to system components for logging and monitoring in the Cloud Service Provider's area of responsibility requires two-factor authentication.,,,yes,The continuous audit of this access restriction can be tested by log files of all changes to access rights for the system components for logging and monitoring. Changes can be automatically and continuously audited according to the person's sense and need for access.
Operations (OPS),OPS-17,Logging and Monitoring - Availability of the Monitoring Software,The Cloud Service Provider monitors the system components for logging and monitoring in its area of responsibility. Failures are automatically and promptly reported to the Cloud Service Provider’s responsible departments so that these can assess the failures and take required action.,The system components for logging and monitoring are designed in such a way that the overall functionality is not restricted if individual components fail.,,,yes,"Automatically communicated failures can be tracked in logs.

A continuous and automated audit of these failures can be carried out by evaluating these logs."
Operations (OPS),OPS-18,"Managing Vulnerabilities, Malfunctions and Errors - Concept","Guidelines and instructions with technical and organisational measures are documented, communicated and provided in accordance with SP-01 to ensure the timely identification and addressing of vulnerabilities in the system components used to provide the cloud service. These guidelines and instructions contain specifications regarding the following aspects:

- Regular identification of vulnerabilities;

- Assessment of the severity of identified vulnerabilities;

- Prioritisation and implementation of actions to promptly remediate or mitigate identified vulnerabilities based on severity and according to defined timelines; and

- Handling of system components for which no measures are initiated for the timely remediation or mitigation of vulnerabilities.",,"Identified vulnerabilities can be classified according to established metrics such as CVSS or OWASP. The decision not to remediate or mitigate identified vulnerabilities must be made by the Cloud Service Provider based on a risk assessment. If necessary, risk-compensating measures must be taken.","Cloud customers ensure through suitable controls, that they check system components in their area of responsibility for vulnerabilities on a regular basis and mitigate these with appropriate measures.",no,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Operations (OPS),OPS-19,"Managing Vulnerabilities, Malfunctions and Errors - Penetration Tests","The Cloud Service Provider has penetration tests carried out by qualified internal personnel or external service providers at least once a year. The penetration tests are carried out according to a documented test methodology and include the system components relevant to the provision of the cloud service in the area of responsibility of the Cloud Service Provider, which have been identified as such in a risk analysis. 

The Cloud Service Provider assess the severity of the findings made in penetration tests according to defined criteria.

For findings with medium or high criticality regarding the confidentiality, integrity or availability of the cloud service, actions must be taken within defined time windows for prompt remediation or mitigation.",The tests are carried out every six months. They must always be performed by independent external auditors. Internal personnel for penetration tests may support the external service providers.,"Vulnerabilities should be classified according to damage potential and a period of time should be specified for the required response. The following classification according to the BSI publication ""Ein Praxis-Leitfaden für IS-
Penetrationstests"" can serve as an orientation:

- High: Immediate reaction;

- Medium: Short-term response;

- Low: Medium-term response; and

- Information: Long-term response.",,partially,"Since penetration tests are carried out annually, a continuous audit is not practical, since the effort required to automate the execution of the test is probably greater than the benefit."
Operations (OPS),OPS-20,"Managing Vulnerabilities, Malfunctions and Errors - Measurements, Analyses and Assessments of Procedures","The Cloud Service Provider regularly measures, analyses and assesses the procedures with which vulnerabilities and incidents are handled to verify their continued suitability, appropriateness and effectiveness.

Results are evaluated at least quarterly by accountable departments at the Cloud Service Provider to initiate continuous improvement actions and to verify their effectiveness.",,Common Vulnerabilities and Exposures (CVE) or similar methods are a suitable way of documenting vulnerabilities and incidents.,,yes,"The measurements, analyses and evaluations are based on data that could be continuously queried in order to verify the plausibility of the results derived from them.

The initiation and review of measures for continuous improvement require a manual audit."
Operations (OPS),OPS-21,Involvement of Cloud customers in the event of incidents,"The Cloud Service Provider periodically informs the cloud customer on the status of incidents affecting the cloud customer, or, where appropriate and necessary, involve the customer in the resolution, in a manner consistent with the contractual agreements.

As soon as an incident has been resolved from the Cloud Service Provider's perspective, the cloud customer is informed according to the contractual agreements, about the actions taken.",,,"Cloud customers ensure through suitable controls that they receive notifications from the Cloud Service Provider regarding incidents that affect them, and that these notifications are forwarded in a timely manner to the department responsible for processing them so that appropriate action can be taken.",yes,"A continuous audit is possible if customers are informed about incidents via a standardised communication channel and this is documented (e-mails, logs).

The auditor can then evaluate the compiled documentation automatically and continuously.

However, it seems more effective to combine the evaluation of the communication of incidents to cloud customers with the evaluation of the elimination of the incidents. As soon as the incidents have been resolved automatically in the best case, an automatic message is generated and sent to the cloud customer. This message is to be documented.

This makes it possible for the auditor to evaluate whether the cloud customer has been properly informed on a regular basis about all incidents affecting them, but not beyond."
Operations (OPS),OPS-22,Testing and Documentation of known Vulnerabilities,"System components in the area of responsibility of the Cloud Service Provider for the provision of the cloud service are automatically checked for known vulnerabilities at least once a month in accordance with the policies for handling vulnerabilities (cf. OPS-18), the severity is assessed in accordance with defined criteria and measures for timely remediation or mitigation are initiated within defined time windows.","Available security patches are applied depending on the severity of the vulnerabilities, as determined based on the latest version of the Common Vulnerability Scoring System (CVSS):

- Critical (CVSS = 9.0 - 10.0): 3 hours;

- High (CVSS = 7.0 - 8.9): 3 days;

- Average (CVSS = 4.0 - 6.9): 1 month;

- Low (CVSS = 0.1 - 3.9): 3 months.","In contrast to penetration tests (Cf. OPS-20), which are carried out manually and according to an individual scheme, the check for open vulnerabilities is performed automatically, using so-called vulnerability scanners.","Cloud customers ensure through suitable controls, that system components under their responsibility are regularly checked for vulnerabilities and to mitigate these by appropriate measures.",yes,"The periodic check for vulnerabilities and the corresponding results as well as the analysis and remediation of identified vulnerabilities are documented by the Cloud Service Provider. 

An automated and continuous audit of this procedure can be implemented by the auditor by automatically evaluating the documented results."
Operations (OPS),OPS-23,"Managing Vulnerabilities, Malfunctions and Errors - System Hardening","System components in the production environment used to provide the cloud service under the Cloud Service Provider's responsibility are hardened according to generally accepted industry standards. The hardening requirements for each system component are documented.

If non-modifiable (""immutable"") images are used, compliance with the hardening specifications as defined in the hardening requirements is checked upon creation of the images. Configuration and log files regarding the continuous availability of the images are retained.",System components in the Cloud Service Provider's area of responsibility are automatically monitored for compliance with hardening specifications. Deviations from the specifications are automatically reported to the appropriate departments of the Cloud Service Provider for immediate assessment and action.,"System components in the sense of the basic criterion are the objects required for the information security of the cloud service during the creation, processing, storage, transmission, deletion or destruction of information in the Cloud Service Provider's area of responsibility, e.g. firewalls, load balancers, web servers, application servers and database servers. These system components in turn consist of hardware and software objects. This criterion is limited to software objects such as hypervisors, operating systems, databases, programming interfaces (APIs), images (e.g. for virtual machines and containers) and applications for logging and monitoring security events.

The configuration and log files for non-modifiable mages include e.g.:

- Configuration of the images used with regards to implemented hardening; and specifications including version history

- Logs for file integrity monitoring of images in productive use.

Generally accepted industry standards are, for example, the Security Configuration Benchmark of the “Centre for Internet Security” (CIS) or the corresponding modules in the BSI IT-Grundschutz-Kompendium.

Compliance with hardening specifications can be monitored with e.g. file integrity monitoring",Cloud customers ensure through suitable controls that layers of the cloud service which are under their responsibility are hardened according to generally established and accepted industry standards. The hardening specifications applied are derived from a risk assessment of the planned usage of the cloud service.,yes,"The verification of compliance with the specifications for the hardening of system components can be automatically tested and subsequently documented (logs).

The auditor can evaluate these logs automatically and continuously and thus carry out a continuous audit."
Operations (OPS),OPS-24,Separation of Datasets in the Cloud Infrastructure,Cloud customer data stored and processed on shared virtual and physical resources is securely and strictly separated according to a documented approach based on OIS-07 risk analysis to ensure the confidentiality and integrity of this data.,Resources in the storage network are segmented by secure zoning (LUN binding and LUN masking).,"Shared resources include memory, cores and storage networks. Technical segregation (separation) of the stored and processed data of cloud customers into shared resources can be achieved through firewalls, access lists, tagging, VLANs, virtualisation and measures in the storage network (e.g. LUN binding and LUN masking). Where the adequacy and effectiveness of segregation cannot be assessed with reasonable assurance (e.g. due to complex implementation), evidence may also be provided through expert third party review results (e.g. penetration tests to validate the concept). The segregation of transmitted data is subject to control COS-06.",Cloud customers ensure through suitable controls that the functions provided by the cloud service for segregating shared virtual and physical resources are used in such way that risks related to segregation are adequately addressed according to the data's protection requirements.,partially,"The segregation according to a documented concept is implemented by means of a configuration which does not change with high frequency. A continuous audit of this configuration could check whether the configuration and thus the segregation of the data is implemented correctly. However, the effort for a continuous audit would be high and the benefit limited due to the low change rate of the configuration. Thus, a continuous audit would only be of limited use here. If compliance with the measures taken is monitored, this criterion can be audited automatically.

It would also be conceivable to continuously audit the actual data segregation. For this purpose, the Cloud Service Provider would have to set up appropriate agents to monitor the data flow between the customer instances (or its absence) on a permanent and documented basis (logs)."
Identity and Access Management (IDM),IDM-01,Policy for user accounts and access rights,"A role and rights concept based on the business and security requirements of the Cloud Service Provider as well as a policy for managing user accounts and access rights for internal and external employees of the Cloud Service Provider and system components that have a role in automated authorisation processes of the Cloud Service Provider are documented, communicated and made available according to SP-01:

- Assignment of unique usernames; 

- Granting and modifying user accounts and access rights based on the “least-privilege- principle” and the “need-to-know” principle;

- Segregation of duties between operational and monitoring functions (“Segregation of Duties”); 

- Segregation of duties between managing, approving and assigning user accounts and access rights; 

- Approval by authorised individual(s) or system(s) for granting or modifying user accounts and access rights before data of the cloud customer or system components used to provision the cloud service can be accessed; 

- Regular review of assigned user accounts and access rights; 

- Blocking and removing access accounts in the event of inactivity; 

- Time-based or event-driven removal or adjustment of access rights in the event of changes to job responsibility; 

- Two-factor or multi-factor authentication for users with privileged access;

- Requirements for the approval and documentation of the management of user accounts and access rights.",,System components in the sense of the basic criterion cf. definition in OPS-23. Automated authorisation processes in the sense of this basic criterion concern procedures for automated software provisioning (continuous delivery) as well as for automated provisioning and deprovisioning of user accounts and access rights based on approved requests.,,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically.

The aspects mentioned in the policy can be converted into individual criteria and embedded in a continuous audit. Individual aspects of the policy which can be examined on an ongoing basis: 

- Unique user name; 

- Segregation of duties; 

- Rights profile management (approvals); 

- Authorised bodies or individuals; 

- Regular review; 

- Deactivation due to inactivity; 

- Multi-factor authentication; 

- Approval and documentation Individual aspects of the policy which cannot be continuously examined in a practicable manner; 

- Implementation of least-privilege/need-to-know principles; and

- Withdrawal or adjustment of access rights as the task area changes."
Identity and Access Management (IDM),IDM-02,Granting and change of user accounts and access rights,Specified procedures for granting and modifying user accounts and access rights for internal and external employees of the Cloud Service Provider as well as for system components involved in automated authorisation processes of the Cloud Service Provider ensure compliance with the role and rights concept as well as the policy for managing user accounts and access rights.,The Cloud Service Provider offers cloud customers a self-service with which they can independently assign and change user accounts and access rights.,,,no,"A continuous audit of procedures is strongly dependent on the underlying systematics and automation of the Cloud Service Provider's procedures. This may vary in individual cases, but in general a continuous audit does not appear to be effective."
Identity and Access Management (IDM),IDM-03,Locking and withdrawal of user accounts in the event of inactivity or multiple failed logins,"User accounts of internal and external employees of the Cloud Service Provider as well as for system components involved in automated authorisation processes of the Cloud Service Provider are automatically locked if they have not been used for a period of two months. Approval from authorised personnel or system components are required to unlock these accounts.

Locked user accounts are automatically revoked after six months. After revocation, the procedure for granting user accounts and access rights (cf. IDM-02) must be repeated.",,"Locking can result from a longer absence of the employee, for example, due to illness, parental leave, or sabbatical.",,yes,Automated processes can easily be included in the continuous audit. Appropriate evaluation and reporting mechanisms must be used by the Cloud Service Provider. The auditor must use data analyses to detect deviations.
Identity and Access Management (IDM),IDM-04,Withdraw or adjust access rights as the task area changes,"Access rights are promptly revoked if the job responsibilities of the Cloud Service Provider's internal or external staff or the tasks of system components involved in the Cloud Service Provider's automated authorisation processes change. Privileged access rights are adjusted or revoked within 48 hours after the change taking effect. All other access rights are adjusted or revoked within 14 days. After revocation, the procedure for granting user accounts and access rights (cf. IDM-02) must be repeated.",,"Changes in the task area of internal and external employees can be triggered by changes in the employment relationship (e.g. termination, transfer) or in contracts and agreements. For privileged access rights the definition in IDM-06 applies.",,yes,It is necessary to record the changes to the task area in terms of content together with the date of entry into force in order to compare these with the adjustments made to the access rights. A continuous audit seems possible but requires a great deal of effort to implement.
Identity and Access Management (IDM),IDM-05,Regular review of access rights,"Access rights of internal and external employees of the Cloud Service Provider as well as of system components that play a role in automated authorisation processes of the Cloud Service Provider are reviewed at least once a year to ensure that they still correspond to the actual area of use. The review is carried out by authorised persons from the Cloud Service Provider's organisational units, who can assess the appropriateness of the assigned access rights based on their knowledge of the task areas of the employees or system components. Identified deviations will be dealt with promptly, but no later than 7 days after their detection, by appropriate modification or withdrawal of the access rights.",Privileged access rights are reviewed at least every six months. ,,,yes,The review audit cannot be recorded automatically. A registration of documents used for documentary purposes could take place (e.g. confirmation that the assignment of the access rights has been reviewed). A continuous audit could indicate when this review was last carried out. The Cloud Service Provider must automate the review process (in particular the confirmation that the review has been performed) so that the auditor can audit the steps to be performed in case deviations are detected.
