question_id,question,aicm_control_id,aicm_control_title,aicm_domain_title,aicm_control_type,aicm_control_specification
DCS-07.1,Are all relevant physical and logical assets located at service provider sites catalogued and tracked within a secured system?,DCS-07,Assets Cataloguing and Tracking,Datacenter Security,Cloud & AI Related,"Catalogue and track all relevant physical and logical assets located at all of the service provider's sites within a secured system. Review and update the catalogue at least annually, or upon significant changes."
DCS-07.2,Are catalogues reviewed and updated at least annually or upon significant changes?,DCS-07,Assets Cataloguing and Tracking,Datacenter Security,Cloud & AI Related,"Catalogue and track all relevant physical and logical assets located at all of the service provider's sites within a secured system. Review and update the catalogue at least annually, or upon significant changes."
DCS-08.1,"Are physical security perimeters designed and implemented to safeguard personnel, data, and information systems?",DCS-08,Controlled Physical Access Points,Datacenter Security,Cloud-Specific,"Design and implement physical security perimeters to safeguard personnel, data, and information systems."
DCS-09.1,Is equipment identification used as a method for connection authentication?,DCS-09,Equipment Identification,Datacenter Security,Cloud-Specific,Use equipment identification as a method for connection authentication.
DCS-10.1,"Are solely authorized personnel able to access secure areas, with all ingress and egress areas restricted, documented, and monitored by physical access control mechanisms?",DCS-10,Secure Area Authorization,Datacenter Security,Cloud-Specific,"Allow only authorized personnel access to secure areas, with all ingress and egress points restricted, documented, and monitored by  physical access control mechanisms. Retain access control records on a  periodic basis as deemed appropriate by the organization."
DCS-10.2,"Are access control records retained periodically, as deemed appropriate by the organization?",DCS-10,Secure Area Authorization,Datacenter Security,Cloud-Specific,"Allow only authorized personnel access to secure areas, with all ingress and egress points restricted, documented, and monitored by  physical access control mechanisms. Retain access control records on a  periodic basis as deemed appropriate by the organization."
DCS-11.1,"Are datacenter surveillance systems at the external perimeter and at all the ingress and egress points, implemented, maintained, and operated to detect unauthorized ingress and egress attempts?",DCS-11,Surveillance System,Datacenter Security,Cloud-Specific,"Implement, maintain, and operate datacenter surveillance systems at the external perimeter and at all the ingress and egress points to  detect unauthorized ingress and egress attempts."
DCS-12.1,"Are data center personnel trained to safely manage adverse events, including but not limited to unauthorized ingress and egress attempts?",DCS-12,Adverse Event Response Training,Datacenter Security,Cloud-Specific,"Train datacenter personnel to safely manage adverse events, including but not limited to unauthorized ingress and egress attempts."
DCS-13.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure risk-based protection of power and telecommunication cables from interception, interference, or damage threats at all facilities, offices, and rooms?",DCS-13,Cabling Security,Datacenter Security,Cloud-Specific,"Define, implement and evaluate processes, procedures and technical measures that ensure a risk-based protection of power and telecommunication cables from a threat of interception, interference or damage at all facilities, offices and rooms."
DCS-14.1,"Are data center environmental control systems designed to implement and maintain, and test for continual effectiveness of temperature and humidity conditions within accepted industry standards?",DCS-14,Environmental Systems,Datacenter Security,Cloud-Specific,"Implement and maintain data center environmental control systems that monitor, maintain and test for continual effectiveness the temperature and humidity conditions within accepted industry standards."
DCS-15.1,"Are utility services secured, monitored, maintained, and tested at planned intervals for continual effectiveness?",DCS-15,Secure Utilities,Datacenter Security,Cloud-Specific,"Secure, monitor, maintain, and test utilities services for continual effectiveness at planned intervals."
DCS-16.1,Is business-critical equipment segregated from locations subject to a high probability of environmental risk events?,DCS-16,Equipment Location,Datacenter Security,Cloud-Specific,Keep business-critical equipment away from locations subject to high probability for environmental risk events.
DCS-17.1,"Are data center security metrics established, monitored and reported, to secure data center assets and services?",DCS-17,Datacenter Metrics,Datacenter Security,Cloud-Specific,"Establish, monitor and report data center security metrics to secure data center assets and services."
DCS-18.1,"Are processes, procedures and technical measures defined, implemented and evaluated, to ensure continuous operations?",DCS-18,Datacenter Operations Resilience,Datacenter Security,Cloud-Specific,"Define, implement and evaluate processes, procedures and technical measures to ensure continuous operations."
DSP-01.1,"Are Policies and Procedures established, documented, approved, communicated, applied, evaluated, and maintained for the preparation, classification, protection, and handling of data throughout its lifecycle, and according to all applicable laws and regulations, standards, and risk level?",DSP-01,Security and Privacy Policy and Procedures,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Establish, document, approve, communicate, 
apply, evaluate and maintain policies and 
procedures for the preparation, classification, 
protection and handling of data throughout 
its lifecycle, and according to all applicable 
laws and regulations, standards, and risk level. 
Review and update the policies and 
procedures at least annually, or upon 
significant changes."
DSP-01.2,"Are Policies and Procedures reviewed and updated at least annually, or upon significant changes?",DSP-01,Security and Privacy Policy and Procedures,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Establish, document, approve, communicate, 
apply, evaluate and maintain policies and 
procedures for the preparation, classification, 
protection and handling of data throughout 
its lifecycle, and according to all applicable 
laws and regulations, standards, and risk level. 
Review and update the policies and 
procedures at least annually, or upon 
significant changes."
DSP-02.1,Are industry-accepted methods applied for securely disposing of data from storage media so that it is not recoverable by any forensic means?,DSP-02,Secure Disposal,Data Security and Privacy Lifecycle Management,Cloud & AI Related,Apply industry accepted methods for the secure disposal of data from storage media such that data is not recoverable by any forensic means.
DSP-03.1,"Are data inventories created and maintained at least for any sensitive, regulated, and personal data?",DSP-03,Data Inventory,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Create and maintain a data inventory, at least for any sensitive, regulated  and personal data. Review and update the inventory at least annually, or upon significant changes."
DSP-03.2,Are inventories reviewed and updated at least annually or upon significant changes?,DSP-03,Data Inventory,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Create and maintain a data inventory, at least for any sensitive, regulated  and personal data. Review and update the inventory at least annually, or upon significant changes."
DSP-04.1,"Are data classified according to its type, criticality and sensitivity level?",DSP-04,Data Classification,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Classify data according to its type, criticality and sensitivity level."
DSP-05.1,"Is data flow documentation created to identify what data is processed, stored, or transmitted where?",DSP-05,Data Flow Documentation,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Create data flow documentation to identify what data is processed, stored or transmitted where. Review data flow documentation at defined intervals, at least annually, and upon significant changes."
DSP-05.2,"Is data flow documentation reviewed at defined intervals, at least annually, and upon significant changes?",DSP-05,Data Flow Documentation,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Create data flow documentation to identify what data is processed, stored or transmitted where. Review data flow documentation at defined intervals, at least annually, and upon significant changes."
DSP-06.1,Are ownership and stewardship of all relevant personal and sensitive data documented?,DSP-06,Data Ownership and Stewardship,Data Security and Privacy Lifecycle Management,Cloud & AI Related,Document ownership and stewardship of all relevant documented personal and sensitive data. Perform review at least annually.
DSP-06.2,Are reviews performed at least annually for the documented ownership and stewardship of all relevant personal and sensitive data?,DSP-06,Data Ownership and Stewardship,Data Security and Privacy Lifecycle Management,Cloud & AI Related,Document ownership and stewardship of all relevant documented personal and sensitive data. Perform review at least annually.
DSP-07.1,"Are systems, products, and business practices developed based upon a principle of security by design and industry best practices?",DSP-07,Data Protection by Design and Default,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Develop systems, products, and business practices based upon a principle of security by design and industry best practices."
DSP-08.1,"Are systems, products, and business practices developed based upon a principle of privacy by design and industry best practices?",DSP-08,Data Privacy by Design and Default,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Develop systems, products, and business practices based upon a principle of privacy by design and industry best practices. Ensure that systems' privacy settings are configured by default, according to all applicable laws and regulations."
DSP-08.2,"Are systems' privacy settings configured by default, according to all applicable laws and regulations?",DSP-08,Data Privacy by Design and Default,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Develop systems, products, and business practices based upon a principle of privacy by design and industry best practices. Ensure that systems' privacy settings are configured by default, according to all applicable laws and regulations."
DSP-09.1,"Are Data Protection Impact Assessments (DPIAs) conducted to evaluate the origin, nature, particularity, and severity of the risks upon the processing of personal data, according to any applicable laws, regulations, and industry best practices?",DSP-09,Data Protection Impact Assessment,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Conduct a Data Protection Impact Assessment (DPIA) to evaluate the origin, nature, particularity and severity of the risks upon the processing of personal data, according to any applicable laws, regulations and industry best practices."
DSP-10.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated that ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope as permitted by the respective laws and regulations?",DSP-10,Sensitive Data Transfer,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures that ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope as permitted by the respective laws and regulations."
DSP-11.1,"Are processes, procedures, and technical measures defined and implemented to enable data subjects to request access to, modify, or delete their personal data according to applicable laws and regulations?",DSP-11,"Personal Data Access, Reversal, Rectification and Deletion",Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Define and implement, processes, procedures and technical measures to enable data subjects to request access to, modification, or deletion of their personal data, according to any applicable laws and regulations."
DSP-12.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure that personal data is processed according to applicable laws and regulations and for the purposes declared to the data subject?",DSP-12,Limitation of Purpose in Personal Data Processing,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to ensure that personal data is processed according to any applicable laws and regulations and for the purposes declared to the data subject."
DSP-13.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated for transferring and sub-processing personal data within the service supply chain according to applicable laws and regulations?",DSP-13,Personal Data Sub-processing,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures for the transfer and sub-processing of personal data within the service supply chain, according to any applicable laws and regulations."
DSP-14.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to disclose the details of any personal or sensitive data access by sub-processors to the data owner before initiating that processing?",DSP-14,Disclosure of Data Sub-processors,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to disclose the details of any personal or sensitive data access by sub-processors to the data owner prior to initiation of that processing."
DSP-15.1,Are authorizations obtained from data owners and associated risks managed before replicating or using production data in non-production environments?,DSP-15,Limitation of Production Data Use,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Obtain authorization from data owners, and manage associated risk before replicating or using production data in non-production environments."
DSP-16.1,"Are data retention, archiving, and deletion managed per business requirements, applicable laws, and regulations?",DSP-16,Data Retention and Deletion,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Data retention, archiving and deletion is managed in accordance with business requirements, applicable laws and regulations."
DSP-17.1,"Are processes, procedures, and technical measures defined and implemented to protect sensitive data throughout its lifecycle?",DSP-17,Sensitive Data Protection,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Define and implement, processes, procedures and technical measures to protect sensitive data throughout its lifecycle."
DSP-18.1,"Is the procedure to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations, implemented and described to the service customers by the service providers?",DSP-18,Disclosure Notification,Data Security and Privacy Lifecycle Management,Cloud & AI Related,The service providers must implement and describe to service customers the procedure to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations.
DSP-19.1,"Are processes, procedures, and technical measures defined and implemented to specify and document the physical locations of data, including any locations where data is processed or backed up?",DSP-19,Data Location,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Define and implement, processes, procedures and technical measures to specify and document the physical locations of data, including any locations in which data is processed or backed up."
DSP-20.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to: 
1) Document and trace data sources, and 2) Make the data source available according to legal and regulatory requirements",DSP-20,Data Provenance and Transparency,Data Security and Privacy Lifecycle Management,Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to:  1) Document and trace data sources, and 2) Make the data source available according to legal and regulatory requirements"
DSP-21.1,"Are processes, procedures and technical measures to prevent data poisoning in AI models and continuously detect such, defined, implemented and evaluated?",DSP-21,Data Poisoning Prevention & Detection,Data Security and Privacy Lifecycle Management,AI-Specific,"Define, implement and evaluate processes, procedures and technical measures to prevent data poisoning in AI models and continuously detect such."
DSP-22.1,Are Privacy Enhancing Technologies (PET) used for training data informed by risk and privacy impact analysis and business use cases?,DSP-22,Privacy Enhancing Technologies,Data Security and Privacy Lifecycle Management,AI-Specific,"Use Privacy Enhancing Technologies for training data, informed by risk and privacy impact analysis and business use cases."
DSP-23.1,"Is the consistency and conformity of training, fine-tuning or augmentation data regularly validated?",DSP-23,Data Integrity Check,Data Security and Privacy Lifecycle Management,AI-Specific,"Regularly validate the consistency and conformity of training, fine-tuning or augmentation data. Implement dataset versioning to ensure traceability and enforce restrictions to prevent unauthorized changes."
DSP-23.2,"Is dataset versioning to ensure traceability implemented and are restrictions to prevent unauthorized changes, enforced?",DSP-23,Data Integrity Check,Data Security and Privacy Lifecycle Management,AI-Specific,"Regularly validate the consistency and conformity of training, fine-tuning or augmentation data. Implement dataset versioning to ensure traceability and enforce restrictions to prevent unauthorized changes."
DSP-24.1,"Is training-data differentiation and relevance to the intended use of the AI Model, ensured?",DSP-24,Data Differentiation and Relevance,Data Security and Privacy Lifecycle Management,AI-Specific,Ensure training-data differentiation and relevance to the intended use of the AI Model.
GRC-01.1,"Are policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained for an information governance program that is sponsored by the leadership of the organization and related to AI systems as well?",GRC-01,Governance Program Policy and Procedures,"Governance, Risk and Compliance",Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures for an information 
governance program, which is sponsored by the leadership 
of the organization and related to AI systems as well. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
GRC-01.2,"Are policies and procedures for an information governance program and related to AI systems, reviewed and updated at least annually, or upon significant changes?",GRC-01,Governance Program Policy and Procedures,"Governance, Risk and Compliance",Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures for an information 
governance program, which is sponsored by the leadership 
of the organization and related to AI systems as well. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
GRC-02.1,"Is a formal, documented, and leadership-sponsored AI risk management (AIRM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of risks, established and maintained?",GRC-02,Risk Management Program,"Governance, Risk and Compliance",Cloud & AI Related,"Establish and maintain a formal, documented, and leadership-sponsored AI Risk Management (AIRM) program that includes policies and  procedures for identification, evaluation, ownership, treatment, and acceptance of risks."
GRC-03.1,"Are relevant organizational policies and associated procedures reviewed at least annually or when a substantial change within the organization, occurs?",GRC-03,Organizational Policy Reviews,"Governance, Risk and Compliance",Cloud & AI Related,Review all relevant organizational policies and associated procedures at least annually or when a substantial change occurs within the organization.
GRC-04.1,"Is an approved exception process mandated by the governance program established
and followed whenever a deviation from an established policy occurs?",GRC-04,Policy Exception Process,"Governance, Risk and Compliance",Cloud & AI Related,Establish and follow an approved exception process as mandated by the governance program whenever a deviation from an established policy occurs.
GRC-05.1,Is an Information Security Program that includes programs for all the relevant domains of the AICM developed and implemented?,GRC-05,Information Security Program,"Governance, Risk and Compliance",Cloud & AI Related,"Develop and implement an Information Security Program, which includes programs for all the relevant domains of the AICM."
GRC-06.1,"Are roles and responsibilities defined and documented for planning, implementing, operating, assessing, and improving governance programs?",GRC-06,Governance Responsibility Model,"Governance, Risk and Compliance",Cloud & AI Related,"Define and document roles and responsibilities for planning, implementing, operating, assessing, and improving governance programs."
GRC-07.1,"Are all relevant standards, regulations, legal/contractual, and statutory requirements, that are applicable to 
your organization, identified and documented?",GRC-07,Information System Regulatory Mapping,"Governance, Risk and Compliance",Cloud & AI Related,"Identify and document all relevant standards, regulations, 
legal/contractual, and statutory requirements, which are 
applicable to your organization. 
Review at least annually, or upon significant changes."
GRC-07.2,"Are all relevant standards, regulations, legal/contractual and statutory requirements reviewed and updated at least annually or upon significant changes?",GRC-07,Information System Regulatory Mapping,"Governance, Risk and Compliance",Cloud & AI Related,"Identify and document all relevant standards, regulations, 
legal/contractual, and statutory requirements, which are 
applicable to your organization. 
Review at least annually, or upon significant changes."
GRC-08.1,Is contact established and maintained with related special interest groups and other relevant entities in line with business context?,GRC-08,Special Interest Groups,"Governance, Risk and Compliance",Cloud & AI Related,Establish and maintain contact with related special interest groups and other relevant entities in line with business context.
GRC-09.1,"Are policies and procedures defined, documented, and enforced for the acceptable use of AI services offered by the organization?",GRC-09,Acceptable Use of the AI Service,"Governance, Risk and Compliance",AI-Specific,"Define, document and enforce policies and procedures on the acceptable use of AI services offered by the organization. Ensure effectiveness by continuous risk assessments, reviews and human oversight."
GRC-09.2,"Is effectiveness of the acceptable use of AI services policies and procedures evaluated by continuous risk assessments, reviews, and human oversight?",GRC-09,Acceptable Use of the AI Service,"Governance, Risk and Compliance",AI-Specific,"Define, document and enforce policies and procedures on the acceptable use of AI services offered by the organization. Ensure effectiveness by continuous risk assessments, reviews and human oversight."
GRC-10.1,"Is an AI Impact Assessment process  and its criteria to regularly evaluate the ethical, societal, operational, legal, and security impacts of the AI system throughout its lifecycle, established, documented, and communicated to all relevant stakeholders?",GRC-10,AI Impact Assessment,"Governance, Risk and Compliance",AI-Specific,"Establish, document, and communicate to all relevant stakeholders an AI Impact Assessment process and its criteria to regularly evaluate the ethical, societal, operational, legal, and security impacts of the AI system throughout its lifecycle."
GRC-11.1,"Are AI systems, models, datasets & algorithms regularly evaluated for bias and fairness to ensure compliance with ethical standards?",GRC-11,Bias and Fairness Assessment,"Governance, Risk and Compliance",AI-Specific,"Regularly evaluate AI systems, models, datasets & algorithms for bias and fairness to ensure compliance with ethical standards."
GRC-12.1,"Is an ethics committee established to review AI applications, ensuring alignment with ethical standards and organizational values?",GRC-12,Ethics Committee,"Governance, Risk and Compliance",AI-Specific,"Establish an ethics committee to review AI applications, ensuring alignment with ethical standards and organizational values."
GRC-13.1,"Is the degree of explainability required for the AI Services established, documented, and communicated?",GRC-13,Explainability Requirement,"Governance, Risk and Compliance",AI-Specific,"Establish, document, and communicate the degree of explainability needed for the AI Services."
GRC-14.1,"Is the degree of explainability of the AI Services evaluated, documented, and communicated, including possible limitations and exceptions?",GRC-14,Explainability Evaluation,"Governance, Risk and Compliance",AI-Specific,"Evaluate, document, and communicate the degree of explainability of the AI Services, including possible limitations and exceptions."
GRC-15.1,"Are processes, procedures, and technical measures to ensure human oversight and control of the AI system in compliance with regulatory requirements and organizational risk management, established, executed and assessed?",GRC-15,Human supervision,"Governance, Risk and Compliance",AI-Specific,"Establish, execute, and assess processes, procedures, and technical measures to ensure human oversight and control of the AI system in compliance with regulatory requirements and organizational risk management."
HRS-01.1,"Are new employee background verification policies and procedures (including but not limited to remote employees, contractors, and third parties) established, documented, approved, communicated, applied, evaluated, and maintained?",HRS-01,Background Screening Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures for background 
verification of all new employees (including but not limited 
to remote employees, contractors, and third parties) 
according to local laws, regulations, ethics, and contractual 
constraints and proportional to the data classification to be 
accessed, the business requirements, and acceptable risk. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
HRS-01.2,"Are background verification policies and procedures designed according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, business requirements, and acceptable risk?",HRS-01,Background Screening Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures for background 
verification of all new employees (including but not limited 
to remote employees, contractors, and third parties) 
according to local laws, regulations, ethics, and contractual 
constraints and proportional to the data classification to be 
accessed, the business requirements, and acceptable risk. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
HRS-01.3,"Are background verification policies and procedures reviewed and updated at least annually, or upon significant changes?",HRS-01,Background Screening Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures for background 
verification of all new employees (including but not limited 
to remote employees, contractors, and third parties) 
according to local laws, regulations, ethics, and contractual 
constraints and proportional to the data classification to be 
accessed, the business requirements, and acceptable risk. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
HRS-02.1,"Are policies and procedures for defining allowances and conditions for the  acceptable use of organizationally-owned or managed assets established, documented, approved, communicated, applied, evaluated, and maintained?",HRS-02,Acceptable Use of Technology Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures for defining 
allowances and conditions for the acceptable use of 
organizationally-owned or managed assets. Review and 
update the policies and procedures at least annually, 
or upon significant changes."
HRS-02.2,"Are the policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets, reviewed and updated at least annually, or upon significant changes?",HRS-02,Acceptable Use of Technology Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures for defining 
allowances and conditions for the acceptable use of 
organizationally-owned or managed assets. Review and 
update the policies and procedures at least annually, 
or upon significant changes."
HRS-03.1,"Are policies and procedures requiring unattended workspaces to conceal confidential data established, documented, approved, communicated, applied, evaluated, and maintained?",HRS-03,Clean Desk Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures that require 
unattended workspaces to not have openly visible 
confidential data. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
HRS-03.2,"Are policies and procedures requiring unattended workspaces to conceal confidential data reviewed and updated at least annually, or upon significant changes?",HRS-03,Clean Desk Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures that require 
unattended workspaces to not have openly visible 
confidential data. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
HRS-04.1,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations established, documented, approved, communicated, applied, evaluated, and maintained?",HRS-04,Remote and Home Working Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures to protect information 
accessed, processed or stored at remote sites and locations. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
HRS-04.2,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations reviewed and updated at least annually, or upon significant changes?",HRS-04,Remote and Home Working Policy and Procedures,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain policies and procedures to protect information 
accessed, processed or stored at remote sites and locations. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
HRS-05.1,"Are return procedures of organization-owned assets by terminated employees, contractors and third-parties, established and documented?",HRS-05,Asset returns,Human Resources,Cloud & AI Related,"Establish and document procedures for the return of 
organization-owned assets by terminated employees, 
contractors and third parties."
HRS-06.1,"Are procedures outlining the roles and responsibilities concerning changes in employment established, documented, and communicated to all relevant personnel?",HRS-06,Employment Termination,Human Resources,Cloud & AI Related,"Establish, document, and communicate to all relevant 
personnel the procedures outlining the roles and 
responsibilities concerning changes in employment."
HRS-07.1,"Are employees required to sign an employment agreement before gaining access to organizational information systems, resources, and assets?",HRS-07,Employment Agreement Process,Human Resources,Cloud & AI Related,"Employees sign the employee agreement prior to being granted access to organizational information systems, resources and assets."
HRS-08.1,Are provisions and/or terms for adherence to established information governance and security policies included within employment agreements?,HRS-08,Employment Agreement Content,Human Resources,Cloud & AI Related,The organization includes within the employment agreements provisions and/or terms for adherence to established information governance and security policies.
HRS-09.1,"Are employee roles and responsibilities relating to information assets' security and privacy established, documented and communicated?",HRS-09,Personnel Roles and Responsibilities,Human Resources,Cloud & AI Related,"Establish, document and communicate 
roles and responsibilities of employees, as 
they relate to information assets' security 
and privacy."
HRS-10.1,"Are requirements for non-disclosure/confidentiality agreements reflecting organizational data protection needs and operational details identified, documented, and reviewed at planned intervals?",HRS-10,Non-Disclosure Agreements,Human Resources,Cloud & AI Related,"Identify, document, and review, at planned intervals, requirements for non-disclosure/confidentiality agreements reflecting the organization's needs for the protection of data and operational details."
HRS-11.1,"Is a security awareness training program for all employees of the organization established, documented, approved, communicated, applied, evaluated and maintained?",HRS-11,Security Awareness Training,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain a security awareness training program for all employees of the organization and provide regular training updates."
HRS-11.2,Are regular security awareness training updates provided?,HRS-11,Security Awareness Training,Human Resources,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain a security awareness training program for all employees of the organization and provide regular training updates."
HRS-12.1,"Are employees with access to sensitive organizational and personal data, provided with appropriate security awareness training and regular updates in organizational procedures, processes, and policies, relating to their professional function relative to the organization?",HRS-12,Personal and Sensitive Data Awareness and Training,Human Resources,Cloud & AI Related,"Provide employees with access to sensitive organizational and personal data with appropriate security awareness training and regular  updates in organizational procedures, processes, and policies relating  to their professional function relative to the organization."
HRS-13.1,"Are employees notified of their roles and responsibilities to maintain awareness and compliance with established policies, 
procedures, and applicable legal, statutory, or regulatory compliance obligations?",HRS-13,Compliance User Responsibility,Human Resources,Cloud & AI Related,"Make employees aware of their roles and responsibilities for maintaining awareness and compliance with established policies and procedures and applicable legal, statutory, or regulatory compliance obligations."
HRS-14.1,"Are the policies and procedures defining the AI training program for all relevant personnel of the organization established, documented, approved, communicated, applied, evaluated, and maintained?",HRS-14,AI Competency Training,Human Resources,AI-Specific,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures defining the AI training program for all relevant personnel of the organization based on their roles and provide regular training updates."
HRS-14.2,Are regular training updates given to personnel based on their roles?,HRS-14,AI Competency Training,Human Resources,AI-Specific,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures defining the AI training program for all relevant personnel of the organization based on their roles and provide regular training updates."
HRS-15.1,"Are the policies and procedures on the acceptable use of AI technologies within the organization established, documented, and communicated to all personnel?",HRS-15,AI Acceptable Use,Human Resources,AI-Specific,"Establish, document, and communicate to all personnel the policies and procedures on the acceptable use of AI technologies within the organization."
IAM-01.1,"Are Identity and Access Management policies and procedures established, documented, approved, communicated, implemented, applied, evaluated, and maintained for identity and access management?",IAM-01,Identity and Access Management Policy and Procedures,Identity & Access Management,Cloud & AI Related,"Establish, document, approve, communicate, implement, apply, evaluate and maintain policies and procedures for identity and access management. Review and update the policies and procedures at least annually, or upon significant changes."
IAM-01.2,"Are Identity and Access Management Policies and Procedures reviewed and updated at least annually, or upon significant changes?",IAM-01,Identity and Access Management Policy and Procedures,Identity & Access Management,Cloud & AI Related,"Establish, document, approve, communicate, implement, apply, evaluate and maintain policies and procedures for identity and access management. Review and update the policies and procedures at least annually, or upon significant changes."
IAM-02.1,"Are policies and procedures for the management of authentication credentials including passwords, established, documented, approved, communicated, implemented, applied, evaluated, and maintained?",IAM-02,Credentials Management Policy and Procedures,Identity & Access Management,Cloud & AI Related,"Establish, document, approve, communicate, implement, 
apply, evaluate and maintain policies and procedures for the 
management of authentication credentials, including 
passwords. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
IAM-02.2,"Are policies and procedures for the management of authentication credentials, including passwords, reviewed and updated at least annually, or upon significant changes?",IAM-02,Credentials Management Policy and Procedures,Identity & Access Management,Cloud & AI Related,"Establish, document, approve, communicate, implement, 
apply, evaluate and maintain policies and procedures for the 
management of authentication credentials, including 
passwords. 
Review and update the policies and procedures at least 
annually, or upon significant changes."
IAM-03.1,"Is the inventory of identities managed, stored and regularly reviewed, and is their level of access monitored?",IAM-03,Identity Inventory,Identity & Access Management,Cloud & AI Related,"Manage, store, and regularly review the inventory of identities, and monitor their level of access."
IAM-04.1,Are separation of duties principles employed when implementing information system access?,IAM-04,Separation of Duties,Identity & Access Management,Cloud & AI Related,Employ the separation of duties principle when implementing information system access.
IAM-05.1,Are least privilege principles employed when implementing information system access?,IAM-05,Least Privilege,Identity & Access Management,Cloud & AI Related,Employ the least privilege principle when implementing information system access.
IAM-06.1,"Is an identity access provisioning process which authorizes, records, and communicates access changes to data and assets, defined and implemented?",IAM-06,Access Provisioning,Identity & Access Management,Cloud & AI Related,"Define and implement an identity access provisioning process which  authorizes, records, and communicates access changes to data and assets."
IAM-07.1,"Is identity access de-provisioned or modified, in a timely manner?",IAM-07,Access Changes and Revocation,Identity & Access Management,Cloud & AI Related,De-provision or modify identity access in a timely manner.
