Control Domain,Control Title,Control ID,Control Specification,Control Type
Identity & Access Management,CSCs Approval for Agreed Privileged Access Roles,IAM-11,"Define, implement and evaluate processes and procedures for customers
to participate, where applicable, in the granting of access for agreed, high
risk (as defined by the organizational risk assessment) privileged access roles.
",Cloud-Specific
Identity & Access Management,Safeguard Logs Integrity,IAM-12,"Define, implement and evaluate processes, procedures and technical
measures to ensure the logging infrastructure is read-only for all with write
access, including privileged access roles, and that the ability to disable it
is controlled through a procedure that ensures the segregation of duties and
break glass procedures.
",Cloud-Specific
Identity & Access Management,Uniquely Identifiable Users,IAM-13,"Define, implement and evaluate processes, procedures and technical
measures that ensure users are identifiable through unique IDs or which can
associate individuals to the usage of user IDs.
",Cloud-Specific
Identity & Access Management,Strong Authentication,IAM-14,"Define, implement and evaluate processes, procedures and technical
measures for authenticating access to systems, application and data assets,
including multifactor authentication for at least privileged user and sensitive
data access. Adopt digital certificates or alternatives which achieve an equivalent
level of security for system identities.",Cloud-Specific
Identity & Access Management,Passwords Management,IAM-15,"Define, implement and evaluate processes, procedures and technical
measures for the secure management of passwords.",Cloud & AI Related
Identity & Access Management,Authorization Mechanisms,IAM-16,"Define, implement and evaluate processes, procedures and technical
measures to verify access to data and system functions is authorized.
",Cloud & AI Related
Identity & Access Management,Knowledge Access Control - Need to Know,IAM-17,"Define policy and procedure for ""need to know"" access within the organization and in the context of the AI system to be applied when regulating access to resources.",Cloud & AI Related
Identity & Access Management,Intervention Control - Need special authorization,IAM-18,"If allowing model output manipulation before returning to end user, establish a role for this access. Only allow changes by authorized subjects with this role.",Cloud & AI Related
Interoperability & Portability,Interoperability and Portability Policy and Procedures,IPY-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for interoperability and portability including
requirements for:
a. Communications between application interfaces
b. Information processing interoperability
c. Application development portability
d. Information/Data exchange, usage, portability, integrity, and persistence
Review and update the policies and procedures at least annually.
",Cloud & AI Related
Interoperability & Portability,Application Interface Availability,IPY-02,"Provide application interface(s) to CSCs so that they programmatically
retrieve their data to enable interoperability and portability.
",Cloud & AI Related
Interoperability & Portability,Secure Interoperability and Portability Management,IPY-03,"Implement cryptographically secure and standardized network protocols
for the management, import and export of data.
",Cloud & AI Related
Interoperability & Portability,Data Portability Contractual Obligations,IPY-04,"Agreements must include provisions specifying CSCs access to data
upon contract termination and will include:
a. Data format
b. Length of time the data will be stored
c. Scope of the data retained and made available to the CSCs
d. Data deletion policy
",Cloud-Specific
Infrastructure Security,Infrastructure and Virtualization Security Policy and Procedures,I&S-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for infrastructure and virtualization security. Review
and update the policies and procedures at least annually.
",Cloud & AI Related
Infrastructure Security,Capacity and Resource Planning,I&S-02,"Plan and monitor the availability, quality, and adequate capacity
of resources in order to deliver the required system performance as determined
by the business.
",Cloud & AI Related
Infrastructure Security,Network Security,I&S-03,"Monitor, encrypt and restrict communications between environments
to only authenticated and authorized connections, as justified by the business.
Review these configurations at least annually, and support them by a documented
justification of all allowed services, protocols, ports, and compensating controls.
",Cloud & AI Related
Infrastructure Security,OS Hardening and Base Controls,I&S-04,"Harden host and guest OS, hypervisor or infrastructure control plane
according to their respective best practices, and supported by technical controls,
as part of a security baseline.
",Cloud & AI Related
Infrastructure Security,Production and Non-Production Environments,I&S-05,"Separate production and non-production environments.
",Cloud & AI Related
Infrastructure Security,Segmentation and Segregation,I&S-06,"Design, develop, deploy and configure applications and infrastructures such 
that CSP and CSC (tenant) user access and intra-tenant access is appropriately
segmented and segregated, monitored and restricted from other tenants.",Cloud & AI Related
Infrastructure Security,Migration to Cloud Environments,I&S-07,"Use secure and encrypted communication channels when migrating servers,
services, applications, or data to cloud environments. Such channels must include
only up-to-date and approved protocols.
",Cloud & AI Related
Infrastructure Security,Network Architecture Documentation,I&S-08,"Identify and document high-risk environments.
",Cloud & AI Related
Infrastructure Security,Network Defense,I&S-09,"Define, implement and evaluate processes, procedures and defense-in-depth
techniques for protection, detection, and timely response to network-based attacks.
",Cloud & AI Related
Logging and Monitoring,Logging and Monitoring Policy and Procedures,LOG-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for logging and monitoring. Review and update the policies
and procedures at least annually.
",Cloud & AI Related
Logging and Monitoring,Audit Logs Protection,LOG-02,"Define, implement and evaluate processes, procedures and technical
measures to ensure the security and retention of audit logs.
",Cloud & AI Related
Logging and Monitoring,Security Monitoring and Alerting,LOG-03,"Identify and monitor security-related events within applications
and the underlying infrastructure. Define and implement a system to generate
alerts to responsible stakeholders based on such events and corresponding metrics.
",Cloud & AI Related
Logging and Monitoring,Audit Logs Access and Accountability,LOG-04,"Restrict audit logs access to authorized personnel and maintain records
that provide unique access accountability.
",Cloud & AI Related
Logging and Monitoring,Audit Logs Monitoring and Response,LOG-05,"Monitor security audit logs to detect activity outside of typical
or expected patterns. Establish and follow a defined process to review and take
appropriate and timely actions on detected anomalies.
",Cloud & AI Related
Logging and Monitoring,Clock Synchronization,LOG-06,"Use a reliable time source across all relevant information processing
systems.
",Cloud & AI Related
Logging and Monitoring,Logging Scope,LOG-07,"Establish, document and implement which information meta/data system
events should be logged. Review and update the scope at least annually or whenever
there is a change in the threat environment.
",Cloud & AI Related
Logging and Monitoring,Log Records,LOG-08,"Generate audit records containing relevant security information.
",Cloud & AI Related
Logging and Monitoring,Log Protection,LOG-09,"The information system protects audit records from unauthorized access,
modification, and deletion.
",Cloud & AI Related
Logging and Monitoring,Encryption Monitoring and Reporting,LOG-10,"Establish and maintain a monitoring and internal reporting capability
over the operations of cryptographic, encryption and key management policies,
processes, procedures, and controls.
",Cloud & AI Related
Logging and Monitoring,Transaction/Activity Logging,LOG-11,"Log and monitor key lifecycle management events to enable auditing
and reporting on usage of cryptographic keys.
",Cloud & AI Related
Logging and Monitoring,Access Control Logs,LOG-12,"Monitor and log physical access using an auditable access control
system.
",Cloud-Specific
Logging and Monitoring,Failures and Anomalies Reporting,LOG-13,"Define, implement and evaluate processes, procedures and technical
measures for the reporting of anomalies and failures of the monitoring system
and provide immediate notification to the accountable party.
",Cloud & AI Related
Logging and Monitoring,Input Monitoring,LOG-14,Log and monitor all input events (content and metadata) to enable auditing and reporting on the usage of AI models.,AI-Specific
Logging and Monitoring,Output Monitoring,LOG-15,Log and monitor all output events (content and metadata) to enable auditing and reporting on usage of AI models.,AI-Specific
Model Security,Training Pipeline Security,MDS-01,"Define, implement, and evaluate processes, procedures, and technical measures that ensure the security of the Training Pipeline. This should include the entire codebase used in data preprocessing, model training, and integration components, in addition to datasets and pre-trained models used, following recognized application security best practices (e.g., OWASP Top 10). Regularly review and update these measures to address new security threats and best practices.",Cloud & AI Related
Model Security,Model Artifact Scanning,MDS-02,"Define, implement, and evaluate processes, procedures, and technical measures for the periodic performance of scanning of model artifacts for vulnerabilities and attacks, at each step of the service lifecycle and at each hand over point.",AI-Specific
Model Security,Model Documentation / Model Card,MDS-03,"Define, implement, enforce, and evaluate processes and procedures for documenting, approving, communicating, evaluating, and maintaining model documentation such as Model Cards.",AI-Specific
Model Security,Model Documentation / Model Card Requirements,MDS-04,Establish minimum characteristics for Model/System Cards and ensure that all Model/System Cards follow this standardized template.,AI-Specific
Model Security,Model Documentation / Model Card Validation Requirements,MDS-05,"Define, implement, and evaluate processes, procedures, and technical measures for the periodic validation of the Model Card with the purpose of ensuring Model Card consistency with the Model implementation ",AI-Specific
Model Security,Adversarial Attack Analysis,MDS-06,"Define, implement, and evaluate processes and technical measures to regularly assess adversarial threats specific to each AI model. Prioritize potential attack vectors based on model architecture, data sources, and deployment environments",AI-Specific
Model Security,Robustness against Adversarial Attack  / Model Hardening,MDS-07,"Define, implement, and evaluate processes, procedures, and technical
measures for Model Hardening to mitigate relevant adversarial attacks as identified in the Threat Analysis and Adversarial Threat Analysis (see control MDS-06)",AI-Specific
Model Security,Model Integrity Checks,MDS-08,"Regularly calculate and compare checksums using cryptographic hashes of model checkpoints to detect unauthorized modifications (e.g. Model version pinning). Apply at least annually based on the level of risk, or after any change of hands.",AI-Specific
Model Security,Model Signing/Ownership Verification,MDS-09,"Sign models cryptographically and verify signatures to ensure model provenance and ownership, any time the model changes hands or is loaded from storage.",Cloud & AI Related
Model Security,Model Continuous Monitoring,MDS-10,"Define, implement, and evaluate processes, procedures, and technical measures for continuous monitoring of model performance metrics over time to identify sudden shifts or unexpected changes in predictions that could degrade model performance.",Cloud & AI Related
Model Security,Model Failure,MDS-11,"Evaluate the need for redundancy in model-serving infrastructure. 
Implement redundancy in AI systems based on this evaluation by deploying multiple models, apps, agents, RAG pipelines, etc, maintaining backups of model serving infrastructure, or implementing a Mixture of Experts architecture.",AI-Specific
Model Security,Open weight model,MDS-12,"Establish a process to evaluate risk associated with open weight models. Periodically review these risk factors, and implement a process to monitor and mitigate any determined vulnerabilities.",AI-Specific
Model Security,Secure Model Format,MDS-13,Adopt secure model formats and processes for AI model serialization where applicable.,Cloud & AI Related
Model Security,Server-Side LLM Prompt Construction,MDS-14,"Establish a control mechanism to ensure that prompts intended for Large Language Models (LLMs) are constructed server-side, preventing the acceptance of fully-formed prompts directly from users.",AI-Specific
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Incident Management Policy and Procedures,SEF-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Security Incident Management, E-Discovery, and Cloud
Forensics. Review and update the policies and procedures at least annually.
",Cloud & AI Related
"Security Incident Management, E-Discovery, & Cloud Forensics",Service Management Policy and Procedures,SEF-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the timely management of security incidents. Review
and update the policies and procedures at least annually.
",Cloud & AI Related
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Plans,SEF-03,"'Establish, document, approve, communicate, apply, evaluate and maintain
a security incident response plan, which includes but is not limited to: relevant
internal departments, impacted CSCs, and other business critical relationships
(such as supply-chain) that may be impacted.'
",Cloud & AI Related
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Testing,SEF-04,"Test and update as necessary incident response plans at planned intervals
or upon significant organizational or environmental changes for effectiveness.
",Cloud & AI Related
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Metrics,SEF-05,Establish and monitor information security incident metrics.,Cloud & AI Related
"Security Incident Management, E-Discovery, & Cloud Forensics",Event Triage Processes,SEF-06,"Define, implement and evaluate processes, procedures and technical
measures supporting business processes to triage security-related events.
",Cloud & AI Related
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Breach Notification,SEF-07,"Define and implement, processes, procedures and technical measures
for security breach notifications. Report security breaches and assumed security
breaches including any relevant supply chain breaches, as per applicable SLAs,
laws and regulations.",Cloud & AI Related
"Security Incident Management, E-Discovery, & Cloud Forensics",Points of Contact Maintenance,SEF-08,"Maintain points of contact for applicable regulation authorities,
national and local law enforcement, and other legal jurisdictional authorities.
",Cloud & AI Related
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response,SEF-09,"Define incident categories and severity levels for AI systems, and determine response procedures for each, including automated response where applicable.",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",SSRM Policy and Procedures,STA-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the application of the Shared Security Responsibility
Model (SSRM) within the organization. Review and update the policies and procedures
at least annually.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",SSRM Supply Chain,STA-02,"Apply, document, implement and manage the SSRM throughout the supply
chain for the cloud service offering.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",SSRM Guidance,STA-03,"Provide SSRM Guidance to the CSC detailing information about the
SSRM applicability throughout the supply chain.",AI-Specific
"Supply Chain Management, Transparency, and Accountability",SSRM Control Ownership,STA-04,"Delineate the shared ownership and applicability of all CSA CCM controls
according to the SSRM for the cloud service offering.
",Cloud-Specific
"Supply Chain Management, Transparency, and Accountability",SSRM Documentation Review,STA-05,"Review and validate SSRM documentation for all cloud services offerings
the organization uses.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",SSRM Control Implementation,STA-06,"Implement, operate, and audit or assess the portions of the SSRM
which the organization is responsible for.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Supply Chain Inventory,STA-07,"Develop and maintain an inventory of all supply chain relationships.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Supply Chain Risk Management,STA-08,"CSPs periodically review risk factors associated with all organizations
within their supply chain.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Primary Service and Contractual Agreement,STA-09,"Service agreements between CSPs and CSCs (tenants) must incorporate at least the following mutually-agreed upon provisions and/or terms:
• Scope, characteristics and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Supply Chain Agreement Review,STA-10,"Review supply chain agreements between CSPs and CSCs at least annually.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Internal Compliance Testing,STA-11,"Define and implement a process for conducting internal assessments
to confirm conformance and effectiveness of standards, policies, procedures,
and service level agreement activities at least annually.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Supply Chain Service Agreement Compliance,STA-12,"Implement policies requiring all CSPs throughout the supply chain
to comply with information security, confidentiality, access control, privacy,
audit, personnel policy and service level requirements and standards.
",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Supply Chain Governance Review,STA-13,"Periodically review the organization's supply chain partners' IT
governance policies and procedures.",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Supply Chain Data Security Assessment,STA-14,"Define and implement a process for conducting security assessments
periodically for all organizations within the supply chain.",Cloud & AI Related
"Supply Chain Management, Transparency, and Accountability",Security Boundaries,STA-15,"Establish security boundaries for both pre-production and production environments within the AI lifecycle (or the three attack surfaces of ""user input"", ""training data"", and ""AI model"") based on the risk level, that mirrors the standards for production applications to prevent them from compromising security principles. The security boundary is the need-to-know of the role of the LLM agent (as defined in IAM-17) and the associated risk level of the AI system. This security boundary should follow the LLM agent across environments.",AI-Specific
Threat & Vulnerability Management,Threat and Vulnerability Management Policy and Procedures,TVM-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to identify, report and prioritize the remediation of
vulnerabilities, in order to protect systems against vulnerability exploitation.
Review and update the policies and procedures at least annually.
",Cloud & AI Related
Threat & Vulnerability Management,Malware Protection Policy and Procedures,TVM-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect against malware on managed assets. Review
and update the policies and procedures at least annually.
",Cloud & AI Related
Threat & Vulnerability Management,Vulnerability Remediation Schedule,TVM-03,"Define, implement and evaluate processes, procedures and technical
measures to enable both scheduled and emergency responses to vulnerability identifications,
based on the identified risk.
",Cloud & AI Related
Threat & Vulnerability Management,Detection Updates,TVM-04,"Define, implement and evaluate processes, procedures and technical
measures to update detection tools, threat signatures, and indicators of compromise
on a weekly, or more frequent basis.
",Cloud & AI Related
Threat & Vulnerability Management,External Library Vulnerabilities,TVM-05,"Define, implement and evaluate processes, procedures and technical
measures to identify updates for applications which use third party or open
source libraries according to the organization's vulnerability management policy.
",Cloud & AI Related
Threat & Vulnerability Management,Penetration Testing,TVM-06,"Define, implement and evaluate processes, procedures and technical
measures for the periodic performance of penetration testing by independent
third parties.
",Cloud & AI Related
Threat & Vulnerability Management,Vulnerability Identification,TVM-07,"Define, implement and evaluate processes, procedures and technical
measures for the detection of vulnerabilities on organizationally managed assets
at least monthly.
",Cloud & AI Related
Threat & Vulnerability Management,Vulnerability Prioritization,TVM-08,"Use a risk-based model for effective prioritization of vulnerability
remediation using an industry recognized framework.
",Cloud & AI Related
Threat & Vulnerability Management,Vulnerability Management Reporting,TVM-09,"Define and implement a process for tracking and reporting vulnerability
identification and remediation activities that includes stakeholder notification.
",Cloud & AI Related
Threat & Vulnerability Management,Vulnerability Management Metrics,TVM-10,"Establish, monitor and report metrics for vulnerability identification
and remediation at defined intervals.",Cloud & AI Related
Threat & Vulnerability Management,Guardrails,TVM-11,"Define, implement and continuously evaluate processes, procedures and technical measures to apply guardrails to the AI system.",AI-Specific
Threat & Vulnerability Management,Human supervision (legal mandated / high-risk use cases),TVM-12,"Define, implement and evaluate processes, procedures and technical measures to apply human supervision and control of the AI system, according to risk level",AI-Specific
Threat & Vulnerability Management,Threat Analysis,TVM-13,"Define and implement a process for conducting Threat Analysis. 

Approved: Systematically identify, assess and review the threat landscape for AI systems & models. Define and implement a Threat Analysis Process which ensures that the AI systems & model stay resilient and have countermeasures against malicious intentions.",AI-Specific
Universal Endpoint Management,Endpoint Devices Policy and Procedures,UEM-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for all endpoints. Review and update the policies and
procedures at least annually.
",Cloud & AI Related
Universal Endpoint Management,Application and Service Approval,UEM-02,"Define, document, apply and evaluate a list of approved services,
applications and sources of applications (stores) acceptable for use by endpoints
when accessing or storing organization-managed data.
",Cloud & AI Related
Universal Endpoint Management,Compatibility,UEM-03,"Define and implement a process for the validation of the endpoint
device's compatibility with operating systems and applications.",Cloud & AI Related
Universal Endpoint Management,Endpoint Inventory,UEM-04,"Maintain an inventory of all endpoints used to store and access company
data.
",Cloud-Specific
Universal Endpoint Management,Endpoint Management,UEM-05,"Define, implement and evaluate processes, procedures and technical
measures to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data.
",Cloud & AI Related
Universal Endpoint Management,Automatic Lock Screen,UEM-06,"Configure all relevant interactive-use endpoints to require an automatic
lock screen.
",Cloud-Specific
Universal Endpoint Management,Operating Systems,UEM-07,"Manage changes to endpoint operating systems, patch levels, and/or
applications through the company's change management processes.
",Cloud & AI Related
Universal Endpoint Management,Storage Encryption,UEM-08,"Protect information from unauthorized disclosure on managed endpoint
devices with storage encryption.
",Cloud & AI Related
Universal Endpoint Management,Anti-Malware Detection and Prevention,UEM-09,"Configure managed endpoints with anti-malware detection and prevention
technology and services.
",Cloud & AI Related
Universal Endpoint Management,Software Firewall,UEM-10,"Configure managed endpoints with properly configured software firewalls.
",Cloud & AI Related
Universal Endpoint Management,Data Loss Prevention,UEM-11,"Configure managed endpoints with Data Loss Prevention (DLP) technologies
and rules in accordance with a risk assessment.",Cloud & AI Related
Universal Endpoint Management,Remote Locate,UEM-12,"Enable remote geo-location capabilities for all managed mobile endpoints.
",Cloud & AI Related
Universal Endpoint Management,Remote Wipe,UEM-13,"Define, implement and evaluate processes, procedures and technical
measures to enable the deletion of company data remotely on managed endpoint
devices.
",Cloud & AI Related
Universal Endpoint Management,Third-Party Endpoint Security Posture,UEM-14,"Define, implement and evaluate processes, procedures and technical
and/or contractual measures to maintain proper security of third-party endpoints
with access to organizational assets.
",Cloud & AI Related
