CWE_ID,Name,MITRE_AI_Tagged,View1_Score,View2_Score,Max_Score,Is_AI_Relevant,AI_Category,Attack_Type,Attack_Surface,View1_Reasoning,View2_Reasoning,AI_Impact,Description,Source_View
1262,Improper Access Control for Register Interface,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product uses memory-mapped I/O registers that act as an interface to hardware functionality from software, but there is improper access control to those registers.",Research-Concepts-1000
1263,Improper Physical Access Control,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product is designed with access restricted to certain information, but it does not sufficiently protect against an unauthorized actor with physical access to these areas.",Research-Concepts-1000
1266,Improper Scrubbing of Sensitive Data from Decommissioned Device,No,2,2,2,Yes,Output Validation,Both,AI Outputs,"Could expose model details, training data, or prompts.","AI could leak sensitive information, but this is data exposure not AI generating attack payloads.",Data leakage via AI outputs.,"The product does not properly provide a capability for the product administrator to remove sensitive data at the time the product is decommissioned. A scrubbing capability could be missing, insufficient, or incorrect.",Research-Concepts-1000
1267,Policy Uses Obsolete Encoding,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,The product uses an obsolete encoding mechanism to implement access controls.,Research-Concepts-1000
1268,Policy Privileges are not Assigned Consistently Between Control and Data Agents,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,The product's hardware-enforced access control for a particular resource improperly accounts for privilege discrepancies between control and write policies.,Research-Concepts-1000
1274,Improper Access Control for Volatile Memory Containing Boot Code,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product conducts a secure-boot process that transfers bootloader code from Non-Volatile Memory (NVM) into Volatile Memory (VM), but it does not have sufficient access control or other protections for the Volatile Memory.",Research-Concepts-1000
1280,Access Control Check Implemented After Asset is Accessed,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,A product's hardware-based access control check occurs after the asset has been accessed.,Research-Concepts-1000
1290,Incorrect Decoding of Security Identifiers ,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product implements a decoding mechanism to decode certain bus-transaction signals to security identifiers. If the decoding is implemented incorrectly, then untrusted agents can now gain unauthorized access to the asset.",Research-Concepts-1000
1292,Incorrect Conversion of Security Identifiers,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product implements a conversion mechanism to map certain bus-transaction signals to security identifiers. However, if the conversion is incorrectly implemented, untrusted agents can gain unauthorized access to the asset.",Research-Concepts-1000
1299,Missing Protection Mechanism for Alternate Hardware Interface,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,The lack of protections on alternate paths to access control-protected assets (such as unprotected shadow registers and other external facing unguarded interfaces) allows an attacker to bypass existing protections to the asset that are only performed against the primary path.,Research-Concepts-1000
1316,Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The address map of the on-chip fabric has protected and unprotected regions overlapping, allowing an attacker to bypass access control to the overlapping portion of the protected region.",Research-Concepts-1000
1317,Improper Access Control in Fabric Bridge,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product uses a fabric bridge for transactions between two Intellectual Property (IP) blocks, but the bridge does not properly perform the expected privilege, identity, or other access control checks between those IP blocks.",Research-Concepts-1000
1318,Missing Support for Security Features in On-chip Fabrics or Buses,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"On-chip fabrics or buses either do not support or are not configured to support privilege separation or other security features, such as access control.",Research-Concepts-1000
1390,Weak Authentication,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product uses an authentication mechanism to restrict access to specific users or identities, but the mechanism does not sufficiently prove that the claimed identity is correct.",Research-Concepts-1000
393,Return of Wrong Status Code,No,0,1,1,No,Not Applicable,N/A,N/A,"Status code errors are logic issues, not AI-specific.","AI could generate incorrect status codes, but this is a logic error not an attack payload.",,"A function or operation returns an incorrect return value or status code that does not indicate the true result of execution, causing the product to modify its behavior based on the incorrect result.",Research-Concepts-1000
619,Dangling Database Cursor ('Cursor Injection'),No,0,1,1,No,Not Applicable,N/A,N/A,"Niche database cursor issue, not AI-specific.","AI generating database code could leave cursors open, but this is a niche issue not a primary attack vector.",,"If a database cursor is not closed properly, then it could become accessible to other users while retaining the same privileges that were originally assigned, leaving the cursor dangling.",Research-Concepts-1000
691,Insufficient Control Flow Management,No,0,1,1,No,Not Applicable,N/A,N/A,Too generic to be AI-relevant.,"AI-generated code could have control flow issues, but this is too generic to be a primary concern.",,"The code does not sufficiently manage its control flow during execution, creating conditions in which the control flow can be modified in unexpected ways.",Research-Concepts-1000
5,J2EE Misconfiguration: Data Transmission Without Encryption,No,0,0,0,No,Not Applicable,N/A,N/A,"Specific to legacy technology, not AI-relevant.","Specific to legacy technology, not AI-relevant.",,Information sent over a network can be compromised while in transit. An attacker may be able to read or modify the contents if the data are sent in plaintext or are weakly encrypted.,Research-Concepts-1000
6,J2EE Misconfiguration: Insufficient Session-ID Length,No,0,0,0,No,Not Applicable,N/A,N/A,"Specific to legacy technology, not AI-relevant.","Specific to legacy technology, not AI-relevant.",,The J2EE application is configured to use an insufficient session ID length.,Research-Concepts-1000
7,J2EE Misconfiguration: Missing Custom Error Page,No,0,0,0,No,Not Applicable,N/A,N/A,"Specific to legacy technology, not AI-relevant.","Specific to legacy technology, not AI-relevant.",,The default error page of a web application should not display sensitive information about the product.,Research-Concepts-1000
8,J2EE Misconfiguration: Entity Bean Declared Remote,No,0,0,0,No,Not Applicable,N/A,N/A,"Specific to legacy technology, not AI-relevant.","Specific to legacy technology, not AI-relevant.",,"When an application exposes a remote interface for an entity bean, it might also expose methods that get or set the bean's data. These methods could be leveraged to read sensitive information, or to change data in ways that violate the application's expectations, potentially leading to other vulnerabilities.",Research-Concepts-1000
9,J2EE Misconfiguration: Weak Access Permissions for EJB Methods,No,0,0,0,No,Not Applicable,N/A,N/A,"Specific to legacy technology, not AI-relevant.","Specific to legacy technology, not AI-relevant.",,"If elevated access rights are assigned to EJB methods, then an attacker can take advantage of the permissions to exploit the product.",Research-Concepts-1000
11,ASP.NET Misconfiguration: Creating Debug Binary,No,0,0,0,No,Not Applicable,N/A,N/A,"Specific to legacy technology, not AI-relevant.","Specific to legacy technology, not AI-relevant.",,Debugging messages help attackers learn about the system and plan a form of attack.,Research-Concepts-1000
12,ASP.NET Misconfiguration: Missing Custom Error Page,No,0,0,0,No,Not Applicable,N/A,N/A,"Specific to legacy technology, not AI-relevant.","Specific to legacy technology, not AI-relevant.",,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.,Research-Concepts-1000
13,ASP.NET Misconfiguration: Password in Configuration File,No,0,0,0,No,Not Applicable,N/A,N/A,"Specific to legacy technology, not AI-relevant.","Specific to legacy technology, not AI-relevant.",,Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.,Research-Concepts-1000
14,Compiler Removal of Code to Clear Buffers,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"Sensitive memory is cleared according to the source code, but compiler optimizations leave the memory untouched when it is not read from again, aka dead store removal.",Research-Concepts-1000
15,External Control of System or Configuration Setting,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,One or more system settings or configuration elements can be externally controlled by a user.,Research-Concepts-1000
20,Improper Input Validation,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly.",Research-Concepts-1000
41,Improper Resolution of Path Equivalence,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product is vulnerable to file system contents disclosure through path equivalence. Path equivalence involves the use of special characters in file and directory names. The associated manipulations are intended to generate multiple names for the same object.,Research-Concepts-1000
42,Path Equivalence: 'filename.' (Trailing Dot),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of trailing dot ('filedir.') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
43,Path Equivalence: 'filename....' (Multiple Trailing Dot),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of multiple trailing dot ('filedir....') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
44,Path Equivalence: 'file.name' (Internal Dot),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of internal dot ('file.ordir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
45,Path Equivalence: 'file...name' (Multiple Internal Dot),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of multiple internal dot ('file...dir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
46,Path Equivalence: 'filename ' (Trailing Space),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of trailing space ('filedir ') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
47,Path Equivalence: ' filename' (Leading Space),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of leading space (' filedir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
48,Path Equivalence: 'file name' (Internal Whitespace),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of internal space ('file(SPACE)name') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
49,Path Equivalence: 'filename/' (Trailing Slash),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of trailing slash ('filedir/') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
50,Path Equivalence: '//multiple/leading/slash',No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of multiple leading slash ('//multiple/leading/slash') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
51,Path Equivalence: '/multiple//internal/slash',No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of multiple internal slash ('/multiple//internal/slash/') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
52,Path Equivalence: '/multiple/trailing/slash//',No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of multiple trailing slash ('/multiple/trailing/slash//') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
53,Path Equivalence: 'multipleinternalbackslash',No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of multiple internal backslash ('multipletrailingslash') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
54,Path Equivalence: 'filedir' (Trailing Backslash),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of trailing backslash ('filedir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
55,Path Equivalence: '/./' (Single Dot Directory),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of single dot directory exploit ('/./') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
56,Path Equivalence: 'filedir*' (Wildcard),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product accepts path input in the form of asterisk wildcard ('filedir*') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
58,Path Equivalence: Windows 8.3 Filename,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product contains a protection mechanism that restricts access to a long filename on a Windows operating system, but it does not properly restrict access to the equivalent short 8.3 filename.",Research-Concepts-1000
59,Improper Link Resolution Before File Access ('Link Following'),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.",Research-Concepts-1000
66,Improper Handling of File Names that Identify Virtual Resources,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product does not handle or incorrectly handles a file name that identifies a virtual resource that is not directly specified within the directory that is associated with the file name, causing the product to perform file-based operations on a resource that is not a file.",Research-Concepts-1000
69,Improper Handling of Windows ::DATA Alternate Data Stream,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product does not properly prevent access to, or detect usage of, alternate data streams (ADS).",Research-Concepts-1000
72,Improper Handling of Apple HFS+ Alternate Data Stream Path,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product does not properly handle special paths that may identify the data or resource fork of a file on the HFS+ file system.,Research-Concepts-1000
73,External Control of File Name or Path,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product allows user input to control or influence paths or file names that are used in filesystem operations.,Research-Concepts-1000
76,Improper Neutralization of Equivalent Special Elements,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product correctly neutralizes certain special elements, but it improperly neutralizes equivalent special elements.",Research-Concepts-1000
81,Improper Neutralization of Script in an Error Message Web Page,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters that could be interpreted as web-scripting elements when they are sent to an error page.",Research-Concepts-1000
82,Improper Neutralization of Script in Attributes of IMG Tags in a Web Page,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The web application does not neutralize or incorrectly neutralizes scripting elements within attributes of HTML IMG tags, such as the src attribute.",Research-Concepts-1000
83,Improper Neutralization of Script in Attributes in a Web Page,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product does not neutralize or incorrectly neutralizes javascript: or other URIs from dangerous attributes within tags, such as onmouseover, onload, onerror, or style.",Research-Concepts-1000
84,Improper Neutralization of Encoded URI Schemes in a Web Page,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The web application improperly neutralizes user-controlled input for executable script disguised with URI encodings.,Research-Concepts-1000
86,Improper Neutralization of Invalid Characters in Identifiers in Web Pages,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product does not neutralize or incorrectly neutralizes invalid characters or byte sequences in the middle of tag names, URI schemes, and other identifiers.",Research-Concepts-1000
97,Improper Neutralization of Server-Side Includes (SSI) Within a Web Page,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product generates a web page, but does not neutralize or incorrectly neutralizes user-controllable input that could be interpreted as a server-side include (SSI) directive.",Research-Concepts-1000
102,Struts: Duplicate Validation Forms,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.",Research-Concepts-1000
103,Struts: Incomplete validate() Method Definition,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",Research-Concepts-1000
104,Struts: Form Bean Does Not Extend Validation Class,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",Research-Concepts-1000
105,Struts: Form Field Without Validator,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.",Research-Concepts-1000
106,Struts: Plug-in Framework not in Use,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.",Research-Concepts-1000
107,Struts: Unused Validation Form,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,An unused validation form indicates that validation logic is not up-to-date.,Research-Concepts-1000
108,Struts: Unvalidated Action Form,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,Every Action Form must have a corresponding validation form.,Research-Concepts-1000
109,Struts: Validator Turned Off,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",Research-Concepts-1000
110,Struts: Validator Without Form Field,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.,Research-Concepts-1000
111,Direct Use of Unsafe JNI,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.",Research-Concepts-1000
112,Missing XML Validation,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.,Research-Concepts-1000
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.",Research-Concepts-1000
114,Process Control,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.,Research-Concepts-1000
115,Misinterpretation of Input,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.",Research-Concepts-1000
117,Improper Output Neutralization for Logs,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product constructs a log message from external input, but it does not neutralize or incorrectly neutralizes special elements when the message is written to a log file.",Research-Concepts-1000
118,Incorrect Access of Indexable Resource ('Range Error'),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product does not restrict or incorrectly restricts operations within the boundaries of a resource that is accessed using an index or pointer, such as memory or files.",Research-Concepts-1000
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. This may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data.",Research-Concepts-1000
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer.,Research-Concepts-1000
121,Stack-based Buffer Overflow,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function).",Research-Concepts-1000
122,Heap-based Buffer Overflow,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc().",Research-Concepts-1000
123,Write-what-where Condition,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow.",Research-Concepts-1000
124,Buffer Underwrite ('Buffer Underflow'),No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,Research-Concepts-1000
125,Out-of-bounds Read,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product reads data past the end, or before the beginning, of the intended buffer.",Research-Concepts-1000
126,Buffer Over-read,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations after the targeted buffer.,Research-Concepts-1000
127,Buffer Under-read,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations prior to the targeted buffer.,Research-Concepts-1000
128,Wrap-around Error,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore wraps around to a very small, negative, or undefined value.",Research-Concepts-1000
129,Improper Validation of Array Index,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array.",Research-Concepts-1000
130,Improper Handling of Length Parameter Inconsistency,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product parses a formatted message or structure, but it does not handle or incorrectly handles a length field that is inconsistent with the actual length of the associated data.",Research-Concepts-1000
131,Incorrect Calculation of Buffer Size,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow.",Research-Concepts-1000
134,Use of Externally-Controlled Format String,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source.",Research-Concepts-1000
135,Incorrect Calculation of Multi-Byte String Length,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product does not correctly calculate the length of strings that can contain wide or multi-byte characters.,Research-Concepts-1000
138,Improper Neutralization of Special Elements,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as control elements or syntactic markers when they are sent to a downstream component.",Research-Concepts-1000
140,Improper Neutralization of Delimiters,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,The product does not neutralize or incorrectly neutralizes delimiters.,Research-Concepts-1000
141,Improper Neutralization of Parameter/Argument Delimiters,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as parameter or argument delimiters when they are sent to a downstream component.",Research-Concepts-1000
142,Improper Neutralization of Value Delimiters,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as value delimiters when they are sent to a downstream component.",Research-Concepts-1000
143,Improper Neutralization of Record Delimiters,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as record delimiters when they are sent to a downstream component.",Research-Concepts-1000
144,Improper Neutralization of Line Delimiters,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as line delimiters when they are sent to a downstream component.",Research-Concepts-1000
145,Improper Neutralization of Section Delimiters,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as section delimiters when they are sent to a downstream component.",Research-Concepts-1000
146,Improper Neutralization of Expression/Command Delimiters,No,0,0,0,No,Not Applicable,N/A,N/A,No specific AI relevance identified.,No specific AI relevance identified.,,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as expression or command delimiters when they are sent to a downstream component.",Research-Concepts-1000
