"section","content"
"44","Any party who wishes to submit a disagreement to the Commission for examination must apply therefor in writing and pay the fees prescribed by regulation. The application shall state briefly the reasons which justify examination of the disagreement by the Commission. Notice of an application made by one party shall be given by the Commission to the other party."
"45","A group of persons having an interest in the same subject of disagreement may submit an application to the Commission through a representative."
"46","A person carrying on an enterprise who holds personal information on others may request authorization from the Commission to disregard applications that are obviously improper by reason of their number or their repetitious or systematic nature or applications that, in the opinion of the Commission, are not consistent with the object of this Act. The person may also request the Commission to limit the scope of the applicant’s request or extend the time limit within which he must reply. A request made under the first paragraph must be sent to the Commission within the same time limit as would be applicable to the processing of a request under section 32, from the date the applicant’s most recent request was received."
"47","The members of the personnel of the Commission must lend their assistance to any interested person requiring it in the drawing up of an application for the examination of a disagreement."
"48","Where an application for the examination of a disagreement has been brought before it, the Commission may entrust a person it designates to attempt to bring the parties to an agreement."
"49","If the Commission is of the opinion that no agreement is possible between the parties, it shall examine the subject of the disagreement according to the procedure it determines. It must give the parties an opportunity to present their observations."
"50","A member of the Commission may, on behalf of the Commission, examine a disagreement alone and render a decision. A member of the Commission may also act alone on behalf of the Commission to exercise the powers provided for in sections 46, 52, 57.1 and 60."
"50.1","The Commission must, by regulation, prescribe rules of evidence and procedure for the examination of applications which may be brought before it. The regulation must include provisions to ensure the accessibility of the Commission and the quality and promptness of its decision-making process. To that end, the regulation must specify the time allotted to proceedings, from the time the application for examination is filed until the hearing, if applicable. The regulation shall be submitted to the Government for approval."
"51","Every person must furnish to the Commission any information it requires for the examination of a disagreement."
"52","The Commission may refuse or cease to examine a matter if it has reasonable grounds to believe that the application is frivolous or made in bad faith or that its intervention would clearly serve no purpose. In such cases, the Commission may prohibit a person from bringing an application except with the authorization of and subject to the conditions determined by the chair of the Commission. It may, in the same manner, prohibit a person from presenting a pleading in an ongoing proceeding."
"53","In the case of a disagreement relating to a request for rectification, the person holding the personal information must prove that it need not be rectified, unless the information in question was communicated to him by the person concerned or with the latter’s consent."
"54","The Commission shall render, in respect of every disagreement submitted to it, a decision in writing giving the reasons on which it is based. The Commission shall send a copy of the decision to the parties by any means providing proof of the date of receipt."
"55","The Commission has all the powers necessary for the exercise of its jurisdiction; it may make any order it considers appropriate to protect the rights of the parties and rule on any issue of fact or law. The Commission may, in particular, order a person carrying on an enterprise to communicate or rectify personal information or refrain from doing so."
"55.1","The Commission must exercise its functions and powers in the matter of the examination of a disagreement diligently and efficiently. The Commission must make its decision within three months after the matter is taken under advisement, unless the chair extends that time limit for valid reasons. If a member of the Commission to whom a case is referred does not make a decision within the specified time limit, the chair may, by virtue of office or at the request of a party, remove the member from the case. Before extending the time limit or removing from a case a member who has not made a decision within the applicable time limit, the chair must take the circumstances and the interest of the parties into account."
"56","(Repealed)."
"57","In rendering a decision, the Commission may rule as to payment of the fees prescribed by regulation."
"57.1","A decision containing an error in writing or in calculation or any other clerical error may be corrected by the Commission or the member who made the decision; the same applies to a decision which, through obvious inadvertence, grants more than was requested or fails to rule on part of the application. A correction may be made on the Commission’s or the concerned member’s own initiative as long as execution of the decision has not commenced. A correction may be effected at any time on the motion of one of the parties, unless an appeal has been lodged. The motion is addressed to the Commission and submitted to the member who made the decision. If the latter is no longer in office, is absent or is unable to act, the motion is submitted to the Commission. If the correction affects the conclusions, the time limit for appealing or executing the decision runs from the date of the correction."
"58","A decision of the Commission prescribing a particular course of action to a party is enforceable 30 days after its receipt by the parties. A decision prohibiting a course of action to a party is enforceable from its delivery to the party concerned. From the time a decision becomes enforceable, a certified copy of the decision may be filed by the Commission or a party in the office of the clerk of the Superior Court of the district of Montréal or Québec or of the district where the head office, business establishment or residence of a party is situated. The filing confers on the decision the same force and effect as a judgment of the Superior Court."
"59","A decision of the Commission on a question of fact coming under its jurisdiction is final and no appeal lies therefrom."
"60","The Commission may declare an application for examination of a disagreement perempted if one year has elapsed since the last useful proceeding was filed."
"61","A person directly interested may bring an appeal from a final decision of the Commission before a judge of the Court of Québec on a question of law or jurisdiction or, with leave of a judge of that Court, from an interlocutory decision which cannot be remedied by the final decision. The person may also contest before a judge of the Court of Québec an order issued by the Commission’s oversight division."
"61.1","The application for leave to appeal from an interlocutory decision must specify the questions of law or jurisdiction that ought to be examined in appeal and the reason it cannot be remedied by the final decision and, after notice to the parties and to the Commission, be filed in the office of the Court of Québec within 10 days after the date on which the parties receive the decision of the Commission. If the application is granted, the judgment authorizing the appeal serves as a notice of appeal."
"62","The jurisdiction conferred by this division on a judge of the Court of Québec is exercised by only the judges of that Court that are appointed by the chief judge."
"63","The appeal is brought by filing with the Court of Québec a notice to that effect specifying the questions of law or jurisdiction which ought to be examined in appeal. The notice of appeal is filed at the office of the Court of Québec within 30 days after notification of the final decision. The proceeding to contest an order issued by the Commission’s oversight division is filed at the office of the Court of Québec within 30 days after notification of the order and must specify the questions which ought to be examined."
"64","The filing of the notice of appeal or of the application for leave to appeal from an interlocutory decision suspends the execution of the decision of the Commission until the decision of the Court of Québec is rendered. If it is an appeal from a decision ordering a person to cease or refrain from doing something, the filing of the notice or of the application does not suspend execution of the decision. The filing of the proceeding to contest an order issued by the Commission’s oversight division does not suspend the execution of the order. However, on a motion heard and judged on an urgent basis, a judge of the Court of Québec may order otherwise because of the urgency of the situation or the risk of serious and irreparable injury."
"65","The notice of appeal must be served on the parties and the Commission within 10 days after its filing at the office of the Court of Québec. The secretary of the Commission shall send a copy of the decision appealed from and the accompanying documents to the office of the Court to serve as a joint record. The contestation of an order issued by the Commission’s oversight division must be served on the Commission and, if applicable, on the other parties, within 10 days after its filing at the office of the Court of Québec. The secretary of the Commission shall send a copy of the contested order and the accompanying documents to the office of the Court to serve as a joint record."
"66","(Replaced)."
"67","The appeal is governed by articles 351 to 390 of the Code of Civil Procedure ( chapter C-25.01 ), adapted as required. The parties are not required, however, to file a statement of their claims. The contestation is governed by the rules of Book II of the Code of Civil Procedure."
"68","The Court of Québec may, in the manner prescribed under the Courts of Justice Act ( chapter T-16 ), make the regulations judged necessary for the carrying out of this division."
"69","The decision of the judge of the Court of Québec is without appeal."
"70","Every personal information agent carrying on an enterprise in Québec must be registered with the Commission. Any person who, on a commercial basis, personally or through a representative, establishes files on other persons and prepares and communicates to third parties credit reports bearing on the character, reputation or solvency of the persons to whom the information contained in such files relates is a personal information agent."
"70.1","A personal information agent may not invoke registration with the Commission to claim that the agent’s competence, solvency, conduct or operations are recognized or approved."
"71","Every personal information agent must establish and apply a method of operation that ensures that the information communicated by him is up to date and accurate, and that it is communicated in accordance with this Act."
"72","Applications for registration shall be filed according to the procedure determined by the Commission, accompanied with the fees prescribed by regulation. An application shall contain, in particular, the following information: 1 ° the name, address and email address of the agent and, in the case of a legal person, the address of its head office and the names and addresses of its directors; 2 ° the address, email address and telephone number of each establishment of the agent in Québec; 3 ° the title and contact information of the person in charge of the protection of personal information; 4 ° the method of operation provided for in section 71; 5 ° the rules of conduct provided for in section 78; and 6 ° the other measures taken to ensure the confidentiality and security of personal information in accordance with this Act. Every personal information agent must inform the Commission of any change in the information referred to in the first paragraph no later than 30 days following the change. If applicable, the agent must also promptly inform the Commission of the expected termination of the agent’s activities."
"73","The Commission shall register an agent who files an application in conformity with the provisions of section 72."
"74","The Commission shall keep a current register of personal information agents containing, for each agent, the agent’s name, address and email address, and the title and contact information of the person in charge of the protection of personal information."
"75","The register shall be available for public consultation during the regular business hours of the Commission. It may also be consulted on the Commission’s website. The Commission shall furnish, free of charge, to any person who so requests any extract from the register concerning a personal information agent."
"76","(Repealed)."
"77","(Repealed)."
"78","Every personal information agent must establish and apply within his enterprise rules of conduct allowing any person to whom personal information held by the agent relates to have access to the information according to a procedure that ensures the protection of the information and to cause the information to be rectified."
"79","Every personal information agent must inform the public 1 ° of the fact that the agent holds personal information on other persons, that he gives communication of credit reports bearing on the character, reputation or solvency of the persons to whom the personal information relates to persons with whom he is bound by contract, and that he receives from the latter personal information relating to other persons; 2 ° of the rights of access and rectification that the persons concerned may exercise under this Act in respect of the personal information the agent holds; and 3 ° of the information provided for in subparagraphs 3 to 6 of the first paragraph of section 72. The information must be published on the personal information agent’s website, or, if the agent does not have a website, made available by any other appropriate means."
"79.1","Despite section 23, a personal information agent must destroy personal information collected more than seven years earlier. This section does not apply to personal information in a file established for the purposes of an inquiry to prevent, detect or repress a crime or statutory offence."
"80","The functions and powers provided for in section 21.1, Division VI and this division are exercised by the chair and the members assigned to the oversight division."
"80.1","A member of the Commission may act alone on behalf of the Commission to exercise the functions and powers conferred on it by sections 21.1, 72, 80.2, 81, 81.3, 81.4, 83, 84, 92 and 95. The chair of the Commission may delegate to a member of the personnel of the Commission all or part of the functions and powers conferred on the Commission by sections 21.1, 80.2 and 95."
"80.1.1","For the purposes of subdivisions 4.1 and 5, a political party is considered a natural person."
"80.2","In the exercise of its oversight functions, the Commission may authorize members of its personnel or any other persons to act as inspectors."
"80.3","Persons acting as inspectors may 1 ° enter the establishment of a body or person subject to the oversight of the Commission at any reasonable time; 2 ° request a person on the site to present any information or document required to exercise the Commission’s oversight function; and 3 ° examine and make copies of such documents."
"80.4","Persons acting as inspectors must, on request, identify themselves and produce a certificate of authority. Persons acting as inspectors may not be prosecuted for an act performed in good faith in the exercise of their duties."
"81","The Commission may, on its own initiative or following a complaint by a person, inquire into or entrust a person with inquiring into any matter relating to the protection of personal information as well as into the practices of a person who carries on an enterprise and who collects, holds, uses or communicates such information to third persons. A complaint may be filed anonymously."
"81.1","It is forbidden to take a reprisal against a person on the ground that the person has, in good faith, filed a complaint with the Commission or cooperated in an investigation. It is also forbidden to threaten to take a reprisal against a person to dissuade him from filing a complaint or cooperating in an investigation."
"81.2","The demotion, suspension, dismissal or transfer of a person or any other disciplinary measure or measure that adversely affects a person’s employment or conditions of employment is presumed to be a reprisal within the meaning of section 81.1."
"81.3","The Commission may, by a formal demand notified by any appropriate method, require any person, whether subject to this Act or not, to file, within a reasonable time specified in the demand, any information or document to verify compliance with this Act or the regulations. The person to whom the demand is made shall comply with it within the specified time regardless of whether the person has already filed such information or documents pursuant to a similar demand or pursuant to an obligation under this Act or the regulations."
"81.4","The Commission may, when a confidentiality incident is brought to its attention, order any person, after giving him the opportunity to submit observations, to take any measure to protect the rights of the persons concerned that are granted by this Act, for the time and on the conditions the Commission determines. It may, in particular, order that the personal information involved be returned to the person carrying on an enterprise or destroyed. If a person to whom an order applies was not given prior notice because, in the opinion of the Commission, urgent action is required or there is a danger of irreparable injury being caused, the person may, within the time specified in the order, submit observations so that the order may be reviewed by the Commission."
"82","(Repealed)."
"83","The inquiries of the Commission are non-adversary investigations. Following an inquiry relating to the collection, retention or communication of personal information by a person carrying on an enterprise, the Commission may, after giving the person an opportunity to present his observations, recommend or order the application of such remedial measures as are appropriate to ensure the protection of the personal information within the reasonable time limit the Commission specifies."
"83.1","Every person carrying on an enterprise must, at the request of the Commission, provide it with any information it requires on the carrying out of this Act."
"84","If, within a reasonable time after issuing an order in respect of a person who carries on an enterprise, the Commission considers that appropriate measures have not been taken in response, it may publish, in the manner it determines, a notice to inform the public thereof."
"85","The Commission, its members and any person entrusted by it with making an inquiry for the purposes of this Act, are vested for the inquiry with the powers and immunity provided for in the Act respecting public inquiry commissions ( chapter C‐37 ) except the power to order imprisonment."
"86","An order issued by the Commission’s oversight division becomes enforceable in the same manner as a decision referred to in section 58."
"87","A person directly interested may contest an order issued by the Commission’s oversight division. The contestation is subject to the rules set out in sections 61 to 69."
"88","Not later than 14 June 2026, and, subsequently, every five years, the Commission must report to the Government on the application of this Act and of Division V.1 of Chapter IV of the Professional Code ( chapter C‐26 ), as well as on any other subject the Minister may submit to it. The report must also include any audit findings and recommendations that the Auditor General considers it appropriate to forward to the Commission under the Auditor General Act ( chapter V‐5.01 ) and that the Auditor General states are to be reproduced in the report. The Minister shall table the report in the National Assembly within 15 days of receiving it or, if the Assembly is not sitting, within 15 days of resumption."
"89","The Committee on the National Assembly shall designate, as soon as possible, the committee which will study the report concerning the carrying out of this Act. Within the year following the tabling of the report before the National Assembly, the designated committee must examine the advisability of amending this Act, and shall hear the representations of interested persons and bodies on such matters."
"90","The Government, after obtaining the advice of the Commission, may make regulations to 1 ° fix the fees payable for any act performed by the Commission; 2 ° determine cases of total or partial exemption from payment of the fees payable under this Act; 3 ° determine the content and terms of the notices provided for in section 3.5; 3.1 ° determine the content of the register provided for in section 3.8; 3.2 ° for the purposes of section 23, determine the criteria and terms applicable to the anonymization of personal information; 3.3 ° determine the cases in which a recovery charge is payable under section 90.17, as well as the conditions of payment and the amount payable; 4 ° fix the registration fees payable by personal information agents. In exercising its regulatory power, the Government may define sectors of activity and categories of personal information and files."
"90.1","A monetary administrative penalty may be imposed by a person designated by the Commission, but who is not a member of any of its divisions, on anyone who 1 ° does not inform the persons concerned in accordance with sections 7 and 8; 2 ° collects, uses, communicates, keeps or destroys personal information in contravention of the law; 3 ° does not report, where required to do so, a confidentiality incident to the Commission or to the persons concerned; 4 ° does not take the security measures necessary to ensure the protection of the personal information in accordance with section 10; 5 ° does not inform the person concerned by a decision based exclusively on an automated process or does not give the person an opportunity to submit observations, in contravention of section 12.1; or 6 ° is a personal information agent and contravenes any of sections 70, 70.1, 71, 72, 78, 79 and 79.1. Following a failure referred to in the first paragraph, a person may, at any time, enter into an undertaking with the Commission to take the measures necessary to remedy the failure or mitigate its consequences. The undertaking must identify the acts or omissions constituting a failure and the provisions involved. It may also include the conditions the Commission considers necessary and contain a requirement to pay a sum of money. If the undertaking is accepted by the Commission and is complied with, no monetary administrative penalty may be imposed on the person carrying on an enterprise with regard to the acts or omissions mentioned in the undertaking."
"90.2","The Commission shall develop and make public a general framework for the application of monetary administrative penalties and shall specify in the framework the following elements in particular: 1 ° the purpose of the penalties, such as urging a person carrying on an enterprise to rapidly take the measures required to remedy the failure and deter repetition of such failures; 2 ° the criteria that must guide designated persons in the decision to impose a penalty when a failure occurs and in the determination of the amount of the penalty, including a ) the nature, seriousness, repetitiveness and duration of the failure; b ) the sensitivity of the personal information concerned by the failure; c ) the number of persons concerned by the failure and the risk of injury to which they are exposed; d ) the measures taken by the person in default to remedy the failure or mitigate its consequences; e ) the degree of cooperation provided to the Commission to remedy the failure or mitigate its consequences; f ) the compensation offered by the person in default, as restitution, to every person concerned by the failure; and g ) the ability to pay of the person in default, given such considerations as the person’s assets, turnover and revenues; 3 ° the circumstances in which priority will be given to penal proceedings; and 4 ° the other terms regarding the imposition of such a penalty."
"90.3","When a failure referred to in section 90.1 has occurred, a notice of non-compliance may be notified to the person in default to urge him to take, without delay, the measures required to remedy the failure. The notice must mention the fact that the failure could give rise to a monetary administrative penalty or penal sanctions, among other things."
"90.4","The designated person must, before imposing a monetary administrative penalty, notify the notice of non-compliance referred to in section 90.3 to the person in default and give the person an opportunity to submit observations and produce any documents to complete the record."
"90.5","A monetary administrative penalty is imposed on the person in default by notification of a notice of claim setting out the amount of the claim, the reasons for it, the time from which it bears interest, the right to apply for a review of the decision, the right to contest the review decision before the Court of Québec and the time limit for bringing such proceedings. The notice of claim must also include information on the procedure for recovery of the amount owing, in particular with regard to the issue of a recovery certificate under section 90.14 and its effects. The person must also be advised that the facts on which the claim is founded may result in penal proceedings. The amount owing bears interest at the rate determined under the first paragraph of section 28 of the Tax Administration Act ( chapter A-6.002 ), from the 31st day after notification of the notice. The notification of a notice of claim interrupts the prescription provided for in the Civil Code with regard to the recovery of the amount owing."
"90.6","The person in default may apply to the Commission in writing for a review of the decision to impose a monetary administrative penalty, within 30 days after notification of the notice of claim. A member assigned to the Commission’s oversight division is responsible for reviewing the decision."
"90.7","The application for review must be dealt with promptly. The review decision is rendered after giving the person in default an opportunity to submit observations and produce any documents to complete the record. The decision may confirm, quash or vary the decision under review."
"90.8","The review decision must be written in clear and concise terms, with reasons given, must be notified to the applicant and must state the applicant’s right to contest the decision before the Court of Québec and the time limit for bringing such a proceeding. If the review decision is not rendered within 30 days after the application is received or, if applicable, after the time granted to the applicant to submit observations or produce documents, the interest provided for in the first paragraph of section 90.5 on the amount owing is suspended until the decision is rendered."
"90.9","A review decision confirming or amending the decision to impose a monetary administrative penalty may be contested before the Court of Québec within 30 days after notification of the contested decision. The contestation is subject to the rules set out in sections 61 to 69, with the necessary modifications."
"90.10","The imposition of a monetary administrative penalty is prescribed two years from the date of the failure to comply with the Act."
"90.11","No monetary administrative penalty may be imposed on a person for a failure to comply with this Act if a statement of offence has already been served on the person for a failure to comply with the same provision on the same day, based on the same facts."
"90.12","The maximum amount of the monetary administrative penalty is $50,000 in the case of a natural person and, in all other cases, $10,000,000 or, if greater, the amount corresponding to 2% of worldwide turnover for the preceding fiscal year."
"90.13","The debtor and the Commission may enter into a payment agreement with regard to the amount owing. Such an agreement, or the payment of the amount owing, does not constitute, for the purposes of penal proceedings or any other administrative penalty under this Act, an acknowledgement of the facts giving rise to it."
"90.14","If the amount owing is not paid in its entirety or the payment agreement is not adhered to, the Commission may issue a recovery certificate upon the expiry of the time for applying for a review of the decision imposing the monetary administrative penalty, upon the expiry of the time for contesting the review decision before the Court of Québec or upon the expiry of 30 days after the final decision of the Court confirming all or part of the decision imposing the penalty or the review decision, as applicable. However, a recovery certificate may be issued before the expiry of the time referred to in the first paragraph if the Commission is of the opinion that the debtor is attempting to evade payment. A recovery certificate must state the debtor’s name and address and the amount of the debt."
"90.15","Once a recovery certificate has been issued, the Minister of Revenue applies, in accordance with section 31 of the Tax Administration Act ( chapter A-6.002 ), any refund owed to a person under a fiscal law to the payment of an amount owed by that person under this Act. The allocation interrupts the prescription provided for in the Civil Code with regard to the recovery of an amount owing."
"90.16","Upon the filing of the recovery certificate at the office of the competent court, together with a copy of the final decision stating the amount of the debt, the decision becomes enforceable as if it were a final judgment of that court not subject to appeal, and has all the effects of such a judgment."
"90.17","The debtor is required to pay a recovery charge in the cases, under the conditions and in the amount determined by regulation."
"91","Anyone who 1 ° collects, uses, communicates, keeps or destroys personal information in contravention of the law, 2 ° fails to report, where required to do so, a confidentiality incident to the Commission or to the persons concerned, 3 ° contravenes the prohibition set out in section 8.4, 4 ° does not take the security measures necessary to ensure the protection of the personal information in accordance with section 10, 5 ° identifies or attempts to identify a natural person using de-identified information without the authorization of the person holding the information or using anonymized information, 6 ° is a personal information agent and contravenes any of sections 70, 70.1, 71, 72, 78, 79 and 79.1, 7 ° impedes the progress of an inquiry or inspection of the Commission or the hearing of an application by the Commission by providing it with false or inaccurate information, by omitting to provide information it requires or otherwise, 8 ° contravenes section 81.1, 9 ° refuses or neglects to comply, within the specified time, with a demand made under section 81.3, or 10 ° fails to comply with an order of the Commission commits an offence and is liable to a fine of $5,000 to $100,000 in the case of a natural person and, in all other cases, of $15,000 to $25,000,000, or, if greater, the amount corresponding to 4% of worldwide turnover for the preceding fiscal year."
"92","The Commission may, in accordance with article 10 of the Code of Penal Procedure ( chapter C-25.1 ), institute penal proceedings for an offence under this division."
"92.1","In the case of a subsequent offence, the fines under this division are doubled."
"92.2","All penal proceedings must be instituted within five years of the commission of the offence."
"92.3","In determining the penalty, the judge takes into account the following factors, among others: 1 ° the nature, seriousness, repetitiveness and duration of the offence; 2 ° the sensitivity of the personal information concerned by the offence; 3 ° whether the offender acted intentionally or was negligent or reckless; 4 ° the foreseeable character of the offence or the failure to follow recommendations or warnings to prevent it; 5 ° the offender’s attempts to cover up the offence or failure to try to mitigate its consequences; 6 ° whether the offender failed to take reasonable measures to prevent the commission of the offence; 7 ° whether the offender obtained or intended to obtain an increase in revenues or a decrease in expenses by committing the offence or by omitting to take measures to prevent it; and 8 ° the number of persons concerned by the offence and the risk of injury to which they are exposed."
"93","Where an offence under this Act is committed by a legal person, the administrator, director or representative of the legal person who ordered or authorized the act or omission constituting the offence, or who consented thereto, is a party to the offence and is liable to the prescribed penalty."
"93.1","Where the unlawful infringement of a right conferred by this Act or by articles 35 to 40 of the Civil Code causes an injury and the infringement is intentional or results from a gross fault, the court shall award punitive damages of not less than $1,000."
"94","The provisions of this Act have precedence over those of any subsequent general or special Act which would be contrary thereto, unless the latter Act expressly provides that it applies despite this Act. However, they do not have the effect of limiting the protection of personal information or access to that information by a person concerned pursuant to another Act, a regulation, an order in council, a collective agreement, an order or a practice established before 1 January 1994."
"95","The Commission may make agreements with any department, body or person authorized by law to make inquiries in the matter of protection of personal information, in order to coordinate its actions with those of the department, body or person."
"96","Any association or partnership that carries on an enterprise and holds personal information on its members or on third persons has, in respect of its members and such third persons, the same rights and the same obligations as a person carrying on an enterprise."
"97","Credit unions and the federation of which they are members and, if applicable, a legal person or partnership controlled by the federation are not considered to be third persons in relation to each other for the purposes of the communication among themselves and the use of personal information relevant to the supply of property or the provision of a service under the Act respecting financial services cooperatives ( chapter C-67.3 ). Credit unions, the federation of which they are members and the other members of the group are not considered to be third persons in relation to each other for the purposes of the communication among themselves and the use of personal information relevant to financial risk management."
"98","The minister designated by the Government is responsible for the administration of this Act. The Minister responsible for Access to Information and the Protection of Personal Information is responsible for the administration of this Act. Order in Council 1541-2021 dated 15 December 2021, (2022) 154 G.O. 2 (French), 177."
"99","(Amendment integrated into c. A-2.1, s. 88.1)."
"100","(Amendment integrated into c. A-2.1, s. 89.1)."
"101","(Amendment integrated into c. A-2.1, s. 94)."
"102","(Amendment integrated into c. A-2.1, s. 104)."
"103","(Amendment integrated into c. A-2.1, s. 118)."
"104","(Amendment integrated into c. A-2.1, s. 122)."
"105","(Amendment integrated into c. A-2.1, s. 130.1)."
"106","(Amendment integrated into c. A-2.1, s. 146.1)."
"107","(Amendment integrated into c. A-2.1, s. 148)."
"108","(Amendment integrated into c. A-2.1, s. 151)."
"109","(Amendment integrated into c. A-2.1, s. 174)."
"110","(Amendment integrated into c. C-4.1, s. 196)."
"111","(Omitted)."
"112","(Omitted)."
"113","(Omitted)."
"114","The statement indicating the object of a file on another person held by a person carrying on an enterprise on 1 January 1994 must be entered before 1 January 1995."
"115","(Omitted)."
