"control_id","control_domain","control_specification","architectural_relevance.phys","architectural_relevance.network","architectural_relevance.compute","architectural_relevance.storage","architectural_relevance.app","architectural_relevance.data","corp_gov_relevance","service_delivery_model.saas","service_delivery_model.paas","service_delivery_model.iaas","supplier_relationship.service_provider","supplier_relationship.tenant_consumer","framework_mappings.aicpa_2009_tsc_map","framework_mappings.aicpa_trust_service_criteria_soc_2sm_report","framework_mappings.aicpa_2014_tsc","framework_mappings.bits_shared_assessments_aup_v5_0","framework_mappings.bits_shared_assessments_sig_v6_0","framework_mappings.canada_pipeda","framework_mappings.ccm_v1_x","framework_mappings.cobit_4_1","framework_mappings.cobit_5_0","framework_mappings.coppa","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative_2","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative_3","framework_mappings.csa_guidance_v3_0","framework_mappings.enisa_iaf","framework_mappings.95_46_ec_european_union_data_protection_directive","framework_mappings.fedramp_security_controls_final_release_jan_2012_low_impact_level","framework_mappings.fedramp_security_controls_final_release_jan_2012_moderate_impact_level","framework_mappings.gapp_aug_2009","framework_mappings.hipaa_hitech_act","framework_mappings.iso_iec_27001_2005","framework_mappings.iso_iec_27001_2013","framework_mappings.jericho_forum","framework_mappings.nerc_cip","framework_mappings.nist_sp800_53_r3","framework_mappings.nist_sp800_53_r4_app_j","framework_mappings.nzism","framework_mappings.odca_um_pa_r2_0","framework_mappings.odca_um_pa_r2_0_2","framework_mappings.pci_dss_v2_0","framework_mappings.pci_dss_v3_0","framework_mappings.tenant_consumer","framework_mappings.bsi_germany","framework_mappings.mexico_federal_law_on_protection_of_personal_data_held_by_private_parties","framework_mappings.itar","framework_mappings.ferpa"
"HRS-06","Human Resources
Non-Disclosure Agreements","Requirements for non-disclosure or confidentiality agreements reflecting
 the organization's needs for the protection of data and operational 
details shall be identified, documented, and reviewed at planned 
intervals.","N","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","S4.1.0","(S4.1.0) The entity’s system availability, confidentiality, processing integrity and security performance is periodically reviewed and compared with the defined system availability and related security policies.","CC4.1","","C.2.5","Schedule 1 (Section 5), 4.7 - Safeguards","LG-01","","APO01.02
APO01.03
APO01.08
APO07.06
APO09.03
APO10.04
APO13.01
APO13.03","312.8 and 312.10","BOSS > Compliance > Intellectual Property Protection","shared","x","Domain 3","","Article 16","NIST SP 800-53 R3 PL-4
NIST SP 800-53 R3 PS-6
NIST SP 800-53 R3 SA-9","NIST SP 800-53 R3 PL-4
NIST SP 800-53 R3 PS-6
NIST SP 800-53 R3 SA-9
NIST SP 800-53 R3 SA-9 (1)","1.2.5","","ISO/IEC 27001:2005
Annex A.6.1.5","A.13.2.4","Commandment #6
Commandment #7
Commandment #8
Commandment #9","","PL-4
PS-6
SA-9","DI-2 DATA INTEGRITY AND DATA INTEGRITY BOARD 
a. Documents processes to ensure the integrity of personally identifiable information (PII) through existing security controls; and
b. Establishes a Data Integrity Board when appropriate to oversee organizational Computer Matching Agreements123 and to ensure that those agreements comply with the computer matching provisions of the Privacy Act.

IP-1 CONSENT 
a. Provides means, where feasible and appropriate, for individuals to authorize the collection, use, maintaining, and sharing of personally identifiable information (PII) prior to its collection;
b. Provides appropriate means for individuals to understand the consequences of decisions to approve or decline the authorization of the collection, use, dissemination, and retention of PII; 
c. Obtains consent, where feasible and appropriate, from individuals prior to any new uses or disclosure of previously collected PII; and 
d. Ensures that individuals are aware of and, where feasible, consent to all uses of PII not initially described in the public notice that was in effect at the time the organization collected the PII.","","PA7","BSGP","12.8.2
12.8.3
12.8.4","","X","","","ITAR 22 CFR § 120.17 
EAR 15 CFR §736.2 (b)",""
"HRS-07","Human Resources
Roles / Responsibilities","Roles and responsibilities of contractors, employees, and third-party 
users shall be documented as they relate to information assets and 
security.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S1.2.f","(S1.2.f) f. Assigning responsibility and accountability for system availability, confidentiality, processing integrity and related security.","","B.1","B.1.5, D.1.1,D.1.3.3, E.1, F.1.1, H.1.1, K.1.2","Schedule 1 (Section 5) 4.1 Accountability","IS-13","DS5.1","APO01.02
APO01.03
APO01.08
APO07.06
APO09.03
APO10.04
APO13.01
APO13.03","312.3, 312.8 and 312.10","BOSS > Human Resources Security > Roles and Responsibilities","shared","x","Domain 2","","Article 17","NIST SP 800-53 R3 PL-4
NIST SP 800-53 R3 PS-1
NIST SP 800-53 R3 PS-2
NIST SP 800-53 R3 PS-6
NIST SP 800-53 R3 PS-7","NIST SP 800-53 R3 PL-4
NIST SP 800-53 R3 PS-1
NIST SP 800-53 R3 PS-2
NIST SP 800-53 R3 PS-6
NIST SP 800-53 R3 PS-7","1.2.9
8.2.1","","Clause 5.1 c)
A.6.1.2
A.6.1.3
A.8.1.1","Clause 5.3
A.6.1.1
A.6.1.1","Commandment #6
Commandment #7
Commandment #8","","AT-3
PL-4
PM-10
PS-1
PS-6
PS-7","AR-1 GOVERNANCE AND PRIVACY PROGRAM
Control: The organization:
Supplemental Guidance: The development and implementation of a comprehensive governance and privacy program demonstrates organizational accountability for and commitment to the protection of individual privacy. Accountability begins with the appointment of an SAOP/CPO with the authority, mission, resources, and responsibility to develop and implement a multifaceted privacy program. The SAOP/CPO, in consultation with legal counsel, information security officials, and others as appropriate: (i) ensures the development, implementation, and enforcement of privacy policies and procedures; (ii) defines roles and responsibilities for protecting PII; (iii) determines the level of information sensitivity with regard to PII holdings; (iv) identifies the laws, regulations, and internal policies that apply to the PII; (v) monitors privacy best practices; and (vi) monitors/audits compliance with identified privacy controls.

AR-3 PRIVACY REQUIREMENTS FOR CONTRACTORS AND SERVICE PROVIDERS
Control: The organization:
a. Establishes privacy roles, responsibilities, and access requirements for contractors and service providers; and
b. Includes privacy requirements in contracts and other acquisition-related documents.","2.2","PA9
PA24","BSGP","","12.8.5","X","5 (B)","","","99.31(a)(1)(ii)"
"HRS-08","Human Resources
Technology Acceptable Use","Policies and procedures shall be established, and supporting business processes and technical measures implemented, for defining allowances and conditions for permitting usage of organizationally-owned or managed user end-point devices (e.g., issued workstations, laptops, and mobile devices) and IT infrastructure network and systems components. Additionally, defining allowances and conditions to permit usage of personal mobile devices and associated applications with access to corporate resources (i.e., BYOD) shall be considered and incorporated as appropriate.","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","S1.2


S3.9","(S1.2) The entity’s security policies include, but may not be limited to, the following matters: 

(S3.9) Procedures exist to provide that issues of noncompliance with security policies are promptly addressed and that corrective measures are taken on a timely basis.","CC3.2

CC6.2","B.3","B.1.7, D.1.3.3, E.3.2, E.3.5.1, E.3.5.2","Schedule 1 (Section 5) 4.1 Accountability, Subs. 4.1.4","IS-26","DS 5.3","APO01.03
APO01.08
APO13.01
APO13.02
DSS05.04
DSS06.06","312.4, 312.8 and 312.10","SRM > Policies and Standards > Information Security Policies","shared","x","Domain 2","","Article 5, Article 6
Article 7","NIST SP 800-53 R3 AC-2
NIST SP 800-53 R3 AC-8
NIST SP 800-53 R3 AC-20
NIST SP 800-53 R3 PL-4","NIST SP 800-53 R3 AC-8
NIST SP 800-53 R3 AC-20
NIST SP 800-53 R3 AC-20 (1)
NIST SP 800-53 R3 AC-20 (2)
NIST SP 800-53 R3 PL-4","8.1.0","45 CFR 164.310 (b)","A.7.1.3","A.8.1.3","Commandment #1
Commandment #2
Commandment #3","","AC-8
AC-20
PL-4","","2.2
5.2
4.2","","","12.3.5","12.3","X","","","",""
"HRS-09","Human Resources
Training / Awareness","A security awareness training program shall be established for all 
contractors, third-party users, and employees of the organization and 
mandated when appropriate. All individuals with access to organizational
 data shall receive appropriate awareness training and regular updates 
in organizational procedures, processes, and policies relating to their 
professional function relative to the organization.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S1.2.k




S2.2.0","(S1.2.k) The entity's security policies include, but may not be limited to, the following matters:
k.       Providing for training and other resources to support its system security policies

(S2.2.0) The security obligations of users and the entity’s security commitments to users are communicated to authorized users.","CC2.2
CC2.3","E.1","E.4","Schedule 1 (Section 5) 4.1 Accountability, Subs. 4.1.4; 4.7 Safeguards, Subs. 4.7.4","IS-11","PO 7.4","APO01.03
APO01.08
APO07.03
APO07.06
APO13.01
APO13.03","312.8 and 312.10","SRM > GRC >","shared","x","Domain 2","6.01. (c)
6.02. (e)","","NIST SP 800-53 R3 AT-1
NIST SP 800-53 R3 AT-2
NIST SP 800-53 R3 AT-3
NIST SP 800-53 R3 AT-4","NIST SP 800-53 R3 AT-1
NIST SP 800-53 R3 AT-2
NIST SP 800-53 R3 AT-3
NIST SP 800-53 R3 AT-4","1.2.10
8.2.1","45 CFR 164.308 (a)(5)(i)
45 CFR 164.308 (a)(5)(ii)(A)","Clause 5.2.2
A.8.2.2","Clause 7.2(a), 7.2(b)
A.7.2.2","Commandment #3
Commandment #6","CIP-004-3 - R1 - R2 - R2.1","AT-1
AT-2
AT-3
AT-4","AR-5 PRIVACY AWARENESS AND TRAINING
Control: The organization:
a. Develops, implements, and updates a comprehensive training and awareness strategy aimed at ensuring that personnel understand privacy responsibilities and procedures;
b. Administers basic privacy training [Assignment: organization-defined frequency, at least annually] and targeted, role-based privacy training for personnel having responsibility for personally identifiable information (PII) or for activities that involve PII [Assignment: organization-defined frequency, at least annually]; and
c. Ensures that personnel certify (manually or electronically) acceptance of responsibilities for privacy requirements [Assignment: organization-defined frequency, at least annually].","9.1","PA28","BSGP","12.6
12.6.1
12.6.2","12.6","X","65 (B)","Chapter VI, Section I, Article 39 and Chapyer VI, Section II, Article 41","","99.31(a)(1)(ii)"
"HRS-10","Human Resources
User Responsibility","All personnel shall be made aware of their roles and responsibilities for:
 • Maintaining awareness and compliance with established policies and procedures and applicable legal, statutory, or regulatory compliance obligations.
 • Maintaining a safe and secure working environment","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S2.3.0","(S2.3.0) Responsibility and accountability for the entity’s system availability, confidentiality, processing integrity and security policies and changes and updates to those policies are communicated to entity personnel responsible for implementing them.","CC3.2","E.1","E.4","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.4","IS-16","PO 4.6","APO01.02
APO01.03
APO01.08
APO07.03
APO07.06
APO13.01
APO13.03","312.8 and 312.10","BOSS > Human Resources Security > Employee Awareness","shared","x","Domain 2","","Article 17","NIST SP 800-53 R3 AT-2
NIST SP 800-53 R3 AT-3
NIST SP 800-53 R3 AT-4
NIST SP 800-53 R3 PL-4","NIST SP 800-53 R3 AT-2
NIST SP 800-53 R3 AT-3
NIST SP 800-53 R3 AT-4
NIST SP 800-53 R3 PL-4","1.2.10
8.2.1","45 CFR 164.308 (a)(5)(ii)(D)","Clause 5.2.2
A.8.2.2
A.11.3.1
A.11.3.2","Clause 7.2(a), 7.2(b)
A.7.2.2
A.9.3.1
A.11.2.8","Commandment #5 Commandment #6
Commandment #7","","AT-2
AT-3
AT-4
PL-4","UL-1 INTERNAL USE
Control: The organization uses personally identifiable information (PII) internally only for the authorized purpose(s) identified in the Privacy Act and/or in public notices.","9.1","","","8.5.7
12.6.1","12.4","X","65 (B)
66 (B)","Chapter VI, Section I, Article 39 and Chapyer VI, Section II, Article 41","",""
"HRS-11","Human Resources
Workspace","Policies and procedures shall be established to require that unattended workspaces do not have openly visible (e.g., on a desktop) sensitive documents and user computing sessions are disabled after an established period of inactivity.","Y","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","S3.3.0




S3.4.0","(S3.3.0) Procedures exist to restrict physical access to the defined system including, but not limited to, facilities, backup media, and other system components such as firewalls, routers, and servers.

(S3.4.0) Procedures exist to protect against unauthorized access to system resources.","CC5.5

CC5.6","E.1","E.4","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","IS-17","","APO01.02
APO01.03
APO01.08
APO07.03
APO07.06
APO13.01
APO13.03
DSS05.03
DSS06.06","312.8 and 312.10","BOSS > Data Governance > Clear Desk Policy","shared","x","Domain 2","","","NIST SP 800-53 R3 MP-1
NIST SP 800-53 R3 MP-2","NIST SP 800-53 R3 AC-11
NIST SP 800-53 R3 MP-1
NIST SP 800-53 R3 MP-2
NIST SP 800-53 R3 MP-2 (1)
NIST SP 800-53 R3 MP-3
NIST SP 800-53 R3 MP-4
NIST SP 800-53 R3 MP-4 (1)","8.2.3","","Clause 5.2.2
A.8.2.2
A.9.1.5
A.11.3.1
A.11.3.2
A.11.3.3","Clause 7.2(a), 7.2(b)
A.7.2.2
A.11.1.5
A.9.3.1
A.11.2.8
A.11.2.9","Commandment #5 Commandment #6
Commandment #7
Commandment #11","","AC-11
MP-2
MP-3
MP-4","","8.1","","","","8.1.8","X","","","ITAR 22 CFR § 120.17 
EAR 15 CFR §736.2 (b)",""
"IAM-01","Identity & Access Management
Audit Tools Access","Access to, and use of, audit tools that interact with the organization's information systems shall be appropriately segmented and restricted to prevent compromise and misuse of log data.","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","S3.2.g","(S3.2.g) g. Restriction of access to system configurations, superuser functionality, master passwords, powerful utilities, and security devices (for example, firewalls).","CC5.1","","","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","IS-29","DS 5.7","APO01.03
APO01.08
APO13.01
APO13.02
DSS05.03
DSS05.05","312.8 and 312.10","SRM > Privilege Management Infrastructure > Privilege Usage Management","shared","x","Domain 2","6.03. (i)
6.03. (j)","","NIST SP 800-53 R3 AU-9","NIST SP 800-53 R3 AU-9
NIST SP 800-53 R3 AU-9 (2)","8.2.1","","A.15.3.2","","Commandment #2
Commandment #5
Commandment #11","CIP-003-3 - R5.2","AU-9
AU-11
AU-14","","15.4","","","10.5.5","10.5
7.1.2
7.1.4
7.2
8.1
8.1.5
8.5","","","","",""
"IAM-02","Identity & Access Management
Credential Lifecycle / Provision Management","User access policies and procedures shall be established, and supporting business processes and technical measures implemented, for ensuring  appropriate identity, entitlement, and access management for all internal corporate and customer (tenant) users with access to data and organizationally-owned or managed (physical and virtual) application interfaces and infrastructure network and systems components. These policies, procedures, processes, and measures must incorporate the following:
 • Procedures and supporting roles and responsibilities for provisioning and de-provisioning user account entitlements following the rule of least privilege based on job function (e.g., internal employee and contingent staff personnel changes, customer-controlled access, suppliers' business relationships, or other third-party business relationships)
 • Business case considerations for higher levels of assurance and multi-factor authentication secrets (e.g., management interfaces, key generation, remote access, segregation of duties, emergency access, large-scale provisioning or geographically-distributed deployments, and personnel redundancy for critical systems)
 • Access segmentation to sessions and data in multi-tenant architectures by any third party (e.g., provider and/or other customer (tenant))
 • Identity trust verification and service-to-service application (API) and information processing interoperability (e.g., SSO and federation)
 • Account credential lifecycle management from instantiation through revocation
 • Account credential and/or identity store minimization or re-use when feasible
 • Authentication, authorization, and accounting (AAA) rules for access to data and sessions (e.g., encryption and strong/multi-factor, expireable, non-shared authentication secrets)
 • Permissions and supporting capabilities for customer (tenant) controls over authentication, authorization, and accounting (AAA) rules for access to 
data and sessions
 • Adherence to applicable legal, statutory, or regulatory compliance requirements","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","S3.2.0","(S3.2.0) Procedures exist to restrict logical access to the defined system including, but not limited to, the following matters:
c. Registration and authorization of new users.
d. The process to make changes to user profiles.
g. Restriction of access to system configurations, superuser functionality, master passwords, powerful utilities, and security devices (for example, firewalls).","","B.1","B.1.8, B.1.21, B.1.28,  E.6.2, H.1.1, K.1.4.5,","Schedule 1 (Section 5) 4.1 Accountability, Subs. 4.1.4; 4.7 Safeguards, Subs. 4.7.4","IS-07","DS 5.4","APO01.02
APO01.03
APO01.08
APO13.01
APO13.02
DSS05.04
DSS05.05
DSS05.06
DSS06.03
DSS06.06","312.8 and 312.10","SRM > Policies and Standards >","shared","x","Domain 2","6.01. (b)
6.01. (d)
6.02. (e)
6.03. (b)
6.03.04. (b)
6.03.04. (c)
6.03.05. (b)
6.03.05. (d)
6.03.06. (b)
6.04.01. (c)
6.04.01. (f)
6.04.02. (a)
6.04.02. (b)
6.04.02. (c)
6.04.03. (b)
6.04.06. (a)
6.04.08. (a)
6.04.08. (b)
6.04.08. (c)
6.04.08.03. (a)
6.04.08.03. (b)","Article 17","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AC-7
NIST SP 800-53 R3 AC-14
NIST SP 800-53 R3 IA-1","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AC-7
NIST SP 800-53 R3 AC-10
NIST SP 800-53 R3 AC-14
NIST SP 800-53 R3 IA-1","8.1.0","45 CFR 164.308 (a)(3)(i)
45 CFR 164.312 (a)(1)
45 CFR 164.312 (a)(2)(ii)
45 CFR  164.308(a)(4)(ii)(B)
45 CFR 164.308(a)(4)(ii)(c )","A.11.1.1
A.11.2.1
A.11.2.4
A.11.4.1
A.11.5.2
A.11.6.1","A.9.1.1
A.9.2.1,
A.9.2.2
A.9.2.5
A.9.1.2
A.9.4.1","Commandment #6
Commandment #7
Commandment #8","CIP-007-3 - R5.1 - R5.1.2","AC-1
IA-1","","15.1
15.2","","","3.5.1
8.5.1
12.5.4","3.5.1, 7.0
8.0
12.5.4","","8 (B)
40 (B)
41 (B)
42 (B)
43 (B)
44 (C+)","","ITAR 22 CFR § 120.17 
EAR 15 CFR §736.2 (b)",""
"IAM-03","Identity & Access Management
Diagnostic / Configuration Ports Access","User access to diagnostic and configuration ports shall be restricted to authorized individuals and applications.","Y","N","N","N","Y","N","N","Y","Y","Y","Y","Y","S3.2.g","(S3.2.g) g. Restriction of access to system configurations, superuser functionality, master passwords, powerful utilities, and security devices (for example, firewalls).","CC5.1","","H1.1, H1.2, G.9.15","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","IS-30","DS5.7","APO13.01
DSS05.02
DSS05.03
DSS05.05
DSS06.06","312.8 and 312.10","SRM > Privilege Management Infrastructure > Privilege Usage Management - Resource Protection","provider","x","Domain 2","","","NIST SP 800-53 R3 CM-7
NIST SP 800-53 R3 MA-4
NIST SP 800-53 R3 MA-5","NIST SP 800-53 R3 CM-7
NIST SP 800-53 R3 CM-7 (1)
NIST SP 800-53 R3 MA-3
NIST SP 800-53 R3 MA-3 (1)
NIST SP 800-53 R3 MA-3 (2)
NIST SP 800-53 R3 MA-3 (3)
NIST SP 800-53 R3 MA-4
NIST SP 800-53 R3 MA-4 (1)
NIST SP 800-53 R3 MA-4 (2)
NIST SP 800-53 R3 MA-5","","","A.10.6.1
A.11.1.1
A.11.4.4
A.11.5.4","A.13.1.1
A.9.1.1
A.9.4.4","Commandment #3
Commandment #4
Commandment #5
Commandment #6
Commandment #7
Commandment #8","CIP-007-3 - R2","CM-7
MA-3
MA-4
MA-5","","15.4","","","9.1.2","1.2.2
7.1
7.1.2
7.1.3
7.2
7.2.3
9.1.2
9.1.3","X","","","",""
"IAM-04","Identity & Access Management
Policies and Procedures","Policies and procedures shall be established to store and manage identity information about every person who accesses IT infrastructure and to determine their level of access. Policies shall also be developed to control access to network resources based on user identity.","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","--","","APO01.03
APO01.08
APO13.01
APO13.02
DSS05.02
DSS05.04
DSS06.06","","SRM > Policies and Standards > Information Security Policies","","","Domain 12","","","","","","","","Annex
A.9.2
A.9.2.1
A.9.2.2
A.9.2.3,
A.9.2.4,
A.9.2.5,
A.9.2.6","","","","","","","","","7.3
8.8
9.10","","","","",""
"IAM-05","Identity & Access Management
Segregation of Duties","User access policies and procedures shall be established, and supporting business processes and technical measures implemented, for restricting user access as per defined segregation of duties to address business risks associated with a user-role conflict of interest.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","S3.2.a","(S3.2.a) a. Logical access security measures to restrict access to information resources not deemed to be public.","CC5.1","","G.2.13. G.3, G.20.1, G.20.2, G.20.5","Schedule 1 (Section 5) 4.7 Safeguards, Subs. 4.7.3(b)","IS-15","DS 5.4","APO01.03
APO01.08
APO13.02
DSS05.04
DSS06.03","312.8 and 312.10","ITOS > Resource Management > Seggregation of Duties","shared","x","Domain 2","6.04.01. (d)
6.04.08.02. (a)","Article 17","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AC-2
NIST SP 800-53 R3 AU-1
NIST SP 800-53 R3 AU-2
NIST SP 800-53 R3 AU-6","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AC-2
NIST SP 800-53 R3 AC-2 (1)
NIST SP 800-53 R3 AC-2 (2)
NIST SP 800-53 R3 AC-2 (3)
NIST SP 800-53 R3 AC-2 (4)
NIST SP 800-53 R3 AC-2 (7)
NIST SP 800-53 R3 AC-5
NIST SP 800-53 R3 AC-6
NIST SP 800-53 R3 AC-6 (1)
NIST SP 800-53 R3 AC-6 (2)
NIST SP 800-53 R3 AU-1
NIST SP 800-53 R3 AU-2
NIST SP 800-53 R3 AU-6
NIST SP 800-53 R3 AU-6 (1)
NIST SP 800-53 R3 AU-6 (3)
NIST SP 800-53 R3 SI-4
NIST SP 800-53 R3 SI-4 (2)
NIST SP 800-53 R3 SI-4 (4)
NIST SP 800-53 R3 SI-4 (5)
NIST SP 800-53 R3 SI-4 (6)","8.2.2","45 CFR 164.308 (a)(1)(ii)(D)
45 CFR 164.308 (a)(3)(ii)(A)
45 CFR 164.308(a)(4)(ii)(A)
45 CFR 164.308 (a)(5)(ii)(C)
45 CFR 164.312 (b)","A.10.1.3","A.6.1.2","Commandment #6
Commandment #7
Commandment #8
Commandment #10","CIP-007-3 R5.1.1","AC-1
AC-2
AC-5
AC-6
AU-1
AU-6
SI-1
SI-4","","3.0
3.1
3.2
3.3
3.4
3.5","PA24","P","6.4.2","6.4.2, 7.3
8.8
9.10","","","","","99.31(a)(1)(ii)"
"IAM-06","Identity & Access Management
Source Code Access Restriction","Access to the organization's own developed applications, program, or object source code, or any other form of intellectual property (IP), and use of proprietary software shall be appropriately restricted following the rule of least privilege based on job function as per established user access policies and procedures.","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","S3.13.0","(S3.13.0) Procedures exist to provide that only authorized, tested, and documented changes are made to the system.","CC7.4","","I.2.7.2, I.2.9, I.2.10, I.2.15","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","IS-33","","APO01.03
APO01.08
APO13.02
DSS05.04
DSS06.03","","ITOS > Service Support > Release Management - Source Code Management","shared","x","Domain 2","","Article 17","","NIST SP 800-53 R3 CM-5
NIST SP 800-53 R3 CM-5 (1)
NIST SP 800-53 R3 CM-5 (5)","1.2.6
6.2.1","","Clause 4.3.3
A.12.4.3
A.15.1.3","Clause
5.2(c)
5.3(a),
5.3(b),
7.5.3(b)
7.5.3(d)
8.1,
8.3
9.2(g)
A.9.4.5
A.18.1.3","Commandment #6
Commandment #7
Commandment #9
Commandment #10","","CM-5
CM-6","","9.4
14.1
14.2
19.1","","","6.4.1
6.4.2","6.4.1
6.4.2, 7.1
7.1.1
7.1.2
7.1.3
7.1.4
7.2
7.2.2
7.3","","","","ITAR 22 CFR § 120.17 
EAR 15 CFR §736.2 (b)",""
"IAM-07","Identity & Access Management
Third Party Access","The identification, assessment, and prioritization of risks posed by 
business processes requiring third-party access to the organization's 
information systems and data shall be followed by coordinated 
application of resources to minimize, monitor, and measure likelihood 
and impact of unauthorized or inappropriate access. Compensating 
controls derived from the risk analysis shall be implemented prior to 
provisioning access.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S3.1




x3.1.0","(S3.1) Procedures exist to (1) identify potential threats of disruption to systems operation that would impair system security commitments and (2) assess the risks associated with the identified threats. 

(x3.1.0) Procedures exist to (1) identify potential threats of disruptions to systems operation that would impair system [availability, processing integrity, confidenitality] commitments and (2) assess the risks associated with the identified threats.","CC3.1","B.1
H.2","B.1.1, B.1.2, D.1.1, E.1, F.1.1, H.1.1, K.1.1, E.6.2, E.6.3","Schedule 1 (Section 5), 4.7 - Safeguards","RI-05","DS 2.3","APO01.03
APO01.08
APO07.06
APO10.04
APO13.02
DSS05.04
DSS05.07
DSS06.03
DSS06.06","312.8 and 312.10","SRM > Governance Risk & Compliance > Vendor Management","shared","x","Domain 2, 4","6.02. (a)
6.02. (b)
6.03. (a)","Article 17 (1), (2)","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AT-1
NIST SP 800-53 R3 AU-1
NIST SP 800-53 R3 CA-1
NIST SP 800-53 R3 CM-1
NIST SP 800-53 R3 CP-1
NIST SP 800-53 R3 IA-1
NIST SP 800-53 R3 IA-5
NIST SP 800-53 R3 IA-5 (1)
NIST SP 800-53 R3 IR-1
NIST SP 800-53 R3 MA-1
NIST SP 800-53 R3 MP-1
NIST SP 800-53 R3 PE-1
NIST SP 800-53 R3 PL-1
NIST SP 800-53 R3 PS-1
NIST SP 800-53 R3 RA-1
NIST SP 800-53 R3 SA-1
NIST SP 800-53 R3 SC-1
NIST SP 800-53 R3 SI-1","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AT-1
NIST SP 800-53 R3 AU-1
NIST SP 800-53 R3 CA-1
NIST SP 800-53 R3 CM-1
NIST SP 800-53 R3 CP-1
NIST SP 800-53 R3 IA-1
NIST SP 800-53 R3 IA-4
NIST SP 800-53 R3 IA-5
NIST SP 800-53 R3 IA-5 (1)
NIST SP 800-53 R3 IA-5 (2)
NIST SP 800-53 R3 IA-5 (3)
NIST SP 800-53 R3 IA-5 (6)
NIST SP 800-53 R3 IA-5 (7)
NIST SP 800-53 R3 IA-8
NIST SP 800-53 R3 IR-1
NIST SP 800-53 R3 MA-1
NIST SP 800-53 R3 MP-1
NIST SP 800-53 R3 PE-1
NIST SP 800-53 R3 PL-1
NIST SP 800-53 R3 PS-1
NIST SP 800-53 R3 RA-1
NIST SP 800-53 R3 SA-1
NIST SP 800-53 R3 SC-1
NIST SP 800-53 R3 SI-1","7.1.1
7.1.2
7.2.1
7.2.2
7.2.3
7.2.4","","A.6.2.1
A.8.3.3
A.11.1.1
A.11.2.1
A.11.2.4","A.9.2.6
A.9.1.1
A.9.2.1, A.9.2.2
A.9.2.5","","","CA-3
MA-4
RA-3","""FTC Fair Information Principles
Integrity/Security
Security involves both managerial and technical measures to protect against loss and the unauthorized access, destruction, use, or disclosure of the data.(49) Managerial measures include internal organizational measures that limit access to data and ensure that those individuals with access do not utilize the data for unauthorized purposes. Technical security measures to prevent unauthorized access include encryption in the transmission and storage of data; limits on access through use of passwords; and the storage of data on secure servers or computers . -  http://www.ftc.gov/reports/privacy3/fairinfo.shtm"".                                                                                                                 UL-2 INFORMATION SHARING WITH THIRD PARTIES","2.2
4.3","","","12.8.1
12.8.2
12.8.3
12.8.4","12.8
12.2","X","","","",""
