title,section,heading,description,keywords,application,frequency,type,crosswalks,control_activities,url_path
E011. Record processing locations | AIUC-1,Accountability,Record processing locations,Document AI data processing locations,Data Processing; Storage Location; Data Protections,Mandatory,Every 12 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Maintaining AI infrastructure location documentation.
For example, geographic locations of foundation model processing locations and inference endpoint regions, documenting third-party AI service provider data handling locations.
Reviewing and updating documentation regularly.
May include
Implementing transfer compliance procedures.
For example, assessing data transfer requirements for AI training data and inference processing, maintaining approved transfer mechanisms for foundation model providers and AI infrastructure, mitigating transfer risk for cross-border AI model training.",https://aiuc-1.com/accountability/record-processing-locations
F002. Prevent catastrophic misuse | AIUC-1,Society,Prevent catastrophic misuse,Implement or document guardrails to prevent AI-enabled catastrophic system misuse (chemical / bio / radio / nuclear),CBRN; Chemical; Bioweapon; Radioactive; Nuclear,Mandatory,Every 12 months,Detective,,"Should include
Results of testing from foundation model developer on CBRN capabilities and mitigations.
Attestation that the mitigations have not been removed.
May include
Relevant evaluations.
For example, Center for AI Safety's Weapons of Mass Destruction proxy benchmark.
Establishing catastrophic misuse monitoring.
For example, monitoring AI system interactions for patterns indicating weapons development or mass harm intent, implementing real-time alerting for detected catastrophic misuse attempts, documenting suspicious queries and system responses.",https://aiuc-1.com/society/prevent-catastrophic-misuse
F001. Prevent AI cyber misuse | AIUC-1,Society,Prevent AI cyber misuse,Implement or document guardrails to prevent AI-enabled misuse for cyber attacks and exploitation,Cyber Attacks,Mandatory,Every 12 months,Preventative,NIST AI RMF,"Should include
Results of testing from foundation model developer on offensive cyber capabilities and mitigations.
Attestation the mitigations have not been removed.
May include
Implementing malicious use detection and blocking.
For example, deploying available content filtering to detect requests for malicious code generation, attack planning, and vulnerability exploitation guidance, configuring automated blocking of cyber attack assistance requests, maintaining databases of prohibited use patterns.
Establishing usage monitoring and threat intelligence.
For example, monitoring AI system usage for exploitation attempts and suspicious patterns, maintaining updated threat intelligence on AI misuse techniques, implementing alerting for detected malicious use attempts.",https://aiuc-1.com/society/prevent-ai-cyber-misuse
C008. Monitor AI risk categories | AIUC-1,Safety,Monitor AI risk categories,Implement monitoring of AI systems across risk categories,Monitoring; High-Risk Outputs,Optional,Every 12 months,Detective,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Implementing proactive detection.
For example, defining potential scenarios that could generate harmful outputs under normal or adversarial use, documenting risk scenarios to guide test planning and operational safeguards aligned with risk taxonomy, deploying automated detection tools (e.g. classifiers, heuristics, anomaly detectors).
Establishing ongoing monitoring.
For example, conducting regular evaluations prioritized by risk severity, using methods such as output sampling, behavior tracing, and prompt-response logging.
Maintaining documentation.
For example, recording identified scenarios with clear examples, conditions, and mitigation approaches, updating risk taxonomy based on monitoring findings and incidents.
May include
Integrating AI output monitoring with existing security tools.
For example, forwarding alerts and flagged outputs to SIEM platforms, applying standard logging formats (e.g. JSON, syslog) to support automated threat detection workflows.",https://aiuc-1.com/safety/monitor-ai-risk-categories
C011. 3rd-party testing for out-of-scope outputs | AIUC-1,Safety,3rd-party testing for out-of-scope outputs,"Appoint expert third-parties to evaluate system robustness to out-of-scope outputs at least every 3 months (e.g. political discussion, healthcare advice)",Out-of-Scope; Political Discussion; Third-Party Testing,Mandatory,Every 3 months,Preventative,NIST AI RMF,"Should include
Appointing qualified third-party assessors.
For example, selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
Conducting regular testing.
For example, performing assessments of out-of-scope outputs at least every quarter, defining testing scope and methodologies based on risk taxonomy.
Maintaining documentation.
For example, recording third-party qualifications, testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",https://aiuc-1.com/safety/3rd-party-testing-for-out-of-scope-outputs
C006. Prevent output vulnerabilities | AIUC-1,Safety,Prevent output vulnerabilities,Implement safeguards to prevent security vulnerabilities in outputs from impacting users,Harmful Outputs; Code Injection; Data Exfiltration,Mandatory,Every 3 months,Preventative,MITRE ATLAS; OWASP Top 10,"Should include
Establishing output sanitization and validation procedures before presenting content to users.
For example, stripping or encoding HTML, JavaScript, shell syntax, and iframe content, blocking or rewriting unsafe URLs, validating structured output schemas (e.g. JSON/YAML/XML) against whitelists, enforcing safe rendering modes (e.g. text-only, content-security-policy (CSP) headers).
Implementing safety-specific labeling and handling protocols.
For example, clearly marking untrusted, distinguishing untrusted third-party data, applying appropriate security controls based on content source and risk level.
Maintaining detection and monitoring capabilities.
For example, logging sanitization activities, implementing alerting for suspicious content patterns.
May include
Detecting advanced output-based attack patterns.
For example, identifying prompt injection chains, model-output subversion (e.g. jailbreak tokens), payloads targeting downstream applications (e.g. command-line instructions, SQL queries), or obfuscated exploits designed to bypass basic filters.",https://aiuc-1.com/safety/prevent-output-vulnerabilities
C010. 3rd-party testing for harmful outputs | AIUC-1,Safety,3rd-party testing for harmful outputs,"Appoint expert third-parties to evaluate system robustness to harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception at least every 3 months",Harmful Outputs; Distressed; Angry; Advice; Offensive; Bias; Risk Severity; Toxigen; Third-Party Testing,Mandatory,Every 3 months,Preventative,NIST AI RMF; EU AI Act,"Should include
Appointing qualified third-party assessors.
For example, selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
Conducting regular testing.
For example, performing assessments of harmful outputs at least every quarter, defining testing scope and methodologies based on risk classifications and industry benchmarks like ToxiGen, coordinating with internal security and testing teams.
Maintaining documentation.
For example, recording third-party qualifications, testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",https://aiuc-1.com/safety/3rd-party-testing-for-harmful-outputs
C001. Define AI risk taxonomy | AIUC-1,Safety,Define AI risk taxonomy,"Establish a risk taxonomy that categorizes risks within harmful, out-of-scope, and hallucinated outputs, tool calls, and other risks based on application-specific usage",Risk Taxonomy; Severity Rating,Mandatory,Every 3 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Defining risk categories with severity levels and examples based on industry and deployment context.
For example, classifying harmful outputs such as distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception, identifying other high-risk use cases such as safety-critical instructions, legal recommendations, financial advice.
Aligning risk taxonomy with external frameworks and standards.
For example, NIST AI RMF functions, EU AI Act article 9, ISO42001 controls.
Establishing severity grading appropriate to organizational context and risk tolerance.
For example, implementing consistent scoring methodology across risk categories, defining thresholds for flagging and human review.
Maintaining taxonomy currency with documented change management.
For example, reviewing and updating risk categories quarterly or when new threat patterns emerge, adjusting risk thresholds, incorporating lessons from incident response and industry benchmarks.
May include
Identifying additional risk categories that are considered harmful given nature of operations.
For example, hallucinations, out-of-scope content.",https://aiuc-1.com/safety/define-ai-risk-taxonomy
C003. Prevent harmful outputs | AIUC-1,Safety,Prevent harmful outputs,"Implement safeguards or technical controls to prevent harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception",Harmful Outputs; Distressed; Angry; Advice; Offensive; Bias,Mandatory,Every 12 months,Preventative,EU AI Act; NIST AI RMF; OWASP Top 10,"Should include
Implementing content filtering for harmful output types.
For example, detecting and blocking distressed responses, angry language, offensive content, biased statements, and deceptive information.
Establishing safety guardrails for advice generation.
For example, restricting high-risk recommendations in sensitive domains, requiring disclaimers for guidance.
Maintaining bias detection and mitigation controls.
For example, monitoring for discriminatory patterns, implementing fairness checks in outputs.
May include
Evaluating harm mitigation controls using performance metrics.
For example, tracking false positives (overblocking safe content) and false negatives (missed harmful content), measuring coverage of flagged scenarios, and benchmarking against known harm datasets like ToxiGen.
Establishing review and appeal mechanisms.
For example, allowing flagged outputs to be escalated for manual review, recording override decisions with justification, incorporating feedback into harm detection refinement.",https://aiuc-1.com/safety/prevent-harmful-outputs
C007. Flag high risk recommendations | AIUC-1,Safety,Flag high risk recommendations,Implement an alerting system that flags high-risk recommendations for human review,Human Review; Escalation,Optional,Every 12 months,Preventative,MITRE ATLAS; NIST AI RMF,"Should include
Defining high-risk recommendation criteria drawing on risk taxonomy.
For example, financial advice exceeding company thresholds, medical or health-related guidance, legal recommendations, safety-critical instructions, and content that could cause reputational harm.
Implementing automated detection using keyword filtering, confidence scoring, or rule-based assessment with adjustable sensitivity settings.
Establishing human review workflows.
For example, designated reviewers from available staff, escalation procedures for complex cases, queue management for pending reviews with response time tracking against SLA, documentation of review decisions.",https://aiuc-1.com/safety/flag-high-risk-recommendations
C005. Prevent other high risk outputs | AIUC-1,Safety,Prevent other high risk outputs,Implement safeguards or technical controls to prevent additional high-risk outputs as defined in risk taxonomy,High-Risk Outputs; Risk Taxonomy; Technical Controls,Mandatory,Every 12 months,Preventative,NIST AI RMF; OWASP Top 10,"Should include
Implementing detection and blocking mechanisms aligned with organizational risk taxonomy.
For example, deploying filtering based on defined risk categories and severity thresholds.
Maintaining risk-based response controls.
For example, flagging and blocking mechanisms, logging for monitoring purposes.
May include
Establishing escalation procedures for flagged high-risk content.
For example, human review workflows, approval requirements for edge cases, planning reviewer capacity based on expected flagging volume and response time objectives.
Implementing automated real-time response mechanisms.
For example, triggering dynamic warnings, blocking or modifying model responses based on severity thresholds, routing flagged interactions for further processing or audit without user delay.",https://aiuc-1.com/safety/prevent-other-high-risk-outputs
C002. Conduct pre-deployment testing | AIUC-1,Safety,Conduct pre-deployment testing,"Conduct internal testing of AI systems prior to deployment across risk categories (including high-risk, harmful, hallucinated, and out-of-scope outputs and tool calls) for system changes requiring formal review or approval",Internal Testing; Pre-Deployment Testing,Mandatory,Every 12 months,Preventative,MITRE ATLAS; EU AI Act; ISO 42001; NIST AI RMF,"Should include
Conducting pre-deployment testing with documented results and identified issues.
For example, structured hallucination testing, adversarial prompting, safety unit tests, and scenario-based walkthroughs.
Completing risk assessments of identified issues before system deployment.
For example, potential impact analysis, mitigation strategies, and residual risk evaluation.
Obtaining approval sign-offs from designated accountable leads with documented rationale for approval decisions and maintained records for review purposes.
May include
Integrating AI system testing into established software development lifecycle (SDLC) gates.
For example, requiring risk evaluation and sign-off at staging or pre-production milestones, aligning with CI/CD or MLOps pipelines, and documenting test artifacts in shared repositories.
Implementing pre-deployment vulnerability scanning of AI artifacts and dependencies.
For example, scanning model files (e.g. pickle, ONNX) for malicious code or unsafe deserialization, checking runtime behavior for unbounded tool execution or insecure API access, validating ML libraries and infrastructure for known CVEs, and analyzing downstream outputs for unsafe content or behaviors.",https://aiuc-1.com/safety/conduct-pre-deployment-testing
C009. Collect real-time feedback | AIUC-1,Safety,Collect real-time feedback,Implement mechanisms to enable real-time user feedback collection and intervention mechanisms,Feedback; Intervention; User Control; Transparency,Optional,Every 3 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Establishing on-screen communication systems.
For example, implementing real-time display of system status, intervention notices, disclaimers, and risk alerts during interactions, ensuring messages are context-sensitive and clearly visible.
Enabling user intervention capabilities.
For example, providing mechanisms for users to pause, stop, or redirect system behavior, implementing feedback collection tools for users to report issues or concerns, ensuring technical controls persist across devices and interaction contexts.
Ensuring accessibility of feedback and intervention mechanisms.
For example, adhering to WCAG 2.1 standards for color contrast, screen reader compatibility, keyboard navigation, and clear messaging for users with disabilities.
Maintaining mechanism effectiveness through quarterly reviews.
For example, evaluating user feedback and intervention patterns, adapting communication methods based on user needs and emerging risk considerations.
May include
Analyzing collected feedback using structured methodologies.
For example, categorizing by risk domain, prioritizing based on frequency and severity,  routing high-impact or repeat issues into product backlog or compliance workflows.",https://aiuc-1.com/safety/collect-real-time-feedback
C012. 3rd-party testing for other risk | AIUC-1,Safety,3rd-party testing for other risk,Appoint expert third-parties to evaluate system robustness to additional high-risk outputs as defined in risk taxonomy at least every 3 months,High-Risk Outputs; Risk Taxonomy; Third-Party Testing,Mandatory,Every 3 months,Preventative,NIST AI RMF,"Should include
Appointing qualified third-party assessors.
For example, selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
Conducting regular testing.
For example, performing assessments of high-risk areas at least every quarter, defining testing scope and methodologies based on risk taxonomy.
Maintaining documentation.
For example, recording third-party qualifications, testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",https://aiuc-1.com/safety/3rd-party-testing-for-other-risk
C004. Prevent out-of-scope outputs | AIUC-1,Safety,Prevent out-of-scope outputs,"Implement safeguards or technical controls to prevent out-of-scope outputs (e.g. political discussion, healthcare advice)",Out-of-Scope; Political Discussion; Technical Controls,Mandatory,Every 12 months,Preventative,NIST AI RMF; OWASP Top 10,"Should include
Implementing topic boundary enforcement.
For example, detecting and redirecting conversations outside intended use cases as defined in AI acceptable use policy, blocking prohibited discussion areas such as political topics or out-of-scope advice.
Establishing scope violation response procedures.
For example, automated redirection messages, escalation for persistent attempts.
Maintaining scope monitoring and adjustment capabilities.
For example, tracking boundary violations, updating restrictions based on emerging issues.
May include
Implementing user education on system scope and limitations.
For example, displaying onboarding tooltips, publishing usage guidelines or FAQs, embedding in-context hints to clarify intended capabilities, highlighting unsupported domains to reduce misuse.",https://aiuc-1.com/safety/prevent-out-of-scope-outputs
D001. Prevent hallucinated outputs | AIUC-1,Reliability,Prevent hallucinated outputs,Implement safeguards or technical controls to prevent hallucinated outputs,Hallucinations; Technical Controls,Mandatory,Every 12 months,Preventative,NIST AI RMF; OWASP Top 10; EU AI Act,"Should include
Implementing factual accuracy controls.
For example, deploying available fact-checking mechanisms, flagging uncertain or low-confidence responses.
Establishing information source validation.
For example, requiring citations for factual claims, implementing source reliability checks.
Maintaining uncertainty communication.
For example, displaying confidence levels, providing appropriate disclaimers for generated information.",https://aiuc-1.com/reliability/prevent-hallucinated-outputs
D003. Restrict unsafe tool calls | AIUC-1,Reliability,Restrict unsafe tool calls,"Implement safeguards or technical controls to prevent tool calls in AI systems from executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope",Tool Calls; Tool Selection; Technical Controls,Mandatory,Every 12 months,Preventative,MITRE ATLAS; EU AI Act; NIST AI RMF; OWASP Top 10,"Should include
Implementing function call validation and authorization.
For example, restricting tool access to approved functions, validating parameters before execution.
Enforcing rate limits and transaction caps for autonomous tool use.
Establishing execution monitoring and logging.
For example, tracking all tool calls, monitoring for unauthorized access attempts or scope violations.
Maintaining decision boundary enforcement.
For example, limiting autonomous actions to defined parameters, requiring human approval for sensitive operations.
Reviewing patterns of AI tool usage for anomalies, updating tool permissions, and retiring unused or high-risk functions during scheduled evaluations.",https://aiuc-1.com/reliability/restrict-unsafe-tool-calls
D004. 3rd-party-testing of tool calls | AIUC-1,Reliability,3rd-party-testing of tool calls,"Appoint expert third-parties to evaluate tool calls in AI systems, including executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope at least every 3 months",Tool Calls; Tool Selection; Third-Party Testing,Mandatory,Every 3 months,Preventative,NIST AI RMF; OWASP Top 10,"Should include
Appointing qualified third-party assessors.
For example, selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
Conducting regular testing.
For example, performing assessments of tool calls at least every quarter, defining testing scope and methodologies based on risk classifications.
Maintaining documentation.
For example, recording third-party qualifications, testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",https://aiuc-1.com/reliability/3rd-party-testing-of-tool-calls
D002. 3rd-party testing for hallucinations | AIUC-1,Reliability,3rd-party testing for hallucinations,Appoint expert third-parties to evaluate hallucinated outputs at least every 3 months,Hallucinations; Third-Party Testing,Mandatory,Every 3 months,Preventative,NIST AI RMF; OWASP Top 10; EU AI Act,"Should include
Appointing qualified third-party assessors.
For example, selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
Conducting regular testing.
For example, performing assessments of hallucinated outputs at least every quarter, defining testing scope and methodologies based on risk classifications.
Maintaining documentation.
For example, recording third-party qualifications, testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",https://aiuc-1.com/reliability/3rd-party-testing-for-hallucinations
