"requirement_id","module","name","cia","applicable_threats"
"APP.4.6.A16","APP.4.6","No System-Dependent Execution of Functions","","G 0.14|G 0.16|G 0.19|G 0.22|G 0.45|G 0.46"
"APP.4.6.A17","APP.4.6","No Client-Dependent Execution of Functions","","G 0.14|G 0.16|G 0.19|G 0.22|G 0.45|G 0.46"
"APP.4.6.A18","APP.4.6","Avoiding Open SQL Injection Vulnerabilities","","G 0.14|G 0.16|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A19","APP.4.6","Protection Against Cross-Site Scripting","","G 0.14|G 0.16|G 0.19|G 0.22|G 0.28|G 0.39|G 0.45|G 0.46"
"APP.4.6.A20","APP.4.6","No Access to Data from Another Client","","G 0.16|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A21","APP.4.6","Ban on Hidden ABAP Source Code","","G 0.14|G 0.16|G 0.19|G 0.22|G 0.39|G 0.45|G 0.46"
"APP.4.6.A22","APP.4.6","Use of ABAP Code Analysis Tools","CIA","G 0.28"
"APP.5.2.A1","APP.5.2","Planning the Use of Exchange and Outlook","","G 0.18"
"APP.5.2.A2","APP.5.2","Selecting an Exchange Infrastructure","","G 0.18"
"APP.5.2.A3","APP.5.2","Access Management and Access Rights","","G 0.30"
"APP.5.2.A5","APP.5.2","Backing Up Exchange","","G 0.45"
"APP.5.2.A7","APP.5.2","Migration of Exchange Systems","","G 0.18|G 0.25|G 0.26"
"APP.5.2.A9","APP.5.2","Secure Configuration of Exchange Servers","","G 0.19|G 0.25|G 0.27|G 0.46"
"APP.5.2.A10","APP.5.2","Secure Configuration of Outlook","","G 0.30|G 0.31"
"APP.5.2.A11","APP.5.2","Protection of Communications Between Exchange Systems","","G 0.15|G 0.19|G 0.22|G 0.30"
"APP.5.2.A12","APP.5.2","Using Outlook Anywhere, MAPI over HTTP, and Outlook on the Web","","G 0.19|G 0.22|G 0.36"
"APP.5.2.A17","APP.5.2","Encryption of Exchange Database Files","C","G 0.19"
"APP.5.3.A1","APP.5.3","Secure Configuration of E-Mail Clients","","G 0.15|G 0.19|G 0.30|G 0.39"
"APP.5.3.A2","APP.5.3","Secure Operation of E-Mail Servers","","G 0.15|G 0.18|G 0.40"
"APP.5.3.A3","APP.5.3","Data Backup and Archiving of E-Mails","","G 0.45"
"APP.5.3.A4","APP.5.3","Spam and Virus Protection on E-Mail Servers","","G 0.18|G 0.29|G 0.39"
"APP.5.3.A5","APP.5.3","Establishing Deputising Rules for E-Mail Use","","G 0.19|G 0.29|G 0.33"
"APP.5.3.A6","APP.5.3","Defining a Security Policy for E-Mail","","G 0.18"
"APP.5.3.A7","APP.5.3","User Training on the Security Mechanisms of E-Mail Clients","","G 0.36|G 0.39|G 0.42"
"APP.5.3.A8","APP.5.3","Training Users to Deal with Spam","","G 0.19|G 0.39"
"APP.5.3.A9","APP.5.3","Extended Security Safeguards on E-Mail Servers","","G 0.36|G 0.42"
"APP.5.3.A10","APP.5.3","End-to-End Encryption","C","G 0.19"
"APP.5.3.A11","APP.5.3","Deployment of Redundant E-Mail Servers","A","G 0.25"
"APP.5.3.A12","APP.5.3","Monitoring Public Blacklists","A","G 0.25"
"APP.5.3.A13","APP.5.3","TLS Reporting","CIA","G 0.18"
"APP.6.A1","APP.6","Planning Software Use","","G 0.18"
"APP.6.A2","APP.6","Drawing Up a Requirements Catalogue for Software","","G 0.18|G 0.19|G 0.22|G 0.27|G 0.29|G 0.46"
"APP.6.A3","APP.6","Secure Procurement of Software","","G 0.20|G 0.39"
"APP.6.A4","APP.6","Regulation of Software Installation and Configuration","","G 0.18|G 0.28|G 0.31"
"APP.6.A5","APP.6","Secure Installation of Software","","G 0.31"
"APP.6.A6","APP.6","Consideration of Recommended Security Requirements","","G 0.18|G 0.19|G 0.46"
"APP.6.A7","APP.6","Selection and Assessment of Potential Software","","G 0.18"
"APP.6.A8","APP.6","Regulation of the Availability of Installation Files","","G 0.18|G 0.25|G 0.45"
"APP.6.A9","APP.6","Taking Inventory of Software","","G 0.18"
"APP.6.A10","APP.6","Establishing a Security Policy for Software Use","","G 0.18|G 0.31"
"APP.6.A11","APP.6","Using Plug-ins and Extensions","","G 0.18|G 0.28"
"APP.6.A12","APP.6","Orderly Decommissioning of Software","","G 0.18"
"APP.6.A13","APP.6","Uninstallation of Software","","G 0.18|G 0.28"
"APP.6.A14","APP.6","Using Certified Software","CIA","G 0.18|G 0.28"
"APP.7.A1","APP.7","Including Aspects of Individual Software in Software Deployment Planning","","G 0.18|G 0.27"
"APP.7.A2","APP.7","Defining Security Requirements for the Software Development Process","","G 0.18|G 0.19|G 0.22|G 0.29"
"APP.7.A3","APP.7","Specification of Security Functions for System Integration","","G 0.18|G 0.27"
"APP.7.A4","APP.7","Commissioning in Line with Requirements","","G 0.18"
"APP.7.A5","APP.7","Appropriate Control of Application Development","","G 0.18|G 0.27"
"APP.7.A6","APP.7","Documentation of Individual Software Requirements","","G 0.18"
"APP.7.A7","APP.7","Secure Acquisition of Individual Software","","G 0.18|G 0.19"
"APP.7.A8","APP.7","Early Involvement of the Process Owner in Development-Related Software Tests","","G 0.18|G 0.28"
"APP.7.A9","APP.7","Trusted Storage","A","G 0.45"
"APP.7.A10","APP.7","Commissioning Certified Software Development Companies","CIA","G 0.18"
"CON.1.A1","CON.1","Selecting Appropriate Cryptographic Methods","","G 0.18|G 0.29"
"CON.1.A2","CON.1","Backups When Using Cryptographic Methods","","G 0.18|G 0.19|G 0.45|G 0.46"
"CON.1.A3","CON.1","Encryption of Communication Links","","G 0.14|G 0.15|G 0.19|G 0.22"
"CON.1.A4","CON.1","Appropriate Key Management","","G 0.18|G 0.19|G 0.20|G 0.45"
"CON.1.A5","CON.1","Secure Deletion and Destruction of Cryptographic Keys","","G 0.19"
"CON.1.A6","CON.1","Identifying the Need for Cryptographic Methods and Products","","G 0.18|G 0.19|G 0.46"
"CON.1.A7","CON.1","Drawing Up a Security Policy for the Use of Cryptographic Methods and Products","CIA","G 0.18|G 0.19|G 0.27|G 0.30|G 0.31"
"CON.1.A8","CON.1","Determining the Factors That Influence Cryptographic Methods and Products","CIA","G 0.18|G 0.29"
"CON.1.A9","CON.1","Selecting an Appropriate Cryptographic Product","CIA","G 0.18|G 0.20|G 0.26|G 0.28|G 0.29|G 0.31"
"CON.1.A10","CON.1","Developing a Crypto Concept","CIA","G 0.18"
"CON.1.A11","CON.1","Secure Configuration of Crypto Modules","CIA","G 0.19|G 0.20|G 0.31"
"CON.1.A12","CON.1","Secure Separation of Roles When Using Crypto Modules","CIA","G 0.18|G 0.30|G 0.45"
"CON.1.A13","CON.1","Operating System Security Requirements When Using Crypto Modules","CIA","G 0.14|G 0.18|G 0.19|G 0.20|G 0.21|G 0.22|G 0.30|G 0.46"
"CON.1.A14","CON.1","Training of Users and Administrators","CIA","G 0.31"
"CON.1.A15","CON.1","Reacting to the Practical Weakening of a Crypto Method","CIA","G 0.18"
"CON.1.A16","CON.1","Physical Protection of Crypto Modules","CIA","G 0.21|G 0.22"
"CON.1.A17","CON.1","Emission Security","C","G 0.13"
"CON.1.A18","CON.1","Cryptographic Replacement Modules","A","G 0.25|G 0.27"
"CON.10.A1","CON.10","Authentication for Web Applications","","G 0.28"
"CON.10.A2","CON.10","Access Control for Web Applications","","G 0.28"
"CON.10.A3","CON.10","Secure Session Management","","G 0.28"
"CON.10.A4","CON.10","Controlled Integration of Content in Web Applications","","G 0.28"
"CON.10.A5","CON.10","Upload Functions","","G 0.28"
"CON.10.A6","CON.10","Protection Against Unauthorised Automated Use of Web Applications","","G 0.28"
"CON.10.A7","CON.10","Protection of Confidential Data","","G 0.28"
"CON.10.A8","CON.10","Comprehensive Input Validation and Output Encoding","","G 0.28"
"CON.10.A9","CON.10","Protection Against SQL Injections","","G 0.28"
"CON.10.A10","CON.10","Restrictive Disclosure of Security-Related Information","","G 0.18|G 0.28"
"CON.10.A11","CON.10","Software Architecture of a Web Application","","G 0.28"
"CON.10.A12","CON.10","Verification of Essential Changes","","G 0.28"
"CON.10.A13","CON.10","Error Handling","","G 0.28"
"CON.10.A14","CON.10","Secure HTTP Configuration of Web Applications","","G 0.28"
"CON.10.A15","CON.10","Prevention of Cross-Site Request Forgery","","G 0.28"
"CON.10.A16","CON.10","Multi-Factor Authentication","","G 0.28"
"CON.10.A17","CON.10","Preventing Resources from Being Blocked","CIA","G 0.28"
"CON.10.A18","CON.10","Cryptographic Protection of Confidential Data","CIA","G 0.28"
"CON.2.A1","CON.2","Implementing the German Standard Data Protection Model","","G 0.18"
"CON.3.A1","CON.3","Determining the Factors That Influence Backups","","G 0.18|G 0.29"
"CON.3.A2","CON.3","Establishment of Backup Procedures","","G 0.18|G 0.39"
"CON.3.A4","CON.3","Creating Backup Plans","","G 0.18"
"CON.3.A5","CON.3","Regular Backups","","G 0.18|G 0.19|G 0.45"
"CON.3.A6","CON.3","Developing a Backup Concept","","G 0.18"
"CON.3.A7","CON.3","Procuring a Suitable Backup System","","G 0.18"
"CON.3.A9","CON.3","Prerequisites of Online Backups","","G 0.18"
"CON.3.A12","CON.3","Secure Storage of Backup Media","","G 0.1|G 0.2|G 0.45|G 0.46"
"CON.3.A13","CON.3","Using Cryptographic Methods for Backups","CIA","G 0.18|G 0.19|G 0.22|G 0.46"
"CON.3.A14","CON.3","Protection of Backups","","G 0.16|G 0.19|G 0.22|G 0.45"
"CON.3.A15","CON.3","Regular Backup Testing","","G 0.18"
"CON.6.A1","CON.6","Regulations for Deleting or Destroying Information","","G 0.18|G 0.19|G 0.24"
"CON.6.A2","CON.6","Proper Deletion and Destruction of Sensitive Resources and Information","","G 0.16|G 0.19"
"CON.6.A4","CON.6","Selecting Suitable Methods for Deleting or Destroying Storage Media","","G 0.18|G 0.19|G 0.24"
"CON.6.A8","CON.6","Creating a Policy for Deleting and Destroying Information","","G 0.18|G 0.19"
"CON.6.A11","CON.6","Deletion and Destruction of Storage Media by External Service Providers","","G 0.18|G 0.19"
"CON.6.A12","CON.6","Minimum Requirements for Deletion and Destruction Procedures","","G 0.19"
"CON.6.A13","CON.6","Destruction of Defective Digital Storage Media","","G 0.19"
"CON.6.A14","CON.6","Destruction of Storage Media at Increased Security Levels","C","G 0.19"
"CON.7.A1","CON.7","Information Security Policy for Trips Abroad","","G 0.14|G 0.16|G 0.17|G 0.18|G 0.19|G 0.29|G 0.30|G 0.31"
"CON.7.A2","CON.7","Raising Employee Awareness of Information Security When Travelling Abroad","","G 0.14|G 0.18|G 0.20|G 0.29|G 0.31|G 0.42"
"CON.7.A3","CON.7","Identification of Country-Specific Regulations, Travel Conditions, and Environmental Conditions","","G 0.17|G 0.18|G 0.19|G 0.29|G 0.30|G 0.45|G 0.46"
"CON.7.A4","CON.7","Use of Privacy Screens","","G 0.16|G 0.19|G 0.30|G 0.39"
"CON.7.A5","CON.7","Use of Screen/Code Locking","","G 0.16|G 0.19|G 0.29|G 0.30|G 0.39"
"CON.7.A6","CON.7","Prompt Reporting of a Loss","","G 0.19|G 0.30"
"CON.7.A7","CON.7","Secure Remote Access to an Organisation's Network","","G 0.14|G 0.15|G 0.20|G 0.30"
"CON.7.A8","CON.7","Secure Use of Public WLANs","","G 0.15|G 0.18|G 0.19|G 0.20|G 0.29|G 0.31"
"CON.7.A9","CON.7","Secure Handling of Mobile Storage Media","","G 0.16|G 0.19|G 0.20"
"CON.7.A10","CON.7","Encryption of Portable IT Systems and Storage Media","","G 0.18|G 0.19|G 0.29|G 0.36|G 0.46"
"CON.7.A11","CON.7","Use of Anti-Theft Devices","","G 0.16|G 0.17|G 0.30|G 0.31|G 0.45"
"CON.7.A12","CON.7","Secure Destruction of Sensitive Materials and Documents","","G 0.16|G 0.18|G 0.19|G 0.29|G 0.31"
"CON.7.A13","CON.7","Transporting Necessary Data and Storage Media","","G 0.16|G 0.17|G 0.18|G 0.19|G 0.30|G 0.35|G 0.45|G 0.46"
"CON.7.A14","CON.7","Cryptographically Secured E-Mail Communication","","G 0.14|G 0.15|G 0.19|G 0.20|G 0.29|G 0.36|G 0.46"
"CON.7.A15","CON.7","Emission Security for Portable IT Systems","C","G 0.30|G 0.36"
"CON.7.A16","CON.7","Protecting Integrity Using Checksums or Digital Signatures","I","G 0.20|G 0.31|G 0.45|G 0.46"
"CON.7.A17","CON.7","Use of Dedicated Travel Hardware","CIA","G 0.14|G 0.18|G 0.30|G 0.35|G 0.45"
"CON.7.A18","CON.7","Restricted Authorisations on Trips Abroad","CI","G 0.18|G 0.31"
"CON.8.A1","CON.8","Definition of Roles and Responsibilities","","G 0.18|G 0.29|G 0.30|G 0.31|G 0.32"
"CON.8.A2","CON.8","Selection of a Process Model","","G 0.18|G 0.29"
"CON.8.A3","CON.8","Selection of a Development Environment","","G 0.18|G 0.20"
"CON.8.A5","CON.8","Secure System Design","","G 0.14|G 0.15|G 0.18|G 0.19|G 0.20|G 0.23|G 0.25|G 0.40|G 0.41|G 0.46"
"CON.8.A6","CON.8","Use of External Libraries from Trusted Sources","","G 0.14|G 0.15|G 0.20|G 0.22|G 0.30|G 0.40"
"CON.8.A7","CON.8","Conducting Software Tests During Development","","G 0.28|G 0.29"
"CON.8.A8","CON.8","Provision of Patches, Updates, and Changes","","G 0.19|G 0.28|G 0.29|G 0.32"
"CON.8.A10","CON.8","Source Code Version Management","","G 0.30|G 0.31"
"CON.8.A11","CON.8","Drawing Up a Policy for Software Development","","G 0.29|G 0.31|G 0.40|G 0.41|G 0.46"
"CON.8.A12","CON.8","Detailed Documentation","","G 0.29"
"CON.8.A14","CON.8","Training Development Teams on Information Security","","G 0.19|G 0.20|G 0.25|G 0.32"
"CON.8.A16","CON.8","Appropriate Control of Software Development","","G 0.15|G 0.18|G 0.20|G 0.23|G 0.25|G 0.31|G 0.32|G 0.39|G 0.40|G 0.41|G 0.46"
"CON.8.A17","CON.8","Selection of Trusted Development Tools","CI","G 0.15|G 0.19|G 0.20|G 0.25|G 0.46"
"CON.8.A18","CON.8","Periodic Security Audits of the Development Environment","CIA","G 0.19|G 0.22|G 0.28|G 0.29"
"CON.8.A19","CON.8","Regular Integrity Audits of the Development Environment","I","G 0.31"
"CON.8.A20","CON.8","Checking External Components","","G 0.19|G 0.28"
"CON.8.A21","CON.8","Threat Modelling","","G 0.18"
"CON.8.A22","CON.8","Secure Software Design","","G 0.18|G 0.28"
"CON.9.A1","CON.9","Definition of Authorised Recipients","","G 0.18|G 0.19|G 0.29"
"CON.9.A2","CON.9","Regulating the Exchange of Information","","G 0.19"
"CON.9.A3","CON.9","Instruction of Personnel on Exchanges of Information","","G 0.19|G 0.29"
"CON.9.A4","CON.9","Agreements on Exchanging Information with External Parties","","G 0.18|G 0.19"
"CON.9.A5","CON.9","Removal of Residual Information Prior to Sharing","","G 0.19"
"CON.9.A6","CON.9","Compatibility Checks on Sender and Recipient Systems","","G 0.25"
"CON.9.A7","CON.9","Backup Copies of Transferred Data","","G 0.45"
"CON.9.A8","CON.9","Encryption and Digital Signatures","","G 0.14|G 0.22"
"CON.9.A9","CON.9","Confidentiality Agreements","C","G 0.19"
"DER.1.A1","DER.1","Creation of a Security Policy for the Detection of Security-Relevant Events","","G 0.29"
"DER.1.A2","DER.1","Compliance with Legal Conditions When Analysing Log Data","","G 0.29|G 0.38"
"DER.1.A3","DER.1","Definition of Reporting Paths for Security-Relevant Events","","G 0.29|G 0.33"
"DER.1.A4","DER.1","Raising Employee Awareness","","G 0.29|G 0.31"
"DER.1.A5","DER.1","Use of Detection Features Included in Systems","","G 0.29|G 0.39"
"DER.1.A6","DER.1","Continuous Monitoring and Analysis of Log Data","","G 0.18|G 0.22|G 0.25|G 0.26|G 0.27|G 0.29"
"DER.1.A7","DER.1","Training of Responsible Persons","","G 0.27|G 0.30|G 0.31"
"DER.1.A9","DER.1","Use of Additional Detection Systems","","G 0.29|G 0.39"
"DER.1.A10","DER.1","Use of TLS/SSH Proxies","","G 0.23|G 0.29|G 0.30|G 0.39"
"DER.1.A11","DER.1","Use of a Central Logging Infrastructure to Evaluate Security-Relevant Events","","G 0.29|G 0.39"
"DER.1.A12","DER.1","Evaluation of Information from External Sources","","G 0.29"
"DER.1.A13","DER.1","Regular Audits of Detection Systems","","G 0.27|G 0.29|G 0.39"
"DER.1.A14","DER.1","Evaluation of Log Data by Specialised Personnel","CI","G 0.27|G 0.31|G 0.33"
"DER.1.A15","DER.1","Central Detection and Real-Time Examination of Event Messages","CIA","G 0.29|G 0.37|G 0.39|G 0.46"
"DER.1.A16","DER.1","Use of Detection Systems in Accordance with Protection Requirements","CIA","G 0.18|G 0.21|G 0.23|G 0.29|G 0.40|G 0.46"
"DER.1.A17","DER.1","Automatic Reaction to Security-Relevant Events","CI","G 0.29"
"DER.1.A18","DER.1","Performance of Regular Integrity Checks","CI","G 0.29|G 0.32|G 0.46"
"DER.2.1.A1","DER.2.1","Definition of a Security Incident","","G 0.18|G 0.19|G 0.20|G 0.29"
"DER.2.1.A2","DER.2.1","Drawing Up a Policy for Handling Security Incidents","","G 0.18|G 0.27|G 0.29"
"DER.2.1.A3","DER.2.1","Specification of Responsibilities and Contact Persons in the Event of Security Incidents","","G 0.18|G 0.27|G 0.29|G 0.33"
"DER.2.1.A4","DER.2.1","Notification of Entities Affected by Security Incidents","","G 0.19|G 0.20|G 0.29"
"DER.2.1.A5","DER.2.1","Remedial Action in Connection with Security incidents","","G 0.11|G 0.18|G 0.19|G 0.25|G 0.27|G 0.29"
"DER.2.1.A6","DER.2.1","Recovering the Operating Environment After Security Incidents","","G 0.11|G 0.18|G 0.19|G 0.25|G 0.29|G 0.30|G 0.32|G 0.45|G 0.46"
"DER.2.1.A7","DER.2.1","Establishment of a Procedure for Handling Security Incidents","","G 0.18|G 0.27|G 0.29"
"DER.2.1.A8","DER.2.1","Design of Organisational Structures for Handling Security Incidents","","G 0.18|G 0.27|G 0.29|G 0.33"
"DER.2.1.A9","DER.2.1","Definition of Reporting Paths for Security Incidents","","G 0.18|G 0.19|G 0.20|G 0.22|G 0.27|G 0.29|G 0.33"
"DER.2.1.A10","DER.2.1","Limiting the Effects of Security Incidents","","G 0.18|G 0.25|G 0.29|G 0.45|G 0.46"
"DER.2.1.A11","DER.2.1","Classification of Security Incidents","","G 0.18|G 0.19|G 0.29"
"DER.2.1.A12","DER.2.1","Specification of Where Security Incident Handling Overlaps with Fault Management","","G 0.18|G 0.19|G 0.27|G 0.46"
"DER.2.1.A13","DER.2.1","Integration into Security and Business Continuity Management","","G 0.18|G 0.46"
"DER.2.1.A14","DER.2.1","Escalation Strategy for Security Incidents","","G 0.18|G 0.19|G 0.20|G 0.22|G 0.29|G 0.46"
"DER.2.1.A15","DER.2.1","Training Service Desk Employees","","G 0.18|G 0.19|G 0.20|G 0.29"
"DER.2.1.A16","DER.2.1","Documentation for Remedying Security Incidents","","G 0.18|G 0.29"
"DER.2.1.A17","DER.2.1","Evaluation of Security Incidents","","G 0.18|G 0.19|G 0.20|G 0.22|G 0.29|G 0.45|G 0.46"
"DER.2.1.A18","DER.2.1","Further Development of Processes Based on Findings from Security Incidents and Industry Developments","","G 0.18|G 0.19|G 0.20|G 0.29|G 0.45|G 0.46"
"DER.2.1.A19","DER.2.1","Specifying Priorities for Handling Security Incidents","CIA","G 0.18|G 0.25|G 0.27|G 0.33|G 0.45|G 0.46"
"DER.2.1.A20","DER.2.1","Creation of a Dedicated Reporting Office for Security Incidents","CIA","G 0.18|G 0.19|G 0.20|G 0.22|G 0.27|G 0.29|G 0.32|G 0.45|G 0.46"
"DER.2.1.A21","DER.2.1","Assembling a Team of Experts for Handling Security Incidents","CIA","G 0.18|G 0.19|G 0.20|G 0.27|G 0.29|G 0.32|G 0.33|G 0.45|G 0.46"
"DER.2.1.A22","DER.2.1","Reviewing Management System Efficiency in Handling Security Incidents","CIA","G 0.11|G 0.18|G 0.19|G 0.20|G 0.22|G 0.25|G 0.27|G 0.29|G 0.33|G 0.45|G 0.46"
"DER.2.2.A1","DER.2.2","Examination of Legal and Regulatory Framework Conditions for Acquisition and Evaluation","","G 0.29|G 0.45"
"DER.2.2.A2","DER.2.2","Drawing Up a Guide for Initial Measures in Case of an IT Security Incident","","G 0.17|G 0.20|G 0.22|G 0.25|G 0.31|G 0.45|G 0.46"
"DER.2.2.A3","DER.2.2","Pre-Selection of Forensic Service Providers","","G 0.27|G 0.31|G 0.45"
"DER.2.2.A4","DER.2.2","Identifying Common Areas Between IT Forensics and Crisis / Business Continuity Management","","G 0.25|G 0.45|G 0.46"
"DER.2.2.A5","DER.2.2","Drawing Up a Guide to Securing Evidence in Case of IT Security Incidents","","G 0.17|G 0.20|G 0.22|G 0.25|G 0.31|G 0.45|G 0.46"
"DER.2.2.A6","DER.2.2","Training Personnel on Forensic Securing of Evidence","","G 0.20|G 0.31|G 0.45|G 0.46"
"DER.2.2.A7","DER.2.2","Selecting Tools for Forensics","","G 0.31|G 0.45|G 0.46"
"DER.2.2.A8","DER.2.2","Selection and Order of Evidence to Be Secured","","G 0.17|G 0.22|G 0.31|G 0.37|G 0.45|G 0.46"
"DER.2.2.A9","DER.2.2","Pre-Selection of Forensically Relevant Data","","G 0.17|G 0.22|G 0.31|G 0.37|G 0.45|G 0.46"
"DER.2.2.A10","DER.2.2","Forensic Securing of IT Evidence","","G 0.17|G 0.22|G 0.31|G 0.37|G 0.45|G 0.46"
"DER.2.2.A11","DER.2.2","Documentation of Securing Evidence","","G 0.17|G 0.22|G 0.25|G 0.31|G 0.37|G 0.45|G 0.46"
"DER.2.2.A12","DER.2.2","Secure Storage of Original Storage Media and Evidence","","G 0.17|G 0.22|G 0.37|G 0.45|G 0.46"
"DER.2.2.A13","DER.2.2","Framework Agreements with External Service Providers","CIA","G 0.27|G 0.31|G 0.45"
"DER.2.2.A14","DER.2.2","Specifying Standard Procedures for Securing Evidence","CIA","G 0.17|G 0.22|G 0.25|G 0.31|G 0.37|G 0.45|G 0.46"
"DER.2.2.A15","DER.2.2","Conducting Drills on Securing Evidence","CIA","G 0.17|G 0.22|G 0.25|G 0.31|G 0.37|G 0.45|G 0.46"
"DER.2.3.A1","DER.2.3","Creation of a Management Committee","","G 0.14|G 0.18|G 0.40|G 0.41|G 0.42|G 0.45|G 0.46"
"DER.2.3.A2","DER.2.3","Deciding on a Cleaning Strategy","","G 0.14|G 0.15|G 0.16|G 0.18|G 0.21|G 0.22|G 0.23|G 0.24|G 0.32|G 0.39|G 0.41|G 0.43|G 0.45|G 0.46"
"DER.2.3.A3","DER.2.3","Isolation of Affected Network Segments","","G 0.14|G 0.18|G 0.22|G 0.23|G 0.32|G 0.45|G 0.46"
"DER.2.3.A4","DER.2.3","Blocking and Changing Access Data and Cryptographic Keys","","G 0.14|G 0.15|G 0.16|G 0.18|G 0.21|G 0.22|G 0.23|G 0.24|G 0.32|G 0.39|G 0.40|G 0.41|G 0.43|G 0.45|G 0.46"
"DER.2.3.A5","DER.2.3","Closing the Initial Entry Route","","G 0.14|G 0.15|G 0.18|G 0.23|G 0.28|G 0.32|G 0.41|G 0.42"
"DER.2.3.A6","DER.2.3","Returning to Production Operations","","G 0.18|G 0.19|G 0.28|G 0.29|G 0.31"
"DER.2.3.A7","DER.2.3","Targeted System Hardening","","G 0.14|G 0.15|G 0.16|G 0.18|G 0.20|G 0.21|G 0.22|G 0.23|G 0.24|G 0.28|G 0.32|G 0.39|G 0.40|G 0.41|G 0.43|G 0.45|G 0.46"
"DER.2.3.A8","DER.2.3","Establishing Secure, Independent Communication Channels","","G 0.14|G 0.15|G 0.16|G 0.18|G 0.22|G 0.43|G 0.45|G 0.46"
"DER.2.3.A9","DER.2.3","Hardware Replacement in Affected IT Systems","CIA","G 0.14|G 0.15|G 0.16|G 0.18|G 0.21|G 0.22|G 0.23|G 0.39|G 0.41|G 0.43|G 0.46"
"DER.2.3.A10","DER.2.3","Modifications to Help Thwart a Repeat Attack","CI","G 0.14|G 0.15|G 0.16|G 0.18|G 0.21|G 0.22|G 0.23|G 0.24|G 0.28|G 0.32|G 0.39|G 0.41|G 0.43|G 0.46"
"DER.3.1.A1","DER.3.1","Definition of Responsibilities","","G 0.18|G 0.27|G 0.46"
"DER.3.1.A2","DER.3.1","Preparing an Audit or Revision","","G 0.18|G 0.29"
"DER.3.1.A3","DER.3.1","Conducting an Audit","","G 0.18"
"DER.3.1.A4","DER.3.1","Performing a Revision","","G 0.18"
"DER.3.1.A5","DER.3.1","Integration into the Information Security Process","","G 0.18|G 0.19|G 0.46"
"DER.3.1.A6","DER.3.1","Definition of an Audit and Revision Basis and a Uniform Evaluation Scheme","","G 0.18"
"DER.3.1.A7","DER.3.1","Drawing Up an Audit Program","","G 0.18|G 0.29|G 0.46"
"DER.3.1.A8","DER.3.1","Creation of a Revision List","","G 0.18|G 0.29|G 0.46"
"DER.3.1.A9","DER.3.1","Selection of an Appropriate Audit Team or Revision Team","","G 0.18|G 0.27|G 0.46"
"DER.3.1.A10","DER.3.1","Creation of a Audit Plan or Revision Plan","","G 0.18"
"DER.3.1.A11","DER.3.1","Communication and Behaviour During Audits","","G 0.18|G 0.19"
"DER.3.1.A12","DER.3.1","Holding an Initial Meeting","","G 0.18|G 0.19"
"DER.3.1.A13","DER.3.1","Inspection and Review of Documents","","G 0.18"
"DER.3.1.A14","DER.3.1","Selection of Samples","","G 0.18|G 0.29"
"DER.3.1.A15","DER.3.1","Selection of Appropriate Audit Techniques","","G 0.18"
"DER.3.1.A16","DER.3.1","Schedule of the On-Site Audit","","G 0.18"
"DER.3.1.A17","DER.3.1","Performance of the On-Site Audit","","G 0.18|G 0.19"
"DER.3.1.A18","DER.3.1","Conducting Interviews","","G 0.18|G 0.19"
"DER.3.1.A19","DER.3.1","Revision of the Risk Treatment Plan","","G 0.18|G 0.29"
"DER.3.1.A20","DER.3.1","Holding a Closing Meeting","","G 0.18"
"DER.3.1.A21","DER.3.1","Analysis of Audits","","G 0.18"
"DER.3.1.A22","DER.3.1","Creation of an Audit Report","","G 0.18|G 0.29|G 0.46"
"DER.3.1.A23","DER.3.1","Documentation of Revision Results","","G 0.18|G 0.29|G 0.46"
"DER.3.1.A24","DER.3.1","Conclusion of the Audit or Revision","","G 0.18|G 0.19|G 0.29|G 0.46"
"DER.3.1.A25","DER.3.1","Evaluation of an Audit","","G 0.18|G 0.29"
"DER.3.1.A26","DER.3.1","Monitoring and Adapting the Audit Program","","G 0.18|G 0.27|G 0.29|G 0.46"
"DER.3.1.A27","DER.3.1","Storage and Archiving of Documents on Audits and Revisions","","G 0.18|G 0.46"
"DER.3.2.A1","DER.3.2","Designation of Persons in Charge of the IS Audit","","G 0.18|G 0.27"
"DER.3.2.A2","DER.3.2","Creation of an IS Audit Manual","","G 0.18"
"DER.3.2.A3","DER.3.2","Definition of the Audit Basis","","G 0.18"
"DER.3.2.A4","DER.3.2","Drawing Up a Plan for the IS Audit","","G 0.18|G 0.29"
"DER.3.2.A5","DER.3.2","Selection of an Appropriate IS Audit Team","","G 0.18|G 0.27"
"DER.3.2.A6","DER.3.2","Preparation of an IS Audit","","G 0.18"
"DER.3.2.A7","DER.3.2","Performance of an IS Audit","","G 0.18"
"DER.3.2.A8","DER.3.2","Storage of IS Audit Reports","","G 0.18|G 0.29|G 0.46"
"DER.3.2.A9","DER.3.2","Integration into the Information Security Process","","G 0.18"
"DER.3.2.A10","DER.3.2","Communication Coordination","","G 0.18|G 0.19|G 0.46"
"DER.3.2.A11","DER.3.2","Holding an Initial Meeting for an IS Cross-Cutting Audit","","G 0.18"
"DER.3.2.A12","DER.3.2","Creation of a Gap Analysis Plan","","G 0.18"
"DER.3.2.A13","DER.3.2","Inspection and Review of Documents","","G 0.18"
"DER.3.2.A14","DER.3.2","Selection of Target Objects and Requirements to Be Audited","","G 0.18|G 0.29"
