SORT-AS,Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,Security Control Baseline - Low,Security Control Baseline - Moderate,Security Control Baseline - High
CP-02-08,CP-2(8),Contingency Plan | Identify Critical Assets,,,,x,x
CP-03-00,CP-3,Contingency Training,,,x,x,x
CP-03-01,CP-3(1),Contingency Training | Simulated Events,,,,,x
CP-03-02,CP-3(2),Contingency Training | Mechanisms Used in Training Environments,,,,,
CP-04-00,CP-4,Contingency Plan Testing,,,x,x,x
CP-04-01,CP-4(1),Contingency Plan Testing | Coordinate with Related Plans,,,,x,x
CP-04-02,CP-4(2),Contingency Plan Testing | Alternate Processing Site,,,,,x
CP-04-03,CP-4(3),Contingency Plan Testing | Automated Testing,,,,,
CP-04-04,CP-4(4),Contingency Plan Testing | Full Recovery and Reconstitution,,,,,
CP-04-05,CP-4(5),Contingency Plan Testing | Self-challenge,,,,,
CP-05-00,CP-5,Contingency Plan Update,W: Incorporated into CP-2.,,,,
CP-06-00,CP-6,Alternate Storage Site,,,,x,x
CP-06-01,CP-6(1),Alternate Storage Site | Separation from Primary Site,,,,x,x
CP-06-02,CP-6(2),Alternate Storage Site | Recovery Time and Recovery Point Objectives,,,,,x
CP-06-03,CP-6(3),Alternate Storage Site | Accessibility,,,,x,x
CP-07-00,CP-7,Alternate Processing Site,,,,x,x
CP-07-01,CP-7(1),Alternate Processing Site | Separation from Primary Site,,,,x,x
CP-07-02,CP-7(2),Alternate Processing Site | Accessibility,,,,x,x
CP-07-03,CP-7(3),Alternate Processing Site | Priority of Service,,,,x,x
CP-07-04,CP-7(4),Alternate Processing Site | Preparation for Use,,,,,x
CP-07-05,CP-7(5),Alternate Processing Site | Equivalent Information Security Safeguards,W: Incorporated into CP-7.,,,,
CP-07-06,CP-7(6),Alternate Processing Site | Inability to Return to Primary Site,,,,,
CP-08-00,CP-8,Telecommunications Services,,,,x,x
CP-08-01,CP-8(1),Telecommunications Services | Priority of Service Provisions,,,,x,x
CP-08-02,CP-8(2),Telecommunications Services | Single Points of Failure,,,,x,x
CP-08-03,CP-8(3),Telecommunications Services | Separation of Primary and Alternate Providers,,,,,x
CP-08-04,CP-8(4),Telecommunications Services | Provider Contingency Plan,,,,,x
CP-08-05,CP-8(5),Telecommunications Services | Alternate Telecommunication Service Testing,,,,,
CP-09-00,CP-9,System Backup,,,x,x,x
CP-09-01,CP-9(1),System Backup | Testing for Reliability and Integrity,,,,x,x
CP-09-02,CP-9(2),System Backup | Test Restoration Using Sampling,,,,,x
CP-09-03,CP-9(3),System Backup | Separate Storage for Critical Information,,,,,x
CP-09-04,CP-9(4),System Backup | Protection from Unauthorized Modification,W: Incorporated into CP-9.,,,,
CP-09-05,CP-9(5),System Backup | Transfer to Alternate Storage Site,,,,,x
CP-09-06,CP-9(6),System Backup | Redundant Secondary System,,,,,
CP-09-07,CP-9(7),System Backup | Dual Authorization,,,,,
CP-09-08,CP-9(8),System Backup | Cryptographic Protection,,,,x,x
CP-10-00,CP-10,System Recovery and Reconstitution,,,x,x,x
CP-10-01,CP-10(1),System Recovery and Reconstitution | Contingency Plan Testing,W: Incorporated into CP-4.,,,,
CP-10-02,CP-10(2),System Recovery and Reconstitution | Transaction Recovery,,,,x,x
CP-10-03,CP-10(3),System Recovery and Reconstitution | Compensating Security Controls,W: Addressed through tailoring.,,,,
CP-10-04,CP-10(4),System Recovery and Reconstitution | Restore Within Time Period,,,,,x
CP-10-05,CP-10(5),System Recovery and Reconstitution | Failover Capability,W: Incorporated into SI-13.,,,,
CP-10-06,CP-10(6),System Recovery and Reconstitution | Component Protection,,,,,
CP-11-00,CP-11,Alternate Communications Protocols,,,,,
CP-12-00,CP-12,Safe Mode,,,,,
CP-13-00,CP-13,Alternative Security Mechanisms,,,,,
IA-01-00,IA-1,Policy and Procedures,,,x,x,x
IA-02-00,IA-2,Identification and Authentication (organizational Users),,,x,x,x
IA-02-01,IA-2(1),Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,,,x,x,x
IA-02-02,IA-2(2),Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,,,x,x,x
IA-02-03,IA-2(3),Identification and Authentication (organizational Users) | Local Access to Privileged Accounts,W: Incorporated into IA-2(1)(2).,,,,
IA-02-04,IA-2(4),Identification and Authentication (organizational Users) | Local Access to Non-privileged Accounts,W: Incorporated into IA-2(1)(2).,,,,
IA-02-05,IA-2(5),Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication,,,,,x
IA-02-06,IA-2(6),Identification and Authentication (organizational Users) | Access to Accounts — Separate Device,,,,,
IA-02-07,IA-2(7),Identification and Authentication (organizational Users) | Access to Non-privileged Accounts — Separate Device,W: Incorporated into IA-2(6).,,,,
IA-02-08,IA-2(8),Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant,,,x,x,x
IA-02-09,IA-2(9),Identification and Authentication (organizational Users) | Network Access to Non-privileged Accounts — Replay Resistant,W: Incorporated into IA-2(8).,,,,
IA-02-10,IA-2(10),Identification and Authentication (organizational Users) | Single Sign-on,,,,,
IA-02-11,IA-2(11),Identification and Authentication (organizational Users) | Remote Access — Separate Device,W: Incorporated into IA-2(6).,,,,
IA-02-12,IA-2(12),Identification and Authentication (organizational Users) | Acceptance of PIV Credentials,,,x,x,x
IA-02-13,IA-2(13),Identification and Authentication (organizational Users) | Out-of-band Authentication,,,,,
IA-03-00,IA-3,Device Identification and Authentication,,,,x,x
IA-03-01,IA-3(1),Device Identification and Authentication | Cryptographic Bidirectional Authentication,,,,,
IA-03-02,IA-3(2),Device Identification and Authentication | Cryptographic Bidirectional Network Authentication,W: Incorporated into IA-3(1).,,,,
IA-03-03,IA-3(3),Device Identification and Authentication | Dynamic Address Allocation,,,,,
IA-03-04,IA-3(4),Device Identification and Authentication | Device Attestation,,,,,
IA-04-00,IA-4,Identifier Management,,,x,x,x
IA-04-01,IA-4(1),Identifier Management | Prohibit Account Identifiers as Public Identifiers,,,,,
IA-04-02,IA-4(2),Identifier Management | Supervisor Authorization,W: Incorporated into IA-12(1).,,,,
IA-04-03,IA-4(3),Identifier Management | Multiple Forms of Certification,W: Incorporated into IA-12(2),,,,
IA-04-04,IA-4(4),Identifier Management | Identify User Status,,,,x,x
IA-04-05,IA-4(5),Identifier Management | Dynamic Management,,,,,
IA-04-06,IA-4(6),Identifier Management | Cross-organization Management,,,,,
IA-04-07,IA-4(7),Identifier Management | In-person Registration,W: Incorporated into IA-12(4),,,,
IA-04-08,IA-4(8),Identifier Management | Pairwise Pseudonymous Identifiers,,,,,
IA-04-09,IA-4(9),Identifier Management | Attribute Maintenance and Protection,,,,,
IA-05-00,IA-5,Authenticator Management,,,x,x,x
IA-05-01,IA-5(1),Authenticator Management | Password-based Authentication,,,x,x,x
IA-05-02,IA-5(2),Authenticator Management | Public Key-based Authentication,,,,x,x
IA-05-03,IA-5(3),Authenticator Management | In-person or Trusted External Party Registration,W: Incorporated into IA-12(4),,,,
IA-05-04,IA-5(4),Authenticator Management | Automated Support for Password Strength Determination,W: Incorporated into IA-5(1).,,,,
IA-05-05,IA-5(5),Authenticator Management | Change Authenticators Prior to Delivery,,,,,
IA-05-06,IA-5(6),Authenticator Management | Protection of Authenticators,,,,x,x
IA-05-07,IA-5(7),Authenticator Management | No Embedded Unencrypted Static Authenticators,,,,,
IA-05-08,IA-5(8),Authenticator Management | Multiple System Accounts,,,,,
IA-05-09,IA-5(9),Authenticator Management | Federated Credential Management,,,,,
IA-05-10,IA-5(10),Authenticator Management | Dynamic Credential Binding,,,,,
IA-05-11,IA-5(11),Authenticator Management | Hardware Token-based Authentication,W: Incorporated into IA-2(1) and IA-2(2).,,,,
IA-05-12,IA-5(12),Authenticator Management | Biometric Authentication Performance,,,,,
IA-05-13,IA-5(13),Authenticator Management | Expiration of Cached Authenticators,,,,,
IA-05-14,IA-5(14),Authenticator Management | Managing Content of PKI Trust Stores,,,,,
IA-05-15,IA-5(15),Authenticator Management | GSA-approved Products and Services,,,,,
IA-05-16,IA-5(16),Authenticator Management | In-person or Trusted External Party Authenticator Issuance,,,,,
IA-05-17,IA-5(17),Authenticator Management | Presentation Attack Detection for Biometric Authenticators,,,,,
IA-05-18,IA-5(18),Authenticator Management | Password Managers,,,,,
IA-06-00,IA-6,Authentication Feedback,,,x,x,x
IA-07-00,IA-7,Cryptographic Module Authentication,,,x,x,x
IA-08-00,IA-8,Identification and Authentication (non-organizational Users),,,x,x,x
IA-08-01,IA-8(1),Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies,,,x,x,x
IA-08-02,IA-8(2),Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators,,,x,x,x
IA-08-03,IA-8(3),Identification and Authentication (non-organizational Users) | Use of FICAM-approved Products,W: Incorporated into IA-8(2).,,,,
IA-08-04,IA-8(4),Identification and Authentication (non-organizational Users) | Use of Defined Profiles,,,x,x,x
IA-08-05,IA-8(5),Identification and Authentication (non-organizational Users) | Acceptance of PIV-I Credentials,,,,,
IA-08-06,IA-8(6),Identification and Authentication (non-organizational Users) | Disassociability,,,,,
IA-09-00,IA-9,Service Identification and Authentication,,,,,
IA-09-01,IA-9(1),Service Identification and Authentication | Information Exchange,W: Incorporated into IA-9.,,,,
IA-09-02,IA-9(2),Service Identification and Authentication | Transmission of Decisions,W: Incorporated into IA-9.,,,,
IA-10-00,IA-10,Adaptive Authentication,,,,,
IA-11-00,IA-11,Re-authentication,,,x,x,x
IA-12-00,IA-12,Identity Proofing,,,,x,x
IA-12-01,IA-12(1),Identity Proofing | Supervisor Authorization,,,,,
IA-12-02,IA-12(2),Identity Proofing | Identity Evidence,,,,x,x
IA-12-03,IA-12(3),Identity Proofing | Identity Evidence Validation and Verification,,,,x,x
IA-12-04,IA-12(4),Identity Proofing | In-person Validation and Verification,,,,,x
IA-12-05,IA-12(5),Identity Proofing | Address Confirmation,,,,x,x
IA-12-06,IA-12(6),Identity Proofing | Accept Externally-proofed Identities,,,,,
IR-01-00,IR-1,Policy and Procedures,,x ,x,x,x
IR-02-00,IR-2,Incident Response Training,,x,x,x,x
IR-02-01,IR-2(1),Incident Response Training | Simulated Events,,,,,x
IR-02-02,IR-2(2),Incident Response Training | Automated Training Environments,,,,,x
IR-02-03,IR-2(3),Incident Response Training | Breach,,x,,,
IR-03-00,IR-3,Incident Response Testing,,x ,,x,x
IR-03-01,IR-3(1),Incident Response Testing | Automated Testing,,,,,
IR-03-02,IR-3(2),Incident Response Testing | Coordination with Related Plans,,,,x,x
IR-03-03,IR-3(3),Incident Response Testing | Continuous Improvement,,,,,
IR-04-00,IR-4,Incident Handling,,x,x,x,x
IR-04-01,IR-4(1),Incident Handling | Automated Incident Handling Processes,,,,x,x
IR-04-02,IR-4(2),Incident Handling | Dynamic Reconfiguration,,,,,
IR-04-03,IR-4(3),Incident Handling | Continuity of Operations,,,,,
IR-04-04,IR-4(4),Incident Handling | Information Correlation,,,,,x
IR-04-05,IR-4(5),Incident Handling | Automatic Disabling of System,,,,,
IR-04-06,IR-4(6),Incident Handling | Insider Threats,,,,,
IR-04-07,IR-4(7),Incident Handling | Insider Threats — Intra-organization Coordination,,,,,
IR-04-08,IR-4(8),Incident Handling | Correlation with External Organizations,,,,,
IR-04-09,IR-4(9),Incident Handling | Dynamic Response Capability,,,,,
IR-04-10,IR-4(10),Incident Handling | Supply Chain Coordination,,,,,
IR-04-11,IR-4(11),Incident Handling | Integrated Incident Response Team,,,,,x
IR-04-12,IR-4(12),Incident Handling | Malicious Code and Forensic Analysis,,,,,
IR-04-13,IR-4(13),Incident Handling | Behavior Analysis,,,,,
IR-04-14,IR-4(14),Incident Handling | Security Operations Center,,,,,
IR-04-15,IR-4(15),Incident Handling | Public Relations and Reputation Repair,,,,,
IR-05-00,IR-5,Incident Monitoring,,x,x,x,x
IR-05-01,IR-5(1),"Incident Monitoring | Automated Tracking, Data Collection, and Analysis",,,,,x
IR-06-00,IR-6,Incident Reporting,,x,x,x,x
IR-06-01,IR-6(1),Incident Reporting | Automated Reporting,,,,x,x
IR-06-02,IR-6(2),Incident Reporting | Vulnerabilities Related to Incidents,,,,,
IR-06-03,IR-6(3),Incident Reporting | Supply Chain Coordination,,,,x,x
IR-07-00,IR-7,Incident Response Assistance,,x ,x,x,x
IR-07-01,IR-7(1),Incident Response Assistance | Automation Support for Availability of Information and Support,,,,x,x
IR-07-02,IR-7(2),Incident Response Assistance | Coordination with External Providers,,,,,
IR-08-00,IR-8,Incident Response Plan,,x ,x,x,x
IR-08-01,IR-8(1),Incident Response Plan | Breaches,,x  ,,,
IR-09-00,IR-9,Information Spillage Response,,,,,
IR-09-01,IR-9(1),Information Spillage Response | Responsible Personnel,W: Incorporated into IR-9,,,,
IR-09-02,IR-9(2),Information Spillage Response | Training,,,,,
IR-09-03,IR-9(3),Information Spillage Response | Post-spill Operations,,,,,
IR-09-04,IR-9(4),Information Spillage Response | Exposure to Unauthorized Personnel,,,,,
IR-10-00,IR-10,Incident Analysis,W: Moved to IR-4(11).,,,,
MA-01-00,MA-1,Policy and Procedures,,,x,x,x
MA-02-00,MA-2,Controlled Maintenance,,,x,x,x
MA-02-01,MA-2(1),Controlled Maintenance | Record Content,W: Incorporated into MA-2.,,,,
MA-02-02,MA-2(2),Controlled Maintenance | Automated Maintenance Activities,,,,,x
MA-03-00,MA-3,Maintenance Tools,,,,x,x
MA-03-01,MA-3(1),Maintenance Tools | Inspect Tools,,,,x,x
MA-03-02,MA-3(2),Maintenance Tools | Inspect Media,,,,x,x
MA-03-03,MA-3(3),Maintenance Tools | Prevent Unauthorized Removal,,,,x,x
MA-03-04,MA-3(4),Maintenance Tools | Restricted Tool Use,,,,,
MA-03-05,MA-3(5),Maintenance Tools | Execution with Privilege,,,,,
MA-03-06,MA-3(6),Maintenance Tools | Software Updates and Patches,,,,,
MA-04-00,MA-4,Nonlocal Maintenance,,,x,x,x
MA-04-01,MA-4(1),Nonlocal Maintenance | Logging and Review,,,,,
MA-04-02,MA-4(2),Nonlocal Maintenance | Logically separated communications paths.,W: Incorporated into MA-1 and MA-4.,,,,
MA-04-03,MA-4(3),Nonlocal Maintenance | Comparable Security and Sanitization,,,,,x
MA-04-04,MA-4(4),Nonlocal Maintenance | Authentication and Separation of Maintenance Sessions,,,,,
MA-04-05,MA-4(5),Nonlocal Maintenance | Approvals and Notifications,,,,,
MA-04-06,MA-4(6),Nonlocal Maintenance | Cryptographic Protection,,,,,
MA-04-07,MA-4(7),Nonlocal Maintenance | Disconnect Verification,,,,,
MA-05-00,MA-5,Maintenance Personnel,,,x,x,x
MA-05-01,MA-5(1),Maintenance Personnel | Individuals Without Appropriate Access,,,,,x
MA-05-02,MA-5(2),Maintenance Personnel | Security Clearances for Classified Systems,,,,,
MA-05-03,MA-5(3),Maintenance Personnel | Citizenship Requirements for Classified Systems,,,,,
MA-05-04,MA-5(4),Maintenance Personnel | Foreign Nationals,,,,,
MA-05-05,MA-5(5),Maintenance Personnel | Non-system Maintenance,,,,,
MA-06-00,MA-6,Timely Maintenance,,,,x,x
MA-06-01,MA-6(1),Timely Maintenance | Preventive Maintenance,,,,,
MA-06-02,MA-6(2),Timely Maintenance | Predictive Maintenance,,,,,
MA-06-03,MA-6(3),Timely Maintenance | Automated Support for Predictive Maintenance,,,,,
MA-07-00,MA-7,Field Maintenance,,,,,
MP-01-00,MP-1,Policy and Procedures,,x ,x,x,x
MP-02-00,MP-2,Media Access,,,x,x,x
MP-02-01,MP-2(1),Media Access | Automated Restricted Access,W: Incorporated into MP-4(2),,,,
MP-02-02,MP-2(2),Media Access | Cryptographic Protection,W: Incorporated into SC-28(1).,,,,
MP-03-00,MP-3,Media Marking,,,,x,x
MP-04-00,MP-4,Media Storage,,,,x,x
MP-04-01,MP-4(1),Media Storage | Cryptographic Protection,W: Incorporated into SC-28(1).,,,,
MP-04-02,MP-4(2),Media Storage | Automated Restricted Access,,,,,
MP-05-00,MP-5,Media Transport,,,,x,x
MP-05-01,MP-5(1),Media Transport | Protection Outside of Controlled Areas,W: Incorporated into MP-5.,,,,
MP-05-02,MP-5(2),Media Transport | Documentation of Activities,W: Incorporated into MP-5.,,,,
MP-05-03,MP-5(3),Media Transport | Custodians,,,,,
MP-05-04,MP-5(4),Media Transport | Cryptographic Protection,W: Incorporated into SC-28(1).,,,,
MP-06-00,MP-6,Media Sanitization,,x ,x,x,x
MP-06-01,MP-6(1),"Media Sanitization | Review, Approve, Track, Document, and Verify",,,,,x
MP-06-02,MP-6(2),Media Sanitization | Equipment Testing,,,,,x
MP-06-03,MP-6(3),Media Sanitization | Nondestructive Techniques,,,,,x
MP-06-04,MP-6(4),Media Sanitization | Controlled Unclassified Information,W: Incorporated into MP-6.,,,,
MP-06-05,MP-6(5),Media Sanitization | Classified Information,W: Incorporated into MP-6.,,,,
MP-06-06,MP-6(6),Media Sanitization | Media Destruction,W: Incorporated into MP-6.,,,,
MP-06-07,MP-6(7),Media Sanitization | Dual Authorization,,,,,
MP-06-08,MP-6(8),Media Sanitization | Remote Purging or Wiping of Information,,,,,
MP-07-00,MP-7,Media Use,,,x,x,x
MP-07-01,MP-7(1),Media Use | Prohibit Use Without Owner,W: Incorporated into MP-7.,,,,
MP-07-02,MP-7(2),Media Use | Prohibit Use of Sanitization-resistant Media,,,,,
MP-08-00,MP-8,Media Downgrading,,,,,
MP-08-01,MP-8(1),Media Downgrading | Documentation of Process,,,,,
MP-08-02,MP-8(2),Media Downgrading | Equipment Testing,,,,,
MP-08-03,MP-8(3),Media Downgrading | Controlled Unclassified Information,,,,,
MP-08-04,MP-8(4),Media Downgrading | Classified Information,,,,,
PE-01-00,PE-1,Policy and Procedures,,,x,x,x
PE-02-00,PE-2,Physical Access Authorizations,,,x,x,x
PE-02-01,PE-2(1),Physical Access Authorizations | Access by Position or Role,,,,,
PE-02-02,PE-2(2),Physical Access Authorizations | Two Forms of Identification,,,,,
PE-02-03,PE-2(3),Physical Access Authorizations | Restrict Unescorted Access,,,,,
PE-03-00,PE-3,Physical Access Control,,,x,x,x
PE-03-01,PE-3(1),Physical Access Control | System Access,,,,,x
PE-03-02,PE-3(2),Physical Access Control | Facility and Systems,,,,,
PE-03-03,PE-3(3),Physical Access Control | Continuous Guards,,,,,
PE-03-04,PE-3(4),Physical Access Control | Lockable Casings,,,,,
PE-03-05,PE-3(5),Physical Access Control | Tamper Protection,,,,,
PE-03-06,PE-3(6),Physical Access Control | Facility Penetration Testing,W: Incorporated into CA-8.,,,,
PE-03-07,PE-3(7),Physical Access Control | Physical Barriers,,,,,
PE-03-08,PE-3(8),Physical Access Control | Access Control Vestibules,,,,,
PE-04-00,PE-4,Access Control for Transmission,,,,x,x
PE-05-00,PE-5,Access Control for Output Devices,,,,x,x
PE-05-01,PE-5(1),Access Control for Output Devices | Access to Output by Authorized Individuals,W: Incorporated into PE-5.,,,,
PE-05-02,PE-5(2),Access Control for Output Devices | Link to Individual Identity,,,,,
PE-05-03,PE-5(3),Access Control for Output Devices | Marking Output Devices,W: Incorporated into PE-22.,,,,
PE-06-00,PE-6,Monitoring Physical Access,,,x,x,x
PE-06-01,PE-6(1),Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,,,,x,x
PE-06-02,PE-6(2),Monitoring Physical Access | Automated Intrusion Recognition and Responses,,,,,
PE-06-03,PE-6(3),Monitoring Physical Access | Video Surveillance,,,,,
PE-06-04,PE-6(4),Monitoring Physical Access | Monitoring Physical Access to Systems,,,,,x
PE-07-00,PE-7,Visitor Control,W: Incorporated into PE-2 and PE-3.,,,,
PE-08-00,PE-8,Visitor Access Records,,,x,x,x
PE-08-01,PE-8(1),Visitor Access Records | Automated Records Maintenance and Review,,,,,x
PE-08-02,PE-8(2),Visitor Access Records | Physical Access Records,W: Incorporated into PE-2.,,,,
PE-08-03,PE-8(3),Visitor Access Records | Limit Personally Identifiable Information Elements,,x ,,,
PE-09-00,PE-9,Power Equipment and Cabling,,,,x,x
PE-09-01,PE-9(1),Power Equipment and Cabling | Redundant Cabling,,,,,
PE-09-02,PE-9(2),Power Equipment and Cabling | Automatic Voltage Controls,,,,,
PE-10-00,PE-10,Emergency Shutoff,,,,x,x
PE-10-01,PE-10(1),Emergency Shutoff | Accidental and Unauthorized Activation,W: Incorporated into PE-10.,,,,
PE-11-00,PE-11,Emergency Power,,,,x,x
PE-11-01,PE-11(1),Emergency Power | Alternate Power Supply — Minimal Operational Capability,,,,,x
PE-11-02,PE-11(2),Emergency Power | Alternate Power Supply — Self-contained,,,,,
PE-12-00,PE-12,Emergency Lighting,,,x,x,x
PE-12-01,PE-12(1),Emergency Lighting | Essential Mission and Business Functions,,,,,
PE-13-00,PE-13,Fire Protection,,,x,x,x
PE-13-01,PE-13(1),Fire Protection | Detection Systems – Automatic Activation and Notification,,,,x,x
PE-13-02,PE-13(2),Fire Protection | Suppression Systems – Automatic Activation and Notification,,,,,x
PE-13-03,PE-13(3),Fire Protection | Automatic Fire Suppression,W: Incorporated into PE-13(2),,,,
PE-13-04,PE-13(4),Fire Protection | Inspections,,,,,
PE-14-00,PE-14,Environmental Controls,,,x,x,x
PE-14-01,PE-14(1),Environmental Controls | Automatic Controls,,,,,
PE-14-02,PE-14(2),Environmental Controls | Monitoring with Alarms and Notifications,,,,,
PE-15-00,PE-15,Water Damage Protection,,,x,x,x
PE-15-01,PE-15(1),Water Damage Protection | Automation Support,,,,,x
PE-16-00,PE-16,Delivery and Removal,,,x,x,x
PE-17-00,PE-17,Alternate Work Site,,,,x,x
PE-18-00,PE-18,Location of System Components,,,,,x
PE-18-01,PE-18(1),Location of System Components | Facility Site,W: Moved to PE-23.,,,,
PE-19-00,PE-19,Information Leakage,,,,,
PE-19-01,PE-19(1),Information Leakage | National Emissions and Tempest Policies and Procedures,,,,,
PE-20-00,PE-20,Asset Monitoring and Tracking,,,,,
PE-21-00,PE-21,Electromagnetic Pulse Protection,,,,,
PE-22-00,PE-22,Component Marking,,,,,
PE-23-00,PE-23,Facility Location,,,,,
PL-01-00,PL-1,Policy and Procedures,,x ,x,x,x
PL-02-00,PL-2,System Security and Privacy Plans,,x ,x,x,x
PL-02-01,PL-2(1),System Security and Privacy Plans | Concept of Operations,W: Incorporated into PL-7.,,,,
PL-02-02,PL-2(2),System Security and Privacy Plans | Functional Architecture,W: Incorporated into PL-8.,,,,
PL-02-03,PL-2(3),System Security and Privacy Plans | Plan and Coordinate with Other Organizational Entities,W: Incorporated into PL-2.,,,,
PL-03-00,PL-3,System Security Plan Update,W: Incorporated into PL-2.,,,,
PL-04-00,PL-4,Rules of Behavior,,x ,x,x,x
PL-04-01,PL-4(1),Rules of Behavior | Social Media and External Site/application Usage Restrictions,,x ,x,x,x
PL-05-00,PL-5,Privacy Impact Assessment,W: Incorporated into RA-8.,,,,
PL-06-00,PL-6,Security-related Activity Planning,W: Incorporated into PL-2.,,,,
PL-07-00,PL-7,Concept of Operations,,,,,
PL-08-00,PL-8,Security and Privacy Architectures,,x ,,x,x
PL-08-01,PL-8(1),Security and Privacy Architectures | Defense in Depth,,,,,
PL-08-02,PL-8(2),Security and Privacy Architectures | Supplier Diversity,,,,,
PL-09-00,PL-9,Central Management,,x ,,,
PL-10-00,PL-10,Baseline Selection,,,x,x,x
PL-11-00,PL-11,Baseline Tailoring,,,x,x,x
PM-01-00,PM-1,Information Security Program Plan,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-02-00,PM-2,Information Security Program Leadership Role,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-03-00,PM-3,Information Security and Privacy Resources,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-04-00,PM-4,Plan of Action and Milestones Process,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-05-00,PM-5,System Inventory,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-05-01,PM-5(1),System Inventory | Inventory of Personally Identifiable Information,,x  ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-06-00,PM-6,Measures of Performance,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-07-00,PM-7,Enterprise Architecture,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-07-01,PM-7(1),Enterprise Architecture | Offloading,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-08-00,PM-8,Critical Infrastructure Plan,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-09-00,PM-9,Risk Management Strategy,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-10-00,PM-10,Authorization Process,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-11-00,PM-11,Mission and Business Process Definition,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-12-00,PM-12,Insider Threat Program,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-13-00,PM-13,Security and Privacy Workforce,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-14-00,PM-14,"Testing, Training, and Monitoring",,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-15-00,PM-15,Security and Privacy Groups and Associations,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-16-00,PM-16,Threat Awareness Program,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-16-01,PM-16(1),Threat Awareness Program | Automated Means for Sharing Threat Intelligence,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-17-00,PM-17,Protecting Controlled Unclassified Information on External Systems,,x,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-18-00,PM-18,Privacy Program Plan,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-19-00,PM-19,Privacy Program Leadership Role,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-20-00,PM-20,Dissemination of Privacy Program Information,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-20-01,PM-20(1),"Dissemination of Privacy Program Information | Privacy Policies on Websites, Applications, and Digital Services",,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-21-00,PM-21,Accounting of Disclosures,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-22-00,PM-22,Personally Identifiable Information Quality Management,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-23-00,PM-23,Data Governance Body,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-24-00,PM-24,Data Integrity Board,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-25-00,PM-25,"Minimization of Personally Identifiable Information Used in Testing, Training, and Research",,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-26-00,PM-26,Complaint Management,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-27-00,PM-27,Privacy Reporting,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
