Section,Action ID,Suggested Action,GAI Risks,AI Actor Tasks
"MANAGE 2.4: Mechanisms are in place and applied, and responsibilities are assigned and understood, to supersede, disengage, or deactivate AI systems that demonstrate performance or outcomes inconsistent with intended use.",MG-2.4-003,"Establish and maintain procedures for the remediation of issues which trigger incident response processes for the use of a GAI system, and provide stakeholders timelines associated with the remediation plan.",Information Security,"AI Actor Tasks: AI Deployment, Governance and Oversight, Operation and Monitoring"
"MANAGE 2.4: Mechanisms are in place and applied, and responsibilities are assigned and understood, to supersede, disengage, or deactivate AI systems that demonstrate performance or outcomes inconsistent with intended use.",MG-2.4-004,Establish and regularly review speciﬁc criteria that warrants the deactivation of GAI systems in accordance with set risk tolerances and appetites.,Information Security,"AI Actor Tasks: AI Deployment, Governance and Oversight, Operation and Monitoring"
"MANAGE 3.1: AI risks and beneﬁts from third-party resources are regularly monitored, and risk controls are applied and documented.",MG-3.1-001,"Apply organizational risk tolerances and controls (e.g., acquisition and procurement processes; assessing personnel credentials and qualiﬁcations, performing background checks; ﬁltering GAI input and outputs, grounding, ﬁne tuning, retrieval-augmented generation) to third-party GAI resources: Apply organizational risk tolerance to the utilization of third-party datasets and other GAI resources; Apply organizational risk tolerances to ﬁne-tuned third-party models; Apply organizational risk tolerance to existing third-party models adapted to a new domain; Reassess risk measurements after ﬁne-tuning third- party GAI models.",Value Chain and Component Integration; Intellectual Property,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
"MANAGE 3.1: AI risks and beneﬁts from third-party resources are regularly monitored, and risk controls are applied and documented.",MG-3.1-002,"Test GAI system value chain risks (e.g., data poisoning, malware, other software and hardware vulnerabilities; labor practices; data privacy and localization compliance; geopolitical alignment).",Data Privacy; Information Security; Value Chain and Component Integration; Harmful Bias and Homogenization,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
"MANAGE 3.1: AI risks and beneﬁts from third-party resources are regularly monitored, and risk controls are applied and documented.",MG-3.1-003,Re-assess model risks after ﬁne-tuning or retrieval-augmented generation implementation and for any third-party GAI models deployed for applications and/or use cases that were not evaluated in initial testing.,Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
"MANAGE 3.1: AI risks and beneﬁts from third-party resources are regularly monitored, and risk controls are applied and documented.",MG-3.1-004,"Take reasonable measures to review training data for CBRN information, and intellectual property, and where appropriate, remove it. Implement reasonable measures to prevent, ﬂag, or take other action in response to outputs that reproduce particular training data (e.g., plagiarized, trademarked, patented, licensed content or trade secret material).",Intellectual Property; CBRN Information or Capabilities,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
"MANAGE 3.1: AI risks and beneﬁts from third-party resources are regularly monitored, and risk controls are applied and documented.",MG-3.1-005,"Review various transparency artifacts (e.g., system cards and model cards) for
third-party models.",Information Integrity; Information Security; Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-001,"Apply explainable AI (XAI) techniques (e.g., analysis of embeddings, model compression/distillation, gradient-based attributions, occlusion/term reduction, counterfactual prompts, word clouds) as part of ongoing continuous improvement processes to mitigate risks related to unexplainable GAI systems.",Harmful Bias and Homogenization,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-002,"Document how pre-trained models have been adapted (e.g., ﬁne-tuned, or retrieval-augmented generation) for the speciﬁc generative task, including any data augmentations, parameter adjustments, or other modiﬁcations. Access to un-tuned (baseline) models supports debugging the relative inﬂuence of the pre- trained weights compared to the ﬁne-tuned model weights or other system updates.",Information Integrity; Data Privacy,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-003,"Document sources and types of training data and their origins, potential biases present in the data related to the GAI application and its content provenance, architecture, training process of the pre-trained model including information on hyperparameters, training duration, and any ﬁne-tuning or retrieval-augmented generation processes applied.",Information Integrity; Harmful Bias and Homogenization; Intellectual Property,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-004,Evaluate user reported problematic content and integrate feedback into system updates.,"Human-AI Conﬁguration, Dangerous, Violent, or Hateful Content","AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-005,"Implement content ﬁlters to prevent the generation of inappropriate, harmful, false, illegal, or violent content related to the GAI application, including for CSAM and NCII. These ﬁlters can be rule-based or leverage additional machine learning models to ﬂag problematic inputs and outputs.","Information Integrity; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content; Obscene, Degrading, and/or Abusive Content","AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-006,Implement real-time monitoring processes for analyzing generated content performance and trustworthiness characteristics related to content provenance to identify deviations from the desired standards and trigger alerts for human intervention.,Information Integrity,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-007,Leverage feedback and recommendations from organizational boards or committees related to the deployment of GAI applications and content provenance when using third-party pre-trained models.,Information Integrity; Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-008,"Use human moderation systems where appropriate to review generated content in accordance with human-AI conﬁguration policies established in the Govern function, aligned with socio-cultural norms in the context of use, and for settings where AI models are demonstrated to perform poorly.",Human-AI Conﬁguration,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
MANAGE 3.2: Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,MG-3.2-009,Use organizational risk tolerance to evaluate acceptable risks and performance metrics and decommission or retrain pre-trained models that perform outside of deﬁned limits.,CBRN Information or Capabilities; Confabulation,"AI Actor Tasks: AI Deployment, Operation and Monitoring, Third-party entities"
"MANAGE 4.1: Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI Actors, appeal and override, decommissioning, incident response, recovery, and change management.",MG-4.1-001,"Collaborate with external researchers, industry experts, and community representatives to maintain awareness of emerging best practices and technologies in measuring and managing identiﬁed risks.",Information Integrity; Harmful Bias and Homogenization,"AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.1: Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI Actors, appeal and override, decommissioning, incident response, recovery, and change management.",MG-4.1-002,"Establish, maintain, and evaluate eﬀectiveness of organizational processes and procedures for post-deployment monitoring of GAI systems, particularly for potential confabulation, CBRN, or cyber risks.",CBRN Information or Capabilities; Confabulation; Information Security,"AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.1: Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI Actors, appeal and override, decommissioning, incident response, recovery, and change management.",MG-4.1-003,"Evaluate the use of sentiment analysis to gauge user sentiment regarding GAI content performance and impact, and work in collaboration with AI Actors experienced in user research and experience.",Human-AI Conﬁguration,"AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.1: Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI Actors, appeal and override, decommissioning, incident response, recovery, and change management.",MG-4.1-004,Implement active learning techniques to identify instances where the model fails or produces unexpected outputs.,Confabulation,"AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.1: Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI Actors, appeal and override, decommissioning, incident response, recovery, and change management.",MG-4.1-005,Share transparency reports with internal and external stakeholders that detail steps taken to update the GAI system to enhance transparency and accountability.,"Human-AI Conﬁguration; Harmful
Bias and Homogenization","AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.1: Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI Actors, appeal and override, decommissioning, incident response, recovery, and change management.",MG-4.1-006,"Track dataset modiﬁcations for provenance by monitoring data deletions, rectiﬁcation requests, and other changes that may impact the veriﬁability of content origins.",Information Integrity,"AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.1: Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI Actors, appeal and override, decommissioning, incident response, recovery, and change management.",MG-4.1-007,"Verify that AI Actors responsible for monitoring reported issues can eﬀectively evaluate GAI system performance including the application of content provenance data tracking techniques, and promptly escalate issues for response.",Human-AI Conﬁguration; Information Integrity,"AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.2: Measurable activities for continual improvements are integrated into AI system updates and include regular engagement with interested parties, including relevant AI Actors.",MG-4.2-001,"Conduct regular monitoring of GAI systems and publish reports detailing the performance, feedback received, and improvements made.",Harmful Bias and Homogenization,"AI Actor Tasks: AI Deployment, AI Design, AI Development, Aﬀected Individuals and Communities, End-Users, Operation and
Monitoring, TEVV"
"MANAGE 4.2: Measurable activities for continual improvements are integrated into AI system updates and include regular engagement with interested parties, including relevant AI Actors.",MG-4.2-002,"Practice and follow incident response plans for addressing the generation of inappropriate or harmful content and adapt processes based on ﬁndings to prevent future occurrences. Conduct post-mortem analyses of incidents with relevant AI Actors, to understand the root causes and implement preventive measures.","Human-AI Conﬁguration; Dangerous, Violent, or Hateful Content","AI Actor Tasks: AI Deployment, AI Design, AI Development, Aﬀected Individuals and Communities, End-Users, Operation and
Monitoring, TEVV"
"MANAGE 4.2: Measurable activities for continual improvements are integrated into AI system updates and include regular engagement with interested parties, including relevant AI Actors.",MG-4.2-003,"Use visualizations or other methods to represent GAI model behavior to ease
non-technical stakeholders understanding of GAI system functionality.",Human-AI Conﬁguration,"AI Actor Tasks: AI Deployment, AI Design, AI Development, Aﬀected Individuals and Communities, End-Users, Operation and
Monitoring, TEVV"
"MANAGE 4.3: Incidents and errors are communicated to relevant AI Actors, including aﬀected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented.",MG-4.3-001,"Conduct after-action assessments for GAI system incidents to verify incident response and recovery processes are followed and eﬀective, including to follow procedures for communicating incidents to relevant AI Actors and where applicable, relevant legal and regulatory bodies.",Information Security,"AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.3: Incidents and errors are communicated to relevant AI Actors, including aﬀected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented.",MG-4.3-002,"Establish and maintain policies and procedures to record and track GAI system reported errors, near-misses, and negative impacts.","Confabulation; Information
Integrity","AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MANAGE 4.3: Incidents and errors are communicated to relevant AI Actors, including aﬀected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented.",MG-4.3-003,"Report GAI incidents in compliance with legal and regulatory requirements (e.g., HIPAA breach reporting, e.g., OCR (2023) or NHTSA (2022) autonomous vehicle crash reporting requirements.",Information Security; Data Privacy,"AI Actor Tasks: AI Deployment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and
Monitoring"
"MAP 1.1: Intended purposes, potentially beneﬁcial uses, context speciﬁc laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented. Considerations include: the speciﬁc set or types of users along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations, society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or product AI lifecycle; and related TEVV and system metrics.",MP-1.1-001,"When identifying intended purposes, consider factors such as internal vs. external use, narrow vs. broad application scope, ﬁne-tuning, and varieties of data sources (e.g., grounding, retrieval-augmented generation).",Data Privacy; Intellectual Property,AI Actor Tasks: AI Deployment
"MAP 1.1: Intended purposes, potentially beneﬁcial uses, context speciﬁc laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented. Considerations include: the speciﬁc set or types of users along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations, society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or product AI lifecycle; and related TEVV and system metrics.",MP-1.1-002,"Determine and document the expected and acceptable GAI system context of use in collaboration with socio-cultural and other domain experts, by assessing: Assumptions and limitations; Direct value to the organization; Intended operational environment and observed usage patterns; Potential positive and negative impacts to individuals, public safety, groups, communities, organizations, democratic institutions, and the physical environment; Social norms and expectations.",Harmful Bias and Homogenization,AI Actor Tasks: AI Deployment
"MAP 1.1: Intended purposes, potentially beneﬁcial uses, context speciﬁc laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented. Considerations include: the speciﬁc set or types of users along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations, society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or product AI lifecycle; and related TEVV and system metrics.",MP-1.1-003,"Document risk measurement plans to address identiﬁed risks. Plans may include, as applicable: Individual and group cognitive biases (e.g., conﬁrmation bias, funding bias, groupthink) for AI Actors involved in the design, implementation, and use of GAI systems; Known past GAI system incidents and failure modes; In-context use and foreseeable misuse, abuse, and oﬀ-label use; Over reliance on quantitative metrics and methodologies without suﬃcient awareness of their limitations in the context(s) of use; Standard measurement and structured human feedback approaches; Anticipated human-AI conﬁgurations.","Human-AI Conﬁguration; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content",AI Actor Tasks: AI Deployment
"MAP 1.1: Intended purposes, potentially beneﬁcial uses, context speciﬁc laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented. Considerations include: the speciﬁc set or types of users along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations, society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or product AI lifecycle; and related TEVV and system metrics.",MP-1.1-004,Identify and document foreseeable illegal uses or applications of the GAI system that surpass organizational risk tolerances.,"CBRN Information or Capabilities; Dangerous, Violent, or Hateful Content; Obscene, Degrading, and/or Abusive Content",AI Actor Tasks: AI Deployment
"MAP 1.2: Interdisciplinary AI Actors, competencies, skills, and capacities for establishing context reﬂect demographic diversity and broad domain and user experience expertise, and their participation is documented. Opportunities for interdisciplinary collaboration are prioritized.",MP-1.2-001,"Establish and empower interdisciplinary teams that reﬂect a wide range of capabilities, competencies, demographic groups, domain expertise, educational backgrounds, lived experiences, professions, and skills across the enterprise to inform and conduct risk measurement and management functions.","Human-AI Conﬁguration; Harmful
Bias and Homogenization",AI Actor Tasks: AI Deployment
"MAP 1.2: Interdisciplinary AI Actors, competencies, skills, and capacities for establishing context reﬂect demographic diversity and broad domain and user experience expertise, and their participation is documented. Opportunities for interdisciplinary collaboration are prioritized.",MP-1.2-002,"Verify that data or benchmarks used in risk measurement, and users, participants, or subjects involved in structured GAI public feedback exercises are representative of diverse in-context user populations.","Human-AI Conﬁguration; Harmful
Bias and Homogenization",AI Actor Tasks: AI Deployment
"MAP 2.1: The speciﬁc tasks and methods used to implement the tasks that the AI system will support are deﬁned (e.g., classiﬁers, generative models, recommenders).",MP-2.1-001,"Establish known assumptions and practices for determining data origin and content lineage, for documentation and evaluation purposes.",Information Integrity,AI Actor Tasks: TEVV
"MAP 2.1: The speciﬁc tasks and methods used to implement the tasks that the AI system will support are deﬁned (e.g., classiﬁers, generative models, recommenders).",MP-2.1-002,"Institute test and evaluation for data and content ﬂows within the GAI system, including but not limited to, original data sources, data transformations, and decision-making criteria.",Intellectual Property; Data Privacy,AI Actor Tasks: TEVV
MAP 2.2: Information about the AI system’s knowledge limits and how system output may be utilized and overseen by humans is documented. Documentation provides suﬃcient information to assist relevant AI Actors when making decisions and taking subsequent actions.,MP-2.2-001,"Identify and document how the system relies on upstream data sources, including for content provenance, and if it serves as an upstream dependency for other systems.",Information Integrity; Value Chain and Component Integration,AI Actor Tasks: End Users
MAP 2.2: Information about the AI system’s knowledge limits and how system output may be utilized and overseen by humans is documented. Documentation provides suﬃcient information to assist relevant AI Actors when making decisions and taking subsequent actions.,MP-2.2-002,"Observe and analyze how the GAI system interacts with external networks, and identify any potential for negative externalities, particularly where content provenance might be compromised.",Information Integrity,AI Actor Tasks: End Users
"MAP 2.3: Scientiﬁc integrity and TEVV considerations are identiﬁed and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation",MP-2.3-001,"Assess the accuracy, quality, reliability, and authenticity of GAI output by comparing it to a set of known ground truth data and by using a variety of evaluation methods (e.g., human oversight and automated evaluation, proven cryptographic techniques, review of content inputs).",Information Integrity,"AI Actor Tasks: AI Development, Domain Experts, TEVV"
"MAP 2.3: Scientiﬁc integrity and TEVV considerations are identiﬁed and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation",MP-2.3-002,"Review and document accuracy, representativeness, relevance, suitability of data used at diﬀerent stages of AI life cycle.",Harmful Bias and Homogenization; Intellectual Property,"AI Actor Tasks: AI Development, Domain Experts, TEVV"
"MAP 2.3: Scientiﬁc integrity and TEVV considerations are identiﬁed and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation",MP-2.3-003,"Deploy and document fact-checking techniques to verify the accuracy and veracity of information generated by GAI systems, especially when the information comes from multiple (or unknown) sources.",Information Integrity,"AI Actor Tasks: AI Development, Domain Experts, TEVV"
"MAP 2.3: Scientiﬁc integrity and TEVV considerations are identiﬁed and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation",MP-2.3-004,"Develop and implement testing techniques to identify GAI produced content (e.g., synthetic media) that might be indistinguishable from human-generated content.",Information Integrity,"AI Actor Tasks: AI Development, Domain Experts, TEVV"
"MAP 2.3: Scientiﬁc integrity and TEVV considerations are identiﬁed and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation",MP-2.3-005,Implement plans for GAI systems to undergo regular adversarial testing to identify vulnerabilities and potential manipulation or misuse.,Information Security,"AI Actor Tasks: AI Development, Domain Experts, TEVV"
"MAP 3.4: Processes for operator and practitioner proﬁciency with AI system performance and trustworthiness – and relevant technical standards and certiﬁcations – are deﬁned, assessed, and documented.",MP-3.4-001,Evaluate whether GAI operators and end-users can accurately understand content lineage and origin.,Human-AI Conﬁguration; Information Integrity,"AI Actor Tasks: AI Design, AI Development, Domain Experts, End-Users, Human Factors, Operation and Monitoring"
"MAP 3.4: Processes for operator and practitioner proﬁciency with AI system performance and trustworthiness – and relevant technical standards and certiﬁcations – are deﬁned, assessed, and documented.",MP-3.4-002,Adapt existing training programs to include modules on digital content transparency.,Information Integrity,"AI Actor Tasks: AI Design, AI Development, Domain Experts, End-Users, Human Factors, Operation and Monitoring"
"MAP 3.4: Processes for operator and practitioner proﬁciency with AI system performance and trustworthiness – and relevant technical standards and certiﬁcations – are deﬁned, assessed, and documented.",MP-3.4-003,"Develop certiﬁcation programs that test proﬁciency in managing GAI risks and interpreting content provenance, relevant to speciﬁc industry and context.",Information Integrity,"AI Actor Tasks: AI Design, AI Development, Domain Experts, End-Users, Human Factors, Operation and Monitoring"
"MAP 3.4: Processes for operator and practitioner proﬁciency with AI system performance and trustworthiness – and relevant technical standards and certiﬁcations – are deﬁned, assessed, and documented.",MP-3.4-004,Delineate human proﬁciency tests from tests of GAI capabilities.,Human-AI Conﬁguration,"AI Actor Tasks: AI Design, AI Development, Domain Experts, End-Users, Human Factors, Operation and Monitoring"
"MAP 3.4: Processes for operator and practitioner proﬁciency with AI system performance and trustworthiness – and relevant technical standards and certiﬁcations – are deﬁned, assessed, and documented.",MP-3.4-005,Implement systems to continually monitor and track the outcomes of human-GAI conﬁgurations for future reﬁnement and improvements.,Human-AI Conﬁguration; Information Integrity,"AI Actor Tasks: AI Design, AI Development, Domain Experts, End-Users, Human Factors, Operation and Monitoring"
"MAP 3.4: Processes for operator and practitioner proﬁciency with AI system performance and trustworthiness – and relevant technical standards and certiﬁcations – are deﬁned, assessed, and documented.",MP-3.4-006,"Involve the end-users, practitioners, and operators in GAI system in prototyping and testing activities. Make sure these tests cover various scenarios, such as crisis situations or ethically sensitive contexts.","Human-AI Conﬁguration; Information Integrity; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content","AI Actor Tasks: AI Design, AI Development, Domain Experts, End-Users, Human Factors, Operation and Monitoring"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-001,"Conduct periodic monitoring of AI-generated content for privacy risks; address any
possible instances of PII or sensitive data exposure.",Data Privacy,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-002,"Implement processes for responding to potential intellectual property infringement
claims or other rights.",Intellectual Property,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-003,"Connect new GAI policies, procedures, and processes to existing model, data, software development, and IT governance and to legal, compliance, and risk management activities.",Information Security; Data Privacy,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-004,"Document training data curation policies, to the extent possible and according to
applicable laws and policies.","Intellectual Property; Data Privacy; Obscene, Degrading, and/or Abusive Content","AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-005,"Establish policies for collection, retention, and minimum quality of data, in consideration of the following risks: Disclosure of inappropriate CBRN information; Use of Illegal or dangerous content; Oﬀensive cyber capabilities; Training data imbalances that could give rise to harmful biases; Leak of personally identiﬁable information, including facial likenesses of individuals.","CBRN Information or Capabilities; Intellectual Property; Information Security; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content; Data Privacy","AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-006,"Implement policies and practices deﬁning how third-party intellectual property and
training data will be used, stored, and protected.",Intellectual Property; Value Chain and Component Integration,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-007,Re-evaluate models that were ﬁne-tuned or enhanced on top of third-party models.,Value Chain and Component Integration,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-008,"Re-evaluate risks when adapting GAI models to new domains. Additionally, establish warning systems to determine if a GAI system is being used in a new domain where previous assumptions (relating to context of use or mapped risks such as security, and safety) may no longer hold.","CBRN Information or Capabilities; Intellectual Property; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content; Data Privacy","AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-009,"Leverage approaches to detect the presence of PII or sensitive data in generated output text, image, video, or audio.",Data Privacy,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 4.1: Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third-party’s intellectual property or other rights.",MP-4.1-010,"Conduct appropriate diligence on training data use to assess intellectual property, and privacy, risks, including to examine whether use of proprietary or sensitive training data is consistent with applicable laws.",Intellectual Property; Data Privacy,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities"
"MAP 5.1: Likelihood and magnitude of each identiﬁed impact (both potentially beneﬁcial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identiﬁed and documented.",MP-5.1-001,"Apply TEVV practices for content provenance (e.g., probing a system's synthetic data generation capabilities for potential misuse or vulnerabilities.","Information Integrity; Information
Security","AI Actor Tasks: AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End- Users, Operation and Monitoring"
"MAP 5.1: Likelihood and magnitude of each identiﬁed impact (both potentially beneﬁcial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identiﬁed and documented.",MP-5.1-002,"Identify potential content provenance harms of GAI, such as misinformation or disinformation, deepfakes, including NCII, or tampered content. Enumerate and rank risks based on their likelihood and potential impact, and determine how well provenance solutions address speciﬁc risks and/or harms.","Information Integrity; Dangerous, Violent, or Hateful Content; Obscene, Degrading, and/or Abusive Content","AI Actor Tasks: AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End- Users, Operation and Monitoring"
"MAP 5.1: Likelihood and magnitude of each identiﬁed impact (both potentially beneﬁcial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identiﬁed and documented.",MP-5.1-003,"Consider disclosing use of GAI to end users in relevant contexts, while considering the objective of disclosure, the context of use, the likelihood and magnitude of the risk posed, the audience of the disclosure, as well as the frequency of the disclosures.",Human-AI Conﬁguration,"AI Actor Tasks: AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End- Users, Operation and Monitoring"
"MAP 5.1: Likelihood and magnitude of each identiﬁed impact (both potentially beneﬁcial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identiﬁed and documented.",MP-5.1-004,Prioritize GAI structured public feedback processes based on risk assessment estimates.,"Information Integrity; CBRN Information or Capabilities; Dangerous, Violent, or Hateful Content; Harmful Bias and Homogenization","AI Actor Tasks: AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End- Users, Operation and Monitoring"
